Total time: 8.583711s

p[44].vx: -317.816	p[44].vy: -1777.111	p[44].vz: 1355.311

p[45].x: -104.468	p[45].y: 53.100	p[45].z: -58.224
p[45].vx: -1164.138	p[45].vy: 591.243	p[45].vz: -648.474

p[46].x: 166.108	p[46].y: -76.447	p[46].z: -115.485
p[46].vx: 1847.432	p[46].vy: -850.082	p[46].vz: -1284.401

p[47].x: 93.174	p[47].y: 70.343	p[47].z: 176.814
p[47].vx: 1036.746	p[47].vy: 782.497	p[47].vz: 1966.662

p[48].x: 3.849	p[48].y: 162.263	p[48].z: -103.050
p[48].vx: 42.944	p[48].vy: 1805.147	p[48].vz: -1146.409

p[49].x: 2.318	p[49].y: -59.138	p[49].z: -117.446
p[49].vx: 26.169	p[49].vy: -658.548	p[49].vz: -1308.759

p[50].x: 169.383	p[50].y: -59.434	p[50].z: -116.062
p[50].vx: 1882.865	p[50].vy: -660.690	p[50].vz: -1290.264

p[51].x: 2.085	p[51].y: 69.809	p[51].z: 93.594
p[51].vx: 23.240	p[51].vy: 777.663	p[51].vz: 1043.341

p[52].x: 99.532	p[52].y: 27.980	p[52].z: -159.713
p[52].vx: 1106.455	p[52].vy: 311.074	p[52].vz: -1775.388

p[53].x: 153.967	p[53].y: 23.975	p[53].z: 170.281
p[53].vx: 1712.060	p[53].vy: 266.727	p[53].vz: 1893.560

p[54].x: 8.256	p[54].y: -152.720	p[54].z: 43.516
p[54].vx: 91.732	p[54].vy: -1697.624	p[54].vz: 483.395

p[55].x: 14.387	p[55].y: 225.552	p[55].z: 8.341
p[55].vx: 160.090	p[55].vy: 2507.084	p[55].vz: 92.114

p[56].x: -170.648	p[56].y: -11.798	p[56].z: -10.512
p[56].vx: -1896.574	p[56].vy: -130.904	p[56].vz: -117.049

p[57].x: -195.896	p[57].y: -33.289	p[57].z: -40.730
p[57].vx: -2178.832	p[57].vy: -370.029	p[57].vz: -453.081

p[58].x: 37.719	p[58].y: 111.863	p[58].z: -10.544
p[58].vx: 419.891	p[58].vy: 1247.005	p[58].vz: -117.385

p[59].x: 92.136	p[59].y: -96.107	p[59].z: 162.479
p[59].vx: 1024.763	p[59].vy: -1068.656	p[59].vz: 1806.987

p[60].x: -114.275	p[60].y: -129.894	p[60].z: 126.490
p[60].vx: -1270.657	p[60].vy: -1444.328	p[60].vz: 1406.318

p[61].x: -66.757	p[61].y: -8.581	p[61].z: 120.922
p[61].vx: -742.810	p[61].vy: -95.627	p[61].vz: 1346.964

p[62].x: -0.093	p[62].y: -104.968	p[62].z: -77.460
p[62].vx: -0.560	p[62].vy: -1169.431	p[62].vz: -862.576

p[63].x: -178.589	p[63].y: -152.082	p[63].z: 15.504
p[63].vx: -1985.658	p[63].vy: -1691.149	p[63].vz: 172.103

p[64].x: 91.420	p[64].y: 68.558	p[64].z: 125.847
p[64].vx: 1016.327	p[64].vy: 762.329	p[64].vz: 1398.855

p[65].x: -40.325	p[65].y: 68.515	p[65].z: 166.838
p[65].vx: -448.145	p[65].vy: 761.748	p[65].vz: 1854.279

p[66].x: 82.074	p[66].y: 165.112	p[66].z: 109.453
