Total time: 2.354006s

p[0].x: 15.966	p[0].y: 5.511	p[0].z: -2.081
p[0].vx: 201.954	p[0].vy: 69.031	p[0].vz: -25.580

p[1].x: -3.963	p[1].y: 16.318	p[1].z: -9.070
p[1].vx: -49.281	p[1].vy: 203.760	p[1].vz: -114.273

p[2].x: 1.205	p[2].y: 2.509	p[2].z: 5.228
p[2].vx: 15.240	p[2].vy: 31.149	p[2].vz: 70.385

p[3].x: -2.150	p[3].y: 7.858	p[3].z: -6.156
p[3].vx: -28.802	p[3].vy: 98.319	p[3].vz: -79.130

p[4].x: -12.373	p[4].y: 2.637	p[4].z: 14.669
p[4].vx: -155.657	p[4].vy: 33.301	p[4].vz: 182.528

p[5].x: 0.576	p[5].y: 15.060	p[5].z: 9.087
p[5].vx: 7.730	p[5].vy: 188.957	p[5].vz: 113.603

p[6].x: -2.655	p[6].y: 7.917	p[6].z: 5.017
p[6].vx: -33.180	p[6].vy: 102.928	p[6].vz: 62.218

p[7].x: 0.398	p[7].y: 0.417	p[7].z: -1.816
p[7].vx: 3.011	p[7].vy: 12.832	p[7].vz: -28.900

p[8].x: 3.085	p[8].y: 13.279	p[8].z: -2.846
p[8].vx: 38.289	p[8].vy: 165.836	p[8].vz: -35.674

p[9].x: -1.822	p[9].y: 17.028	p[9].z: -7.972
p[9].vx: -21.912	p[9].vy: 213.989	p[9].vz: -100.953

p[10].x: 22.407	p[10].y: -9.709	p[10].z: -13.243
p[10].vx: 282.567	p[10].vy: -121.181	p[10].vz: -165.904

p[11].x: -7.673	p[11].y: 4.481	p[11].z: 14.302
p[11].vx: -92.810	p[11].vy: 57.911	p[11].vz: 178.764

p[12].x: -13.557	p[12].y: -3.315	p[12].z: 6.101
p[12].vx: -171.397	p[12].vy: -40.302	p[12].vz: 78.064

p[13].x: 8.223	p[13].y: -15.428	p[13].z: 4.627
p[13].vx: 103.298	p[13].vy: -193.000	p[13].vz: 58.291

p[14].x: 15.733	p[14].y: 17.220	p[14].z: -0.133
p[14].vx: 197.685	p[14].vy: 214.883	p[14].vz: -2.119

p[15].x: 7.466	p[15].y: 3.270	p[15].z: -16.298
p[15].vx: 95.664	p[15].vy: 41.152	p[15].vz: -204.770

p[16].x: 1.524	p[16].y: 10.997	p[16].z: 1.753
p[16].vx: 18.845	p[16].vy: 139.294	p[16].vz: 22.331

p[17].x: -16.684	p[17].y: -21.544	p[17].z: 23.332
p[17].vx: -208.612	p[17].vy: -270.609	p[17].vz: 293.539

p[18].x: 3.924	p[18].y: -1.287	p[18].z: 2.121
p[18].vx: 51.970	p[18].vy: -19.899	p[18].vz: 29.899

p[19].x: -4.333	p[19].y: -0.743	p[19].z: -6.763
p[19].vx: -57.369	p[19].vy: -10.748	p[19].vz: -85.560

p[20].x: -2.197	p[20].y: 1.812	p[20].z: 3.642
p[20].vx: -32.332	p[20].vy: 19.504	p[20].vz: 46.695

p[21].x: 0.304	p[21].y: -0.206	p[21].z: 4.828
p[21].vx: 6.527	p[21].vy: -4.868	p[21].vz: 65.926

p[22].x: 12.339	p[22].y: -1.338	p[22].z: -0.385
p[22].vx: 156.702	p[22].vy: -18.056	p[22].vz: -5.784

p[23].x: -1.335	p[23].y: -15.272	p[23].z: -10.329
p[23].vx: -17.138	p[23].vy: -189.994	p[23].vz: -130.431

p[24].x: 14.041	p[24].y: 12.031	p[24].z: 9.743
p[24].vx: 175.053	p[24].vy: 149.201	p[24].vz: 122.135

p[25].x: 3.284	p[25].y: 4.808	p[25].z: -5.544
p[25].vx: 41.404	p[25].vy: 60.708	p[25].vz: -70.925

p[26].x: -5.186	p[26].y: -0.004	p[26].z: -3.220
p[26].vx: -67.600	p[26].vy: -1.184	p[26].vz: -39.626

