Total time: 1.399099s

p[0].x: -30.639	p[0].y: 39.040	p[0].z: -11.939
p[0].vx: -771.024	p[0].vy: 980.013	p[0].vz: -302.772

p[1].x: 2.906	p[1].y: -24.524	p[1].z: 27.392
p[1].vx: 73.538	p[1].vy: -616.284	p[1].vz: 687.924

p[2].x: 28.182	p[2].y: 5.649	p[2].z: -8.152
p[2].vx: 707.490	p[2].vy: 141.546	p[2].vz: -205.171

p[3].x: 22.159	p[3].y: -5.020	p[3].z: 12.776
p[3].vx: 562.274	p[3].vy: -127.353	p[3].vz: 324.637

p[4].x: 19.484	p[4].y: 3.433	p[4].z: 18.605
p[4].vx: 493.941	p[4].vy: 88.360	p[4].vz: 471.759

p[5].x: -0.423	p[5].y: -21.517	p[5].z: -29.412
p[5].vx: -10.217	p[5].vy: -540.226	p[5].vz: -737.564

p[6].x: -0.609	p[6].y: -13.514	p[6].z: 31.524
p[6].vx: -17.805	p[6].vy: -340.260	p[6].vz: 792.931

p[7].x: -0.063	p[7].y: -18.093	p[7].z: 26.164
p[7].vx: 0.457	p[7].vy: -456.178	p[7].vz: 659.092

p[8].x: 16.242	p[8].y: -15.208	p[8].z: -1.534
p[8].vx: 414.380	p[8].vy: -387.666	p[8].vz: -39.400

p[9].x: -17.253	p[9].y: -2.075	p[9].z: 13.540
p[9].vx: -439.044	p[9].vy: -47.453	p[9].vz: 346.268

p[10].x: 5.110	p[10].y: -9.926	p[10].z: -13.912
p[10].vx: 134.692	p[10].vy: -256.245	p[10].vz: -357.809

p[11].x: 25.410	p[11].y: -14.947	p[11].z: -0.001
p[11].vx: 641.289	p[11].vy: -377.752	p[11].vz: -0.474

p[12].x: -0.572	p[12].y: -19.409	p[12].z: -17.285
p[12].vx: -14.287	p[12].vy: -492.090	p[12].vz: -438.945

p[13].x: -2.676	p[13].y: 11.201	p[13].z: -9.338
p[13].vx: -68.317	p[13].vy: 281.615	p[13].vz: -234.459

p[14].x: -21.089	p[14].y: 15.130	p[14].z: 15.551
p[14].vx: -532.129	p[14].vy: 382.270	p[14].vz: 393.048

p[15].x: -15.726	p[15].y: -6.784	p[15].z: -29.826
p[15].vx: -396.079	p[15].vy: -170.571	p[15].vz: -750.227

p[16].x: -1.227	p[16].y: 4.584	p[16].z: -3.614
p[16].vx: -18.982	p[16].vy: 70.867	p[16].vz: -77.296

p[17].x: -9.255	p[17].y: -8.463	p[17].z: 5.853
p[17].vx: -241.981	p[17].vy: -221.549	p[17].vz: 156.260

p[18].x: -3.881	p[18].y: 12.747	p[18].z: -39.659
p[18].vx: -98.021	p[18].vy: 320.638	p[18].vz: -995.559

p[19].x: 4.526	p[19].y: 29.792	p[19].z: -4.287
p[19].vx: 115.239	p[19].vy: 750.982	p[19].vz: -110.477

p[20].x: 20.818	p[20].y: 22.951	p[20].z: 0.673
p[20].vx: 526.219	p[20].vy: 580.245	p[20].vz: 16.171

p[21].x: -6.222	p[21].y: 1.316	p[21].z: 20.727
p[21].vx: -158.329	p[21].vy: 33.838	p[21].vz: 526.288

p[22].x: -13.101	p[22].y: 4.262	p[22].z: 33.198
p[22].vx: -327.448	p[22].vy: 109.682	p[22].vz: 834.175

p[23].x: 19.031	p[23].y: -7.198	p[23].z: 12.245
p[23].vx: 483.487	p[23].vy: -184.740	p[23].vz: 311.818

p[24].x: 11.305	p[24].y: 14.275	p[24].z: -20.164
p[24].vx: 288.059	p[24].vy: 362.711	p[24].vz: -511.065

p[25].x: -8.849	p[25].y: -9.746	p[25].z: 27.620
p[25].vx: -224.390	p[25].vy: -247.146	p[25].vz: 694.798

p[26].x: 16.347	p[26].y: 28.044	p[26].z: 5.548
p[26].vx: 412.804	p[26].vy: 706.484	p[26].vz: 139.344

p[27].x: 9.364	p[27].y: 7.309	p[27].z: -7.065
p[27].vx: 245.574	p[27].vy: 193.406	p[27].vz: -186.206

p[28].x: -5.635	p[28].y: 7.075	p[28].z: -4.851
p[28].vx: -152.140	p[28].vy: 190.587	p[28].vz: -133.326

p[29].x: -14.583	p[29].y: 36.161	p[29].z: 28.095
p[29].vx: -365.241	p[29].vy: 908.138	p[29].vz: 706.446

p[30].x: 183.832	p[30].y: -50.136	p[30].z: 49.706
p[30].vx: 4599.752	p[30].vy: -1254.385	p[30].vz: 1240.761

p[31].x: -12.407	p[31].y: -31.335	p[31].z: 4.667
p[31].vx: -312.365	p[31].vy: -786.345	p[31].vz: 118.247

p[32].x: -31.070	p[32].y: -6.033	p[32].z: 10.951
p[32].vx: -782.316	p[32].vy: -153.209	p[32].vz: 276.410

p[33].x: -10.210	p[33].y: -8.226	p[33].z: -7.069
p[33].vx: -264.824	p[33].vy: -214.762	p[33].vz: -185.843

p[34].x: -16.121	p[34].y: -1.665	p[34].z: 13.848
p[34].vx: -410.874	p[34].vy: -45.586	p[34].vz: 353.336

