Total time: 6.225135s

p[0].x: -62.094	p[0].y: 99.005	p[0].z: -55.872
p[0].vx: -691.239	p[0].vy: 1101.712	p[0].vz: -622.233

p[1].x: 20.215	p[1].y: -103.040	p[1].z: 128.750
p[1].vx: 224.890	p[1].vy: -1145.640	p[1].vz: 1431.604

p[2].x: 139.119	p[2].y: 10.977	p[2].z: 60.976
p[2].vx: 1547.025	p[2].vy: 122.131	p[2].vz: 678.057

p[3].x: 91.623	p[3].y: -17.398	p[3].z: 37.802
p[3].vx: 1021.266	p[3].vy: -193.967	p[3].vz: 421.355

p[4].x: 79.613	p[4].y: 22.553	p[4].z: 58.270
p[4].vx: 886.921	p[4].vy: 251.763	p[4].vz: 649.621

p[5].x: 11.443	p[5].y: 42.851	p[5].z: -157.198
p[5].vx: 127.269	p[5].vy: 475.904	p[5].vz: -1747.563

p[6].x: -54.211	p[6].y: -28.523	p[6].z: 117.212
p[6].vx: -603.760	p[6].vy: -316.876	p[6].vz: 1304.512

p[7].x: -13.547	p[7].y: -21.699	p[7].z: 116.012
p[7].vx: -150.909	p[7].vy: -241.788	p[7].vz: 1291.676

p[8].x: 61.148	p[8].y: -60.524	p[8].z: -7.140
p[8].vx: 682.343	p[8].vy: -675.053	p[8].vz: -79.853

p[9].x: -60.569	p[9].y: 19.702	p[9].z: 53.288
p[9].vx: -675.809	p[9].vy: 220.602	p[9].vz: 594.612

p[10].x: 24.296	p[10].y: -32.937	p[10].z: -45.470
p[10].vx: 272.631	p[10].vy: -368.863	p[10].vz: -508.638

p[11].x: 131.298	p[11].y: -120.882	p[11].z: 28.521
p[11].vx: 1461.260	p[11].vy: -1344.312	p[11].vz: 316.459

p[12].x: -67.609	p[12].y: -84.709	p[12].z: -129.370
p[12].vx: -751.179	p[12].vy: -943.531	p[12].vz: -1439.765

p[13].x: -74.423	p[13].y: 64.058	p[13].z: -62.406
p[13].vx: -827.329	p[13].vy: 712.159	p[13].vz: -693.836

p[14].x: -79.776	p[14].y: 63.888	p[14].z: 54.167
p[14].vx: -888.234	p[14].vy: 711.506	p[14].vz: 603.384

p[15].x: -19.916	p[15].y: -40.151	p[15].z: -142.585
p[15].vx: -221.495	p[15].vy: -446.694	p[15].vz: -1586.289

p[16].x: -1.714	p[16].y: 6.694	p[16].z: -7.453
p[16].vx: -13.841	p[16].vy: 55.999	p[16].vz: -76.572

p[17].x: -26.160	p[17].y: -23.959	p[17].z: 22.803
p[17].vx: -294.652	p[17].vy: -269.924	p[17].vz: 257.270

p[18].x: -35.219	p[18].y: 15.738	p[18].z: -156.162
p[18].vx: -391.524	p[18].vy: 175.193	p[18].vz: -1736.315

p[19].x: 2.792	p[19].y: 107.774	p[19].z: -47.546
p[19].vx: 31.286	p[19].vy: 1199.957	p[19].vz: -529.726

p[20].x: 82.227	p[20].y: 97.302	p[20].z: -1.305
p[20].vx: 915.551	p[20].vy: 1083.239	p[20].vz: -14.969

p[21].x: -12.219	p[21].y: 2.847	p[21].z: 59.112
p[21].vx: -136.437	p[21].vy: 31.855	p[21].vz: 661.029

p[22].x: -11.818	p[22].y: 90.077	p[22].z: 150.998
p[22].vx: -131.309	p[22].vy: 1001.714	p[22].vz: 1678.948

p[23].x: 69.346	p[23].y: -35.139	p[23].z: 29.963
p[23].vx: 773.516	p[23].vy: -392.311	p[23].vz: 334.492

p[24].x: 23.455	p[24].y: 57.188	p[24].z: -66.187
p[24].vx: 262.410	p[24].vy: 637.928	p[24].vz: -738.310

p[25].x: -83.236	p[25].y: -97.243	p[25].z: 41.512
p[25].vx: -926.238	p[25].vy: -1081.914	p[25].vz: 461.883

p[26].x: 62.424	p[26].y: 128.492	p[26].z: 16.407
p[26].vx: 694.747	p[26].vy: 1429.649	p[26].vz: 182.498

p[27].x: 27.280	p[27].y: 28.069	p[27].z: -19.333
p[27].vx: 307.622	p[27].vy: 316.501	p[27].vz: -217.583

p[28].x: -16.912	p[28].y: 22.067	p[28].z: -17.721
p[28].vx: -192.089	p[28].vy: 250.563	p[28].vz: -201.883

p[29].x: -11.249	p[29].y: 141.842	p[29].z: 95.562
p[29].vx: -125.179	p[29].vy: 1577.251	p[29].vz: 1062.848

p[30].x: 101.488	p[30].y: -110.855	p[30].z: -72.499
p[30].vx: 1128.899	p[30].vy: -1232.102	p[30].vz: -806.142

p[31].x: -53.177	p[31].y: -108.057	p[31].z: 21.843
p[31].vx: -591.673	p[31].vy: -1201.761	p[31].vz: 243.001

p[32].x: -135.377	p[32].y: -43.530	p[32].z: 8.785
p[32].vx: -1506.334	p[32].vy: -484.348	p[32].vz: 97.504

p[33].x: -42.434	p[33].y: -32.259	p[33].z: -23.879
p[33].vx: -475.201	p[33].vy: -361.697	p[33].vz: -268.445

p[34].x: -50.009	p[34].y: -16.850	p[34].z: 43.402
p[34].vx: -558.936	p[34].vy: -189.133	p[34].vz: 484.635

p[35].x: -126.406	p[35].y: 86.639	p[35].z: 7.075
p[35].vx: -1405.947	p[35].vy: 963.847	p[35].vz: 78.341

