Total time: 9.358523s

p[0].x: 105.649	p[0].y: 86.674	p[0].z: 60.540
p[0].vx: 1176.341	p[0].vy: 964.580	p[0].vz: 673.740

p[1].x: -67.267	p[1].y: 39.238	p[1].z: -79.700
p[1].vx: -747.617	p[1].vy: 436.318	p[1].vz: -886.385

p[2].x: 13.091	p[2].y: 28.536	p[2].z: 54.673
p[2].vx: 145.535	p[2].vy: 317.608	p[2].vz: 613.222

p[3].x: 64.408	p[3].y: -2.915	p[3].z: -139.125
p[3].vx: 716.696	p[3].vy: -32.528	p[3].vz: -1549.101

p[4].x: -11.111	p[4].y: 77.367	p[4].z: -46.207
p[4].vx: -123.503	p[4].vy: 860.299	p[4].vz: -514.341

p[5].x: 16.656	p[5].y: 108.907	p[5].z: -17.425
p[5].vx: 185.284	p[5].vy: 1213.672	p[5].vz: -193.687

p[6].x: -25.148	p[6].y: 50.313	p[6].z: 25.622
p[6].vx: -280.940	p[6].vy: 564.443	p[6].vz: 286.066

p[7].x: -89.201	p[7].y: 104.944	p[7].z: 18.752
p[7].vx: -991.361	p[7].vy: 1169.049	p[7].vz: 209.208

p[8].x: -48.919	p[8].y: 53.492	p[8].z: -14.699
p[8].vx: -543.812	p[8].vy: 595.044	p[8].vz: -163.718

p[9].x: -3.770	p[9].y: 125.395	p[9].z: 100.168
p[9].vx: -41.582	p[9].vy: 1395.723	p[9].vz: 1113.983

p[10].x: 83.256	p[10].y: 107.467	p[10].z: -116.402
p[10].vx: 926.167	p[10].vy: 1195.303	p[10].vz: -1294.737

p[11].x: 112.087	p[11].y: 123.666	p[11].z: 43.894
p[11].vx: 1246.383	p[11].vy: 1375.662	p[11].vz: 487.715

p[12].x: -70.768	p[12].y: 103.124	p[12].z: 49.933
p[12].vx: -786.855	p[12].vy: 1147.277	p[12].vz: 555.371

p[13].x: 29.563	p[13].y: -77.964	p[13].z: 94.115
p[13].vx: 328.955	p[13].vy: -866.986	p[13].vz: 1046.770

p[14].x: 112.720	p[14].y: 41.526	p[14].z: -38.501
p[14].vx: 1253.503	p[14].vy: 461.797	p[14].vz: -428.308

p[15].x: 28.152	p[15].y: -12.345	p[15].z: 5.274
p[15].vx: 319.887	p[15].vy: -138.870	p[15].vz: 59.758

p[16].x: -0.418	p[16].y: 2.345	p[16].z: -6.909
p[16].vx: -0.032	p[16].vy: 9.540	p[16].vz: -68.954

p[17].x: -71.780	p[17].y: -76.831	p[17].z: 106.949
p[17].vx: -798.611	p[17].vy: -854.862	p[17].vz: 1190.694

p[18].x: 66.243	p[18].y: -74.410	p[18].z: 114.957
p[18].vx: 736.970	p[18].vy: -827.914	p[18].vz: 1279.083

p[19].x: -109.691	p[19].y: 5.935	p[19].z: -57.618
p[19].vx: -1221.754	p[19].vy: 66.101	p[19].vz: -641.100

p[20].x: -142.271	p[20].y: -106.325	p[20].z: 0.717
p[20].vx: -1582.053	p[20].vy: -1182.362	p[20].vz: 7.729

p[21].x: 2.693	p[21].y: -20.644	p[21].z: 55.149
p[21].vx: 30.369	p[21].vy: -230.691	p[21].vz: 618.700

p[22].x: 25.777	p[22].y: -112.170	p[22].z: -128.448
p[22].vx: 286.796	p[22].vy: -1247.288	p[22].vz: -1428.830

p[23].x: -97.720	p[23].y: 19.313	p[23].z: -110.777
p[23].vx: -1087.170	p[23].vy: 214.857	p[23].vz: -1233.023

p[24].x: -84.173	p[24].y: 63.985	p[24].z: -33.161
p[24].vx: -936.095	p[24].vy: 711.582	p[24].vz: -368.869

p[25].x: -69.172	p[25].y: 20.301	p[25].z: -133.254
p[25].vx: -769.096	p[25].vy: 225.846	p[25].vz: -1483.561

p[26].x: -126.996	p[26].y: 15.825	p[26].z: -38.535
p[26].vx: -1413.748	p[26].vy: 175.934	p[26].vz: -428.817

p[27].x: 102.471	p[27].y: 115.408	p[27].z: 25.969
p[27].vx: 1140.311	p[27].vy: 1285.010	p[27].vz: 289.156

p[28].x: 3.291	p[28].y: 80.923	p[28].z: -84.966
p[28].vx: 37.033	p[28].vy: 901.828	p[28].vz: -947.375

p[29].x: 40.926	p[29].y: -97.222	p[29].z: -122.390
p[29].vx: 455.387	p[29].vy: -1081.619	p[29].vz: -1362.269

p[30].x: -26.932	p[30].y: -2.233	p[30].z: -54.351
p[30].vx: -299.228	p[30].vy: -24.817	p[30].vz: -604.753

p[31].x: -88.653	p[31].y: 73.803	p[31].z: -114.993
p[31].vx: -985.930	p[31].vy: 821.002	p[31].vz: -1279.300

p[32].x: -49.455	p[32].y: 5.671	p[32].z: -89.330
p[32].vx: -550.419	p[32].vy: 63.317	p[32].vz: -997.265

p[33].x: -143.646	p[33].y: -131.833	p[33].z: 46.862
p[33].vx: -1597.539	p[33].vy: -1466.116	p[33].vz: 520.894

p[34].x: -84.745	p[34].y: -98.635	p[34].z: -31.823
p[34].vx: -943.330	p[34].vy: -1098.725	p[34].vz: -354.635

p[35].x: -112.987	p[35].y: -26.274	p[35].z: 99.759
p[35].vx: -1257.157	p[35].vy: -292.301	p[35].vz: 1110.167

p[36].x: 73.162	p[36].y: 82.290	p[36].z: -112.301
p[36].vx: 814.120	p[36].vy: 915.467	p[36].vz: -1250.447

p[37].x: 0.242	p[37].y: 39.301	p[37].z: -18.234
p[37].vx: 2.820	p[37].vy: 442.951	p[37].vz: -204.843

p[38].x: 4.408	p[38].y: -25.177	p[38].z: 72.429
p[38].vx: 48.928	p[38].vy: -280.330	p[38].vz: 810.021

p[39].x: 25.236	p[39].y: -85.556	p[39].z: 1.063
p[39].vx: 281.205	p[39].vy: -955.549	p[39].vz: 11.599

