Total time: 7.020385s

p[0].x: -83.416	p[0].y: 178.896	p[0].z: -85.425
p[0].vx: -927.504	p[0].vy: 1989.351	p[0].vz: -950.193

p[1].x: -13.626	p[1].y: -237.220	p[1].z: 183.684
p[1].vx: -151.405	p[1].vy: -2636.373	p[1].vz: 2041.418

p[2].x: 79.601	p[2].y: 29.476	p[2].z: 167.928
p[2].vx: 885.626	p[2].vy: 327.829	p[2].vz: 1867.857

p[3].x: 163.429	p[3].y: -48.639	p[3].z: 15.801
p[3].vx: 1818.642	p[3].vy: -541.071	p[3].vz: 175.635

p[4].x: 149.409	p[4].y: 37.227	p[4].z: 87.067
p[4].vx: 1662.030	p[4].vy: 414.927	p[4].vz: 969.060

p[5].x: -38.707	p[5].y: 238.693	p[5].z: -161.862
p[5].vx: -430.012	p[5].vy: 2653.029	p[5].vz: -1799.309

p[6].x: -43.066	p[6].y: 37.201	p[6].z: 93.252
p[6].vx: -480.107	p[6].vy: 415.160	p[6].vz: 1038.870

p[7].x: -11.745	p[7].y: 14.230	p[7].z: 181.819
p[7].vx: -130.680	p[7].vy: 158.483	p[7].vz: 2022.659

p[8].x: 125.754	p[8].y: -115.081	p[8].z: -8.305
p[8].vx: 1399.370	p[8].vy: -1280.487	p[8].vz: -92.648

p[9].x: -116.973	p[9].y: 58.524	p[9].z: 89.750
p[9].vx: -1301.703	p[9].vy: 651.669	p[9].vz: 998.863

p[10].x: 42.674	p[10].y: -53.385	p[10].z: -87.227
p[10].vx: 476.058	p[10].vy: -594.758	p[10].vz: -972.370

p[11].x: 152.415	p[11].y: -104.093	p[11].z: -25.169
p[11].vx: 1695.752	p[11].vy: -1157.286	p[11].vz: -279.858

p[12].x: -2.820	p[12].y: -107.796	p[12].z: -182.079
p[12].vx: -31.369	p[12].vy: -1198.989	p[12].vz: -2024.850

p[13].x: -77.624	p[13].y: 69.190	p[13].z: 37.684
p[13].vx: -862.525	p[13].vy: 768.910	p[13].vz: 418.624

p[14].x: -126.506	p[14].y: 146.138	p[14].z: 98.331
p[14].vx: -1406.698	p[14].vy: 1625.158	p[14].vz: 1093.510

p[15].x: 76.704	p[15].y: -70.436	p[15].z: -214.424
p[15].vx: 853.161	p[15].vy: -783.072	p[15].vz: -2384.418

p[16].x: -1.097	p[16].y: 6.240	p[16].z: -7.689
p[16].vx: -7.636	p[16].vy: 50.916	p[16].vz: -78.485

p[17].x: -35.407	p[17].y: -32.743	p[17].z: 36.961
p[17].vx: -396.722	p[17].vy: -367.055	p[17].vz: 414.240

p[18].x: -17.312	p[18].y: -105.276	p[18].z: -218.518
p[18].vx: -192.390	p[18].vy: -1169.867	p[18].vz: -2428.583

p[19].x: -22.261	p[19].y: 163.905	p[19].z: -80.716
p[19].vx: -247.641	p[19].vy: 1823.450	p[19].vz: -898.292

p[20].x: 166.006	p[20].y: 207.937	p[20].z: -29.234
p[20].vx: 1845.684	p[20].vy: 2311.862	p[20].vz: -325.176

p[21].x: -7.028	p[21].y: 0.369	p[21].z: 62.566
p[21].vx: -78.235	p[21].vy: 4.072	p[21].vz: 699.976

p[22].x: -36.167	p[22].y: 184.015	p[22].z: 188.078
p[22].vx: -401.888	p[22].vy: 2045.217	p[22].vz: 2090.235

p[23].x: 129.847	p[23].y: -79.059	p[23].z: 41.253
p[23].vx: 1445.157	p[23].vy: -879.832	p[23].vz: 459.109

p[24].x: 52.091	p[24].y: 102.624	p[24].z: -112.877
p[24].vx: 579.820	p[24].vy: 1142.407	p[24].vz: -1256.513

p[25].x: -183.282	p[25].y: -171.231	p[25].z: -52.099
p[25].vx: -2037.559	p[25].vy: -1903.578	p[25].vz: -579.330

p[26].x: 23.138	p[26].y: 246.138	p[26].z: -47.445
p[26].vx: 257.385	p[26].vy: 2736.597	p[26].vz: -527.642

p[27].x: 39.619	p[27].y: 43.785	p[27].z: -23.209
p[27].vx: 443.990	p[27].vy: 490.653	p[27].vz: -259.792

p[28].x: -22.295	p[28].y: 29.302	p[28].z: -25.249
p[28].vx: -251.117	p[28].vy: 330.312	p[28].vz: -285.019

p[29].x: -176.802	p[29].y: 204.548	p[29].z: 191.643
p[29].vx: -1964.688	p[29].vy: 2273.552	p[29].vz: 2129.618

p[30].x: 241.346	p[30].y: -132.876	p[30].z: -81.824
p[30].vx: 2682.414	p[30].vy: -1476.779	p[30].vz: -909.541

p[31].x: -232.746	p[31].y: -146.729	p[31].z: -15.933
p[31].vx: -2586.957	p[31].vy: -1630.978	p[31].vz: -177.325

p[32].x: -183.463	p[32].y: -55.438	p[32].z: -73.454
p[32].vx: -2040.324	p[32].vy: -616.526	p[32].vz: -817.338

p[33].x: -54.233	p[33].y: -54.551	p[33].z: -30.486
p[33].vx: -605.752	p[33].vy: -609.229	p[33].vz: -340.781

p[34].x: -86.145	p[34].y: -44.606	p[34].z: 41.453
p[34].vx: -960.139	p[34].vy: -497.701	p[34].vz: 462.112

p[35].x: -232.877	p[35].y: 76.707	p[35].z: 47.605
p[35].vx: -2588.798	p[35].vy: 852.924	p[35].vz: 529.115

p[36].x: 163.558	p[36].y: 182.411	p[36].z: 9.081
p[36].vx: 1818.647	p[36].vy: 2028.077	p[36].vz: 100.735

p[37].x: 6.958	p[37].y: 153.378	p[37].z: -41.550
p[37].vx: 77.457	p[37].vy: 1706.814	p[37].vz: -462.712

p[38].x: -2.253	p[38].y: -132.512	p[38].z: 158.591
p[38].vx: -24.941	p[38].vy: -1473.579	p[38].vz: 1763.707

p[39].x: 139.518	p[39].y: -165.112	p[39].z: 100.048
p[39].vx: 1551.246	p[39].vy: -1835.646	p[39].vz: 1112.292

p[40].x: -152.412	p[40].y: 170.327	p[40].z: -60.021
p[40].vx: -1693.719	p[40].vy: 1893.117	p[40].vz: -667.251

p[41].x: 97.198	p[41].y: -32.439	p[41].z: 91.352
p[41].vx: 1082.168	p[41].vy: -361.275	p[41].vz: 1016.948

p[42].x: 207.058	p[42].y: -70.898	p[42].z: -166.494
p[42].vx: 2301.574	p[42].vy: -787.687	p[42].vz: -1850.777

p[43].x: -146.472	p[43].y: 125.781	p[43].z: 3.392
p[43].vx: -1629.093	p[43].vy: 1399.124	p[43].vz: 37.713

p[44].x: -51.191	p[44].y: 39.061	p[44].z: 218.891
p[44].vx: -569.107	p[44].vy: 434.270	p[44].vz: 2433.937

p[45].x: -72.581	p[45].y: 131.264	p[45].z: -110.247
p[45].vx: -807.518	p[45].vy: 1460.285	p[45].vz: -1226.701

p[46].x: 241.951	p[46].y: 51.005	p[46].z: -99.628
p[46].vx: 2689.189	p[46].vy: 566.956	p[46].vz: -1107.325

p[47].x: -7.897	p[47].y: 49.631	p[47].z: 103.332
p[47].vx: -87.780	p[47].vy: 553.322	p[47].vz: 1151.308

p[48].x: -79.096	p[48].y: 124.787	p[48].z: 31.092
p[48].vx: -878.849	p[48].vy: 1386.881	p[48].vz: 345.332

p[49].x: -21.005	p[49].y: -32.151	p[49].z: -58.023
p[49].vx: -234.836	p[49].vy: -359.568	p[49].vz: -649.293

p[50].x: 39.659	p[50].y: -85.929	p[50].z: -91.847
p[50].vx: 441.795	p[50].vy: -956.892	p[50].vz: -1022.937

p[51].x: 51.990	p[51].y: 107.040	p[51].z: 60.934
p[51].vx: 579.155	p[51].vy: 1191.810	p[51].vz: 678.832

p[52].x: 120.353	p[52].y: 178.042	p[52].z: 188.854
p[52].vx: 1337.919	p[52].vy: 1979.338	p[52].vz: 2099.082

p[53].x: 373.454	p[53].y: 70.729	p[53].z: -189.619
p[53].vx: 4150.386	p[53].vy: 785.993	p[53].vz: -2107.108

p[54].x: 51.357	p[54].y: 176.583	p[54].z: 200.543
p[54].vx: 571.025	p[54].vy: 1962.973	p[54].vz: 2229.214

p[55].x: -134.057	p[55].y: 20.866	p[55].z: -121.320
p[55].vx: -1491.540	p[55].vy: 232.381	p[55].vz: -1350.116

p[56].x: -30.641	p[56].y: -263.140	p[56].z: -161.403
p[56].vx: -340.619	p[56].vy: -2924.601	p[56].vz: -1794.074

p[57].x: -143.636	p[57].y: -170.943	p[57].z: 85.306
p[57].vx: -1596.370	p[57].vy: -1899.883	p[57].vz: 947.951

p[58].x: 110.247	p[58].y: 223.112	p[58].z: -78.552
p[58].vx: 1226.059	p[58].vy: 2480.375	p[58].vz: -873.528

p[59].x: 236.613	p[59].y: 132.568	p[59].z: 36.894
p[59].vx: 2630.286	p[59].vy: 1473.657	p[59].vz: 409.636

p[60].x: -244.007	p[60].y: -93.811	p[60].z: -126.765
p[60].vx: -2712.365	p[60].vy: -1043.032	p[60].vz: -1409.435

p[61].x: -168.700	p[61].y: -71.647	p[61].z: 54.506
p[61].vx: -1876.383	p[61].vy: -796.958	p[61].vz: 606.387

p[62].x: 64.096	p[62].y: -27.839	p[62].z: -176.052
p[62].vx: 713.161	p[62].vy: -309.721	p[62].vz: -1958.465

p[63].x: -84.940	p[63].y: -52.982	p[63].z: 56.458
p[63].vx: -946.315	p[63].vy: -590.617	p[63].vz: 629.012

p[64].x: 176.449	p[64].y: 60.362	p[64].z: -123.663
p[64].vx: 1962.210	p[64].vy: 671.464	p[64].vz: -1375.331

p[65].x: 192.920	p[65].y: -143.803	p[65].z: -135.116
p[65].vx: 2144.325	p[65].vy: -1598.187	p[65].vz: -1501.893

p[66].x: 134.979	p[66].y: -116.511	p[66].z: -91.577
p[66].vx: 1500.250	p[66].vy: -1294.831	p[66].vz: -1017.858

p[67].x: 159.752	p[67].y: 154.738	p[67].z: -194.664
p[67].vx: 1776.059	p[67].vy: 1720.043	p[67].vz: -2163.598

p[68].x: -4.428	p[68].y: -62.844	p[68].z: -267.101
p[68].vx: -49.192	p[68].vy: -698.578	p[68].vz: -2969.337

p[69].x: 66.464	p[69].y: -88.156	p[69].z: 35.151
p[69].vx: 740.664	p[69].vy: -982.190	p[69].vz: 391.747

p[70].x: 63.411	p[70].y: 164.759	p[70].z: -64.072
p[70].vx: 705.585	p[70].vy: 1832.768	p[70].vz: -712.869

p[71].x: 128.772	p[71].y: -117.219	p[71].z: -195.594
p[71].vx: 1431.333	p[71].vy: -1302.891	p[71].vz: -2173.610

p[72].x: -25.451	p[72].y: -68.280	p[72].z: 261.813
p[72].vx: -282.893	p[72].vy: -758.877	p[72].vz: 2909.928

p[73].x: 29.591	p[73].y: -108.633	p[73].z: -203.406
p[73].vx: 329.222	p[73].vy: -1208.145	p[73].vz: -2261.259

p[74].x: -53.120	p[74].y: 189.673	p[74].z: 155.757
p[74].vx: -590.399	p[74].vy: 2108.466	p[74].vz: 1731.244

p[75].x: 1.674	p[75].y: -187.420	p[75].z: 70.108
p[75].vx: 18.549	p[75].vy: -2084.219	p[75].vz: 779.595

p[76].x: -22.179	p[76].y: -250.846	p[76].z: -63.175
p[76].vx: -246.479	p[76].vy: -2788.680	p[76].vz: -702.512

p[77].x: -221.370	p[77].y: -2.894	p[77].z: -108.535
p[77].vx: -2460.408	p[77].vy: -32.128	p[77].vz: -1206.529

p[78].x: 179.839	p[78].y: -175.259	p[78].z: 87.605
p[78].vx: 1999.293	p[78].vy: -1948.149	p[78].vz: 973.728

p[79].x: -8.249	p[79].y: -6.664	p[79].z: -7.792
p[79].vx: -87.522	p[79].vy: -69.056	p[79].vz: -66.186

p[80].x: 50.031	p[80].y: -110.371	p[80].z: -84.314
p[80].vx: 556.930	p[80].vy: -1228.543	p[80].vz: -938.534

p[81].x: 100.809	p[81].y: 53.754	p[81].z: -162.643
p[81].vx: 1121.382	p[81].vy: 598.028	p[81].vz: -1809.228

p[82].x: -145.727	p[82].y: 130.519	p[82].z: -178.967
p[82].vx: -1619.348	p[82].vy: 1450.716	p[82].vz: -1989.181

p[83].x: 170.321	p[83].y: 149.828	p[83].z: 97.100
p[83].vx: 1893.228	p[83].vy: 1665.467	p[83].vz: 1079.073

p[84].x: -24.662	p[84].y: -17.853	p[84].z: 55.859
p[84].vx: -276.018	p[84].vy: -199.468	p[84].vz: 624.793

p[85].x: 93.462	p[85].y: 196.829	p[85].z: -81.504
p[85].vx: 1039.273	p[85].vy: 2188.503	p[85].vz: -906.426

p[86].x: -26.629	p[86].y: -64.272	p[86].z: -39.037
p[86].vx: -297.396	p[86].vy: -717.906	p[86].vz: -436.244

p[87].x: -78.021	p[87].y: 97.681	p[87].z: -131.713
p[87].vx: -868.188	p[87].vy: 1086.614	p[87].vz: -1465.375

p[88].x: -160.084	p[88].y: -82.683	p[88].z: 155.261
p[88].vx: -1779.777	p[88].vy: -919.329	p[88].vz: 1726.257

p[89].x: -2.636	p[89].y: -87.057	p[89].z: -28.398
p[89].vx: -29.125	p[89].vy: -971.330	p[89].vz: -316.873

p[90].x: 126.729	p[90].y: -98.168	p[90].z: 194.097
p[90].vx: 1408.896	p[90].vy: -1091.263	p[90].vz: 2157.661

p[91].x: -240.976	p[91].y: -55.281	p[91].z: -94.204
p[91].vx: -2678.610	p[91].vy: -614.445	p[91].vz: -1047.384

p[92].x: 8.637	p[92].y: 165.689	p[92].z: -100.720
p[92].vx: 96.148	p[92].vy: 1842.941	p[92].vz: -1120.729

p[93].x: -99.231	p[93].y: 41.027	p[93].z: 199.569
p[93].vx: -1103.345	p[93].vy: 456.119	p[93].vz: 2218.880

p[94].x: -212.243	p[94].y: -101.365	p[94].z: 127.555
p[94].vx: -2358.941	p[94].vy: -1126.626	p[94].vz: 1417.761

p[95].x: 77.375	p[95].y: 120.252	p[95].z: -46.426
p[95].vx: 861.404	p[95].vy: 1338.663	p[95].vz: -517.186

p[96].x: -47.668	p[96].y: -32.244	p[96].z: -370.873
p[96].vx: -529.717	p[96].vy: -358.088	p[96].vz: -4122.106

p[97].x: -15.844	p[97].y: -13.890	p[97].z: -5.987
p[97].vx: -183.901	p[97].vy: -160.224	p[97].vz: -65.256

p[98].x: 206.437	p[98].y: 25.127	p[98].z: 78.169
p[98].vx: 2295.566	p[98].vy: 279.576	p[98].vz: 869.191

p[99].x: 164.468	p[99].y: 212.840	p[99].z: 21.134
p[99].vx: 1827.903	p[99].vy: 2365.511	p[99].vz: 234.757

p[100].x: -99.528	p[100].y: 4.270	p[100].z: 30.822
p[100].vx: -1109.478	p[100].vy: 48.153	p[100].vz: 343.547

p[101].x: -125.600	p[101].y: -219.782	p[101].z: 66.191
p[101].vx: -1395.914	p[101].vy: -2442.868	p[101].vz: 735.390

p[102].x: -23.215	p[102].y: 229.680	p[102].z: -333.493
p[102].vx: -257.613	p[102].vy: 2551.799	p[102].vz: -3705.749

p[103].x: 167.878	p[103].y: -288.904	p[103].z: 8.403
p[103].vx: 1865.960	p[103].vy: -3210.222	p[103].vz: 92.800

p[104].x: -31.483	p[104].y: 177.748	p[104].z: -84.242
p[104].vx: -350.105	p[104].vy: 1977.006	p[104].vz: -937.388

p[105].x: -50.175	p[105].y: 106.281	p[105].z: -208.074
p[105].vx: -558.653	p[105].vy: 1181.442	p[105].vz: -2313.748

