Total time: 4.772520s

p[0].x: -30.527	p[0].y: 1.194	p[0].z: -17.650
p[0].vx: -341.727	p[0].vy: 14.685	p[0].vz: -197.685

p[1].x: 1.863	p[1].y: -25.670	p[1].z: 22.919
p[1].vx: 21.123	p[1].vy: -286.327	p[1].vz: 255.728

p[2].x: 14.995	p[2].y: -1.317	p[2].z: -31.963
p[2].vx: 167.800	p[2].vy: -14.468	p[2].vz: -356.143

p[3].x: 29.962	p[3].y: -5.650	p[3].z: 22.656
p[3].vx: 336.035	p[3].vy: -63.442	p[3].vz: 254.538

p[4].x: 25.275	p[4].y: 5.822	p[4].z: 28.737
p[4].vx: 283.774	p[4].vy: 65.584	p[4].vz: 322.510

p[5].x: -19.174	p[5].y: -33.580	p[5].z: -34.969
p[5].vx: -212.590	p[5].vy: -374.534	p[5].vz: -388.793

p[6].x: -1.862	p[6].y: -27.810	p[6].z: 22.489
p[6].vx: -21.083	p[6].vy: -310.693	p[6].vz: 251.904

p[7].x: 8.597	p[7].y: -31.355	p[7].z: 9.337
p[7].vx: 97.160	p[7].vy: -350.034	p[7].vz: 105.709

p[8].x: 21.553	p[8].y: -21.106	p[8].z: -1.979
p[8].vx: 243.262	p[8].vy: -238.168	p[8].vz: -22.756

p[9].x: -24.926	p[9].y: -0.246	p[9].z: 25.324
p[9].vx: -280.382	p[9].vy: -0.553	p[9].vz: 284.097

p[10].x: 5.749	p[10].y: -15.900	p[10].z: -19.545
p[10].vx: 67.325	p[10].vy: -181.473	p[10].vz: -221.236

p[11].x: 34.060	p[11].y: -22.076	p[11].z: 0.634
p[11].vx: 380.384	p[11].vy: -247.281	p[11].vz: 6.698

p[12].x: 3.705	p[12].y: -31.032	p[12].z: -22.124
p[12].vx: 41.233	p[12].vy: -347.561	p[12].vz: -249.064

p[13].x: -7.787	p[13].y: 18.289	p[13].z: -14.385
p[13].vx: -87.216	p[13].vy: 204.016	p[13].vz: -160.306

p[14].x: -25.342	p[14].y: 7.888	p[14].z: 18.201
p[14].vx: -283.597	p[14].vy: 89.320	p[14].vz: 203.903

p[15].x: -24.470	p[15].y: -6.642	p[15].z: -22.097
p[15].vx: -273.344	p[15].vy: -73.921	p[15].vz: -247.394

p[16].x: -2.410	p[16].y: 9.165	p[16].z: -7.361
p[16].vx: -21.028	p[16].vy: 81.286	p[16].vz: -76.202

p[17].x: -16.810	p[17].y: -13.684	p[17].z: 6.739
p[17].vx: -191.900	p[17].vy: -156.623	p[17].vz: 79.521

p[18].x: -2.916	p[18].y: 17.719	p[18].z: -35.265
p[18].vx: -32.825	p[18].vy: 197.526	p[18].vz: -393.109

p[19].x: 5.773	p[19].y: 39.966	p[19].z: -3.640
p[19].vx: 65.676	p[19].vy: 446.112	p[19].vz: -41.557

p[20].x: 26.042	p[20].y: 28.960	p[20].z: 4.609
p[20].vx: 291.811	p[20].vy: 325.428	p[20].vz: 51.963

p[21].x: -10.744	p[21].y: 1.884	p[21].z: 28.302
p[21].vx: -121.162	p[21].vy: 21.520	p[21].vz: 316.806

p[22].x: -5.676	p[22].y: 11.619	p[22].z: 44.964
p[22].vx: -63.343	p[22].vy: 130.795	p[22].vz: 501.710

p[23].x: 25.922	p[23].y: -6.815	p[23].z: 19.947
p[23].vx: 290.323	p[23].vy: -78.484	p[23].vz: 224.375

p[24].x: 7.051	p[24].y: 21.192	p[24].z: -39.705
p[24].vx: 81.149	p[24].vy: 238.033	p[24].vz: -443.733

p[25].x: -8.233	p[25].y: -15.404	p[25].z: 38.824
p[25].vx: -92.558	p[25].vy: -172.878	p[25].vz: 432.941

p[26].x: 1.984	p[26].y: 21.978	p[26].z: -7.133
p[26].vx: 24.391	p[26].vy: 246.502	p[26].vz: -78.977

p[27].x: 16.721	p[27].y: 8.973	p[27].z: -11.572
p[27].vx: 190.640	p[27].vy: 104.510	p[27].vz: -133.098

p[28].x: -10.276	p[28].y: 13.791	p[28].z: -7.218
p[28].vx: -119.700	p[28].vy: 159.607	p[28].vz: -85.795

p[29].x: -9.821	p[29].y: 33.003	p[29].z: 19.733
p[29].vx: -109.108	p[29].vy: 368.259	p[29].vz: 221.201

p[30].x: 34.853	p[30].y: -14.188	p[30].z: -2.092
p[30].vx: 388.372	p[30].vy: -158.001	p[30].vz: -23.950

p[31].x: -9.096	p[31].y: -24.245	p[31].z: 9.107
p[31].vx: -101.882	p[31].vy: -270.598	p[31].vz: 102.299

p[32].x: -36.073	p[32].y: -5.815	p[32].z: 15.313
p[32].vx: -402.491	p[32].vy: -65.463	p[32].vz: 171.807

p[33].x: -27.001	p[33].y: -4.740	p[33].z: -27.364
p[33].vx: -303.792	p[33].vy: -56.930	p[33].vz: -307.713

p[34].x: -19.333	p[34].y: -2.121	p[34].z: 26.178
p[34].vx: -218.001	p[34].vy: -25.114	p[34].vz: 293.903

p[35].x: -12.957	p[35].y: 21.194	p[35].z: -4.587
p[35].vx: -144.921	p[35].vy: 236.568	p[35].vz: -51.703

p[36].x: 20.368	p[36].y: 28.646	p[36].z: 20.167
p[36].vx: 227.959	p[36].vy: 320.439	p[36].vz: 226.364

p[37].x: -1.050	p[37].y: -31.915	p[37].z: 19.554
p[37].vx: -11.934	p[37].vy: -356.737	p[37].vz: 219.325

p[38].x: 0.555	p[38].y: -11.539	p[38].z: -40.474
p[38].vx: 6.766	p[38].vy: -129.046	p[38].vz: -450.610

p[39].x: 5.985	p[39].y: 43.169	p[39].z: 6.920
p[39].vx: 65.953	p[39].vy: 481.202	p[39].vz: 79.109

p[40].x: -23.653	p[40].y: 2.168	p[40].z: 8.261
p[40].vx: -264.997	p[40].vy: 26.384	p[40].vz: 92.531

p[41].x: -1.321	p[41].y: 48.925	p[41].z: 10.023
p[41].vx: -13.595	p[41].vy: 545.800	p[41].vz: 113.827

p[42].x: 7.929	p[42].y: 40.785	p[42].z: 2.843
p[42].vx: 89.540	p[42].vy: 454.221	p[42].vz: 30.283

p[43].x: -16.627	p[43].y: 15.151	p[43].z: -27.369
p[43].vx: -186.496	p[43].vy: 170.541	p[43].vz: -306.395

p[44].x: -1.189	p[44].y: 35.781	p[44].z: -1.909
p[44].vx: -12.999	p[44].vy: 399.214	p[44].vz: -18.458

p[45].x: -2.427	p[45].y: 27.908	p[45].z: -17.571
p[45].vx: -25.643	p[45].vy: 311.430	p[45].vz: -196.686

p[46].x: -19.689	p[46].y: 15.818	p[46].z: 4.942
p[46].vx: -220.112	p[46].vy: 177.093	p[46].vz: 56.161

p[47].x: -8.984	p[47].y: 8.390	p[47].z: 26.130
p[47].vx: -102.267	p[47].vy: 95.952	p[47].vz: 294.552

p[48].x: -16.725	p[48].y: -6.239	p[48].z: 30.360
p[48].vx: -186.679	p[48].vy: -69.255	p[48].vz: 338.489

p[49].x: -10.172	p[49].y: -10.740	p[49].z: -17.200
p[49].vx: -116.733	p[49].vy: -123.570	p[49].vz: -196.912

p[50].x: 5.542	p[50].y: -19.633	p[50].z: -22.277
p[50].vx: 63.187	p[50].vy: -221.947	p[50].vz: -251.503

p[51].x: 31.687	p[51].y: 27.095	p[51].z: -4.322
p[51].vx: 354.536	p[51].vy: 303.461	p[51].vz: -48.348

p[52].x: 3.478	p[52].y: 14.110	p[52].z: 44.906
p[52].vx: 39.031	p[52].vy: 158.613	p[52].vz: 500.922

