Total time: 11.732774s

p[0].x: 30.546	p[0].y: 19.938	p[0].z: 26.860
p[0].vx: 341.485	p[0].vy: 221.918	p[0].vz: 300.272

p[1].x: -20.318	p[1].y: 17.017	p[1].z: -19.815
p[1].vx: -226.422	p[1].vy: 190.698	p[1].vz: -220.563

p[2].x: -14.151	p[2].y: 13.321	p[2].z: 27.739
p[2].vx: -156.611	p[2].vy: 147.393	p[2].vz: 314.786

p[3].x: -16.238	p[3].y: -2.592	p[3].z: -39.517
p[3].vx: -180.733	p[3].vy: -28.486	p[3].vz: -442.772

p[4].x: -21.186	p[4].y: 3.645	p[4].z: -24.901
p[4].vx: -237.603	p[4].vy: 40.273	p[4].vz: -277.709

p[5].x: 10.392	p[5].y: 28.008	p[5].z: 9.947
p[5].vx: 115.264	p[5].vy: 314.721	p[5].vz: 110.862

p[6].x: -18.301	p[6].y: 21.544	p[6].z: 4.625
p[6].vx: -203.812	p[6].vy: 247.389	p[6].vz: 51.234

p[7].x: -11.869	p[7].y: 29.852	p[7].z: -0.063
p[7].vx: -132.654	p[7].vy: 334.198	p[7].vz: -0.993

p[8].x: -24.748	p[8].y: 28.142	p[8].z: 3.771
p[8].vx: -276.322	p[8].vy: 313.741	p[8].vz: 42.176

p[9].x: 24.816	p[9].y: 36.947	p[9].z: -16.124
p[9].vx: 277.824	p[9].vy: 409.398	p[9].vz: -180.676

p[10].x: 11.746	p[10].y: 25.831	p[10].z: 7.154
p[10].vx: 130.363	p[10].vy: 289.511	p[10].vz: 80.200

p[11].x: 6.880	p[11].y: 24.445	p[11].z: 6.293
p[11].vx: 76.565	p[11].vy: 273.298	p[11].vz: 70.346

p[12].x: -14.362	p[12].y: 28.975	p[12].z: 26.882
p[12].vx: -159.829	p[12].vy: 322.515	p[12].vz: 299.316

p[13].x: 18.543	p[13].y: -18.272	p[13].z: 24.128
p[13].vx: 206.959	p[13].vy: -204.256	p[13].vz: 268.068

p[14].x: 40.842	p[14].y: 6.149	p[14].z: -28.987
p[14].vx: 455.479	p[14].vy: 68.485	p[14].vz: -323.238

p[15].x: 6.743	p[15].y: -4.901	p[15].z: 2.413
p[15].vx: 84.872	p[15].vy: -54.622	p[15].vz: 28.667

p[16].x: 0.462	p[16].y: -2.084	p[16].z: -4.512
p[16].vx: 9.386	p[16].vy: -37.378	p[16].vz: -39.528

p[17].x: -0.955	p[17].y: -10.533	p[17].z: 12.115
p[17].vx: -9.436	p[17].vy: -115.981	p[17].vz: 134.083

p[18].x: 28.292	p[18].y: -26.666	p[18].z: 20.920
p[18].vx: 314.931	p[18].vy: -296.328	p[18].vz: 234.284

p[19].x: -27.770	p[19].y: -23.325	p[19].z: -5.690
p[19].vx: -312.116	p[19].vy: -259.122	p[19].vz: -63.642

p[20].x: -38.265	p[20].y: -35.312	p[20].z: -0.996
p[20].vx: -427.076	p[20].vy: -393.764	p[20].vz: -11.485

p[21].x: 12.616	p[21].y: -15.964	p[21].z: 25.168
p[21].vx: 141.644	p[21].vy: -177.876	p[21].vz: 285.161

p[22].x: 9.488	p[22].y: -29.424	p[22].z: -31.259
p[22].vx: 106.345	p[22].vy: -327.176	p[22].vz: -349.532

p[23].x: -26.212	p[23].y: 10.829	p[23].z: -26.476
p[23].vx: -293.368	p[23].vy: 121.173	p[23].vz: -295.638

p[24].x: -21.616	p[24].y: -8.906	p[24].z: 19.863
p[24].vx: -242.449	p[24].vy: -99.243	p[24].vz: 220.453

p[25].x: -34.330	p[25].y: -19.566	p[25].z: -34.529
p[25].vx: -380.709	p[25].vy: -216.796	p[25].vz: -387.970

p[26].x: -30.290	p[26].y: -25.108	p[26].z: -7.596
p[26].vx: -339.960	p[26].vy: -279.112	p[26].vz: -85.032

p[27].x: -7.561	p[27].y: 19.698	p[27].z: 19.407
p[27].vx: -84.398	p[27].vy: 218.555	p[27].vz: 217.555

p[28].x: 19.019	p[28].y: 22.920	p[28].z: -24.108
p[28].vx: 213.050	p[28].vy: 255.197	p[28].vz: -267.868

p[29].x: 15.081	p[29].y: -30.214	p[29].z: -33.222
p[29].vx: 168.812	p[29].vy: -337.033	p[29].vz: -370.926

p[30].x: -7.389	p[30].y: 3.387	p[30].z: 1.017
p[30].vx: -81.685	p[30].vy: 38.295	p[30].vz: 11.348

p[31].x: -20.890	p[31].y: 17.160	p[31].z: -23.133
p[31].vx: -232.347	p[31].vy: 192.891	p[31].vz: -257.636

p[32].x: 6.332	p[32].y: -21.642	p[32].z: -39.163
p[32].vx: 71.096	p[32].vy: -239.915	p[32].vz: -440.767

p[33].x: -6.834	p[33].y: -10.665	p[33].z: 17.843
p[33].vx: -75.643	p[33].vy: -116.733	p[33].vz: 200.222

p[34].x: -21.350	p[34].y: -23.359	p[34].z: -34.744
p[34].vx: -237.557	p[34].vy: -260.781	p[34].vz: -386.436

p[35].x: -27.275	p[35].y: -23.956	p[35].z: 29.425
p[35].vx: -301.431	p[35].vy: -266.372	p[35].vz: 326.445

p[36].x: 16.695	p[36].y: -4.916	p[36].z: -16.634
p[36].vx: 186.287	p[36].vy: -56.085	p[36].vz: -192.876

p[37].x: -0.758	p[37].y: 9.309	p[37].z: -6.585
p[37].vx: -9.520	p[37].vy: 112.621	p[37].vz: -75.328

p[38].x: -11.821	p[38].y: -1.411	p[38].z: 27.657
p[38].vx: -131.303	p[38].vy: -15.416	p[38].vz: 313.411

p[39].x: 2.894	p[39].y: -38.139	p[39].z: -13.218
p[39].vx: 32.631	p[39].vy: -430.078	p[39].vz: -146.900

p[40].x: 2.475	p[40].y: 7.096	p[40].z: -3.840
p[40].vx: 28.625	p[40].vy: 78.199	p[40].vz: -43.176

p[41].x: 14.490	p[41].y: -16.428	p[41].z: 9.625
p[41].vx: 162.997	p[41].vy: -189.635	p[41].vz: 108.406

p[42].x: 3.645	p[42].y: -30.072	p[42].z: 34.148
p[42].vx: 40.590	p[42].vy: -335.190	p[42].vz: 382.795

p[43].x: 12.856	p[43].y: -18.352	p[43].z: 30.494
p[43].vx: 143.942	p[43].vy: -204.665	p[43].vz: 341.735

p[44].x: -10.737	p[44].y: -32.082	p[44].z: 25.291
