Total time: 5.459226s

p[0].x: -69.184	p[0].y: 88.032	p[0].z: -27.075
p[0].vx: -770.913	p[0].vy: 979.858	p[0].vz: -302.729

p[1].x: 6.581	p[1].y: -55.332	p[1].z: 61.782
p[1].vx: 73.493	p[1].vy: -616.107	p[1].vz: 687.741

p[2].x: 63.550	p[2].y: 12.724	p[2].z: -18.409
p[2].vx: 707.321	p[2].vy: 141.503	p[2].vz: -205.111

p[3].x: 50.267	p[3].y: -11.386	p[3].z: 29.005
p[3].vx: 562.120	p[3].vy: -127.330	p[3].vz: 324.557

p[4].x: 44.175	p[4].y: 7.851	p[4].z: 42.187
p[4].vx: 493.762	p[4].vy: 88.365	p[4].vz: 471.599

p[5].x: -0.934	p[5].y: -48.523	p[5].z: -66.284
p[5].vx: -10.231	p[5].vy: -540.084	p[5].vz: -737.395

p[6].x: -1.499	p[6].y: -30.523	p[6].z: 71.163
p[6].vx: -17.785	p[6].vy: -340.175	p[6].vz: 792.719

p[7].x: -0.040	p[7].y: -40.896	p[7].z: 59.113
p[7].vx: 0.456	p[7].vy: -456.023	p[7].vz: 658.946

p[8].x: 36.955	p[8].y: -34.587	p[8].z: -3.502
p[8].vx: 414.232	p[8].vy: -387.545	p[8].vz: -39.351

p[9].x: -39.200	p[9].y: -4.446	p[9].z: 30.850
p[9].vx: -438.888	p[9].vy: -47.405	p[9].vz: 346.164

p[10].x: 11.849	p[10].y: -22.730	p[10].z: -31.803
p[10].vx: 134.830	p[10].vy: -256.035	p[10].vz: -357.812

p[11].x: 57.467	p[11].y: -33.830	p[11].z: -0.023
p[11].vx: 641.103	p[11].vy: -377.638	p[11].vz: -0.440

p[12].x: -1.288	p[12].y: -44.007	p[12].z: -39.227
p[12].vx: -14.324	p[12].vy: -491.912	p[12].vz: -438.809

p[13].x: -6.094	p[13].y: 25.277	p[13].z: -21.058
p[13].vx: -68.365	p[13].vy: 281.490	p[13].vz: -234.395

p[14].x: -47.689	p[14].y: 34.238	p[14].z: 35.198
p[14].vx: -531.942	p[14].vy: 382.132	p[14].vz: 392.897

p[15].x: -35.526	p[15].y: -15.308	p[15].z: -67.330
p[15].vx: -395.949	p[15].vy: -170.444	p[15].vz: -750.021

p[16].x: -2.177	p[16].y: 8.125	p[16].z: -7.477
p[16].vx: -18.989	p[16].vy: 70.801	p[16].vz: -77.240

p[17].x: -21.352	p[17].y: -19.538	p[17].z: 13.664
p[17].vx: -241.911	p[17].vy: -221.492	p[17].vz: 156.210

p[18].x: -8.781	p[18].y: 28.776	p[18].z: -89.430
p[18].vx: -97.999	p[18].vy: 320.569	p[18].vz: -995.354

p[19].x: 10.287	p[19].y: 67.334	p[19].z: -9.809
p[19].vx: 115.234	p[19].vy: 750.766	p[19].vz: -110.414

p[20].x: 47.121	p[20].y: 51.958	p[20].z: 1.481
p[20].vx: 526.007	p[20].vy: 580.099	p[20].vz: 16.156

p[21].x: -14.138	p[21].y: 3.008	p[21].z: 47.035
p[21].vx: -158.317	p[21].vy: 33.851	p[21].vz: 526.098

p[22].x: -29.469	p[22].y: 9.745	p[22].z: 74.898
p[22].vx: -327.334	p[22].vy: 109.642	p[22].vz: 833.927

p[23].x: 43.199	p[23].y: -16.433	p[23].z: 27.833
p[23].vx: 483.313	p[23].vy: -184.689	p[23].vz: 311.743

p[24].x: 25.703	p[24].y: 32.406	p[24].z: -45.711
p[24].vx: 287.927	p[24].vy: 362.596	p[24].vz: -510.893

p[25].x: -20.067	p[25].y: -22.100	p[25].z: 62.353
p[25].vx: -224.326	p[25].vy: -247.047	p[25].vz: 694.610

p[26].x: 36.982	p[26].y: 63.360	p[26].z: 12.514
p[26].vx: 412.673	p[26].vy: 706.262	p[26].vz: 139.297

p[27].x: 21.639	p[27].y: 16.979	p[27].z: -16.374
p[27].vx: 245.464	p[27].vy: 193.382	p[27].vz: -186.168

