Total time: 12.477215s

p[0].x: 21.994	p[0].y: 13.003	p[0].z: 17.150
p[0].vx: 242.189	p[0].vy: 144.503	p[0].vz: 187.198

p[1].x: -12.197	p[1].y: 10.275	p[1].z: -10.912
p[1].vx: -131.112	p[1].vy: 115.837	p[1].vz: -118.029

p[2].x: -11.075	p[2].y: 4.350	p[2].z: 15.798
p[2].vx: -118.191	p[2].vy: 47.928	p[2].vz: 176.187

p[3].x: -14.248	p[3].y: 5.727	p[3].z: -20.555
p[3].vx: -157.008	p[3].vy: 63.180	p[3].vz: -228.017

p[4].x: -14.018	p[4].y: -0.236	p[4].z: -15.120
p[4].vx: -155.778	p[4].vy: -2.740	p[4].vz: -166.463

p[5].x: 3.853	p[5].y: 14.585	p[5].z: 5.775
p[5].vx: 39.947	p[5].vy: 162.138	p[5].vz: 64.314

p[6].x: -12.905	p[6].y: 14.749	p[6].z: 2.628
p[6].vx: -135.275	p[6].vy: 169.737	p[6].vz: 28.948

p[7].x: -3.679	p[7].y: 14.538	p[7].z: -2.872
p[7].vx: -42.355	p[7].vy: 159.322	p[7].vz: -30.624

p[8].x: -13.168	p[8].y: 14.526	p[8].z: 9.638
p[8].vx: -141.283	p[8].vy: 158.982	p[8].vz: 108.220

p[9].x: 21.462	p[9].y: 24.693	p[9].z: -22.486
p[9].vx: 239.076	p[9].vy: 271.903	p[9].vz: -249.227

p[10].x: 0.707	p[10].y: 9.345	p[10].z: 1.198
p[10].vx: 3.516	p[10].vy: 104.509	p[10].vz: 16.047

p[11].x: -0.555	p[11].y: 12.685	p[11].z: 3.977
p[11].vx: -8.667	p[11].vy: 134.494	p[11].vz: 45.037

p[12].x: -9.998	p[12].y: 14.590	p[12].z: 15.513
p[12].vx: -111.554	p[12].vy: 161.891	p[12].vz: 165.949

p[13].x: 9.460	p[13].y: -9.668	p[13].z: 12.420
p[13].vx: 105.485	p[13].vy: -105.284	p[13].vz: 135.591

p[14].x: 49.849	p[14].y: 11.330	p[14].z: -27.459
p[14].vx: 556.532	p[14].vy: 125.498	p[14].vz: -306.796

p[15].x: 3.086	p[15].y: -3.403	p[15].z: 2.090
p[15].vx: 47.236	p[15].vy: -35.112	p[15].vz: 27.513

p[16].x: 0.562	p[16].y: -3.626	p[16].z: -1.675
p[16].vx: 8.497	p[16].vy: -52.202	p[16].vz: -3.021

p[17].x: -1.815	p[17].y: -4.593	p[17].z: 8.371
p[17].vx: -18.619	p[17].vy: -46.605	p[17].vz: 88.620

p[18].x: 16.164	p[18].y: -13.569	p[18].z: 16.286
p[18].vx: 171.617	p[18].vy: -151.570	p[18].vz: 179.422

p[19].x: -19.345	p[19].y: -12.938	p[19].z: 0.206
p[19].vx: -212.978	p[19].vy: -142.232	p[19].vz: 2.952

p[20].x: -22.452	p[20].y: -20.375	p[20].z: -3.472
p[20].vx: -247.528	p[20].vy: -225.035	p[20].vz: -38.812

p[21].x: 11.728	p[21].y: -10.740	p[21].z: 17.606
p[21].vx: 132.362	p[21].vy: -118.159	p[21].vz: 197.351

p[22].x: 11.657	p[22].y: -17.744	p[22].z: -20.414
p[22].vx: 126.805	p[22].vy: -193.606	p[22].vz: -222.346

p[23].x: -18.602	p[23].y: 9.074	p[23].z: -14.193
p[23].vx: -206.337	p[23].vy: 102.683	p[23].vz: -156.023

p[24].x: -10.708	p[24].y: -3.394	p[24].z: 9.536
p[24].vx: -120.263	p[24].vy: -36.502	p[24].vz: 104.889

p[25].x: -29.268	p[25].y: -11.660	p[25].z: -22.867
p[25].vx: -322.039	p[25].vy: -128.182	p[25].vz: -258.440

p[26].x: -17.378	p[26].y: -17.595	p[26].z: -4.085
p[26].vx: -197.030	p[26].vy: -190.867	p[26].vz: -45.628

p[27].x: -6.213	p[27].y: 10.268	p[27].z: 8.147
p[27].vx: -70.451	p[27].vy: 106.163	p[27].vz: 90.112

p[28].x: 0.098	p[28].y: 5.783	p[28].z: -2.417
p[28].vx: 1.937	p[28].vy: 61.209	p[28].vz: -23.525

p[29].x: 9.763	p[29].y: -18.858	p[29].z: -20.903
p[29].vx: 109.746	p[29].vy: -208.211	p[29].vz: -232.196

p[30].x: -4.363	p[30].y: -0.093	p[30].z: -4.443
p[30].vx: -49.059	p[30].vy: 2.902	p[30].vz: -41.119

p[31].x: -14.101	p[31].y: 14.813	p[31].z: -15.226
p[31].vx: -156.702	p[31].vy: 161.610	p[31].vz: -168.899

p[32].x: 13.806	p[32].y: -6.812	p[32].z: -18.373
p[32].vx: 150.793	p[32].vy: -75.469	p[32].vz: -209.391

p[33].x: -6.657	p[33].y: -7.558	p[33].z: 9.712
p[33].vx: -73.641	p[33].vy: -75.880	p[33].vz: 110.872

p[34].x: -8.829	p[34].y: -13.444	p[34].z: -11.072
p[34].vx: -97.914	p[34].vy: -145.741	p[34].vz: -125.138

p[35].x: -14.833	p[35].y: -11.987	p[35].z: 14.143
p[35].vx: -151.917	p[35].vy: -128.880	p[35].vz: 159.277

p[36].x: 11.092	p[36].y: -5.488	p[36].z: -11.664
p[36].vx: 119.816	p[36].vy: -62.708	p[36].vz: -136.380

p[37].x: -0.921	p[37].y: 5.805	p[37].z: -3.490
