Total time: 0.194248s

p[0].x: -1.263	p[0].y: 2.213	p[0].z: -0.063
p[0].vx: -60.858	p[0].vy: 111.998	p[0].vz: -5.643

p[1].x: 1.407	p[1].y: -0.376	p[1].z: 0.794
p[1].vx: 70.678	p[1].vy: -18.297	p[1].vz: 41.579

p[2].x: 1.428	p[2].y: -0.036	p[2].z: -0.065
p[2].vx: 72.869	p[2].vy: -3.286	p[2].vz: -3.172

p[3].x: 0.509	p[3].y: -0.291	p[3].z: 0.663
p[3].vx: 36.110	p[3].vy: -38.257	p[3].vz: 36.255

p[4].x: 1.318	p[4].y: 0.565	p[4].z: 2.592
p[4].vx: 72.590	p[4].vy: 33.104	p[4].vz: 138.720

p[5].x: -0.063	p[5].y: -0.981	p[5].z: -0.500
p[5].vx: 1.070	p[5].vy: -57.008	p[5].vz: -29.017

p[6].x: -0.342	p[6].y: -1.451	p[6].z: 1.599
p[6].vx: -21.281	p[6].vy: -73.569	p[6].vz: 88.892

p[7].x: 0.408	p[7].y: -1.037	p[7].z: 0.318
p[7].vx: 30.023	p[7].vy: -54.334	p[7].vz: 20.749

p[8].x: 0.961	p[8].y: -1.427	p[8].z: 0.447
p[8].vx: 53.166	p[8].vy: -77.138	p[8].vz: 31.030

p[9].x: -1.660	p[9].y: 0.476	p[9].z: 1.458
p[9].vx: -89.431	p[9].vy: 32.660	p[9].vz: 81.846

p[10].x: 0.050	p[10].y: -0.805	p[10].z: -0.409
p[10].vx: 10.007	p[10].vy: -71.317	p[10].vz: -34.819

p[11].x: 1.082	p[11].y: 0.738	p[11].z: -2.453
p[11].vx: 60.371	p[11].vy: 38.992	p[11].vz: -127.520

p[12].x: 0.171	p[12].y: -2.277	p[12].z: -1.613
p[12].vx: 10.835	p[12].vy: -120.150	p[12].vz: -88.030

p[13].x: -0.996	p[13].y: -1.049	p[13].z: -2.252
p[13].vx: -49.568	p[13].vy: -55.401	p[13].vz: -119.233

p[14].x: -1.410	p[14].y: 0.497	p[14].z: 1.821
p[14].vx: -71.727	p[14].vy: 30.224	p[14].vz: 95.514

p[15].x: -2.013	p[15].y: -1.098	p[15].z: -1.706
p[15].vx: -100.693	p[15].vy: -56.946	p[15].vz: -93.136

p[16].x: 0.270	p[16].y: -0.742	p[16].z: -0.421
p[16].vx: 12.195	p[16].vy: -24.963	p[16].vz: -11.337

p[17].x: -0.685	p[17].y: -0.606	p[17].z: 0.478
p[17].vx: -36.808	p[17].vy: -39.483	p[17].vz: 51.004

p[18].x: -1.365	p[18].y: 1.687	p[18].z: -1.401
p[18].vx: -67.935	p[18].vy: 87.013	p[18].vz: -73.063

p[19].x: 1.748	p[19].y: 0.094	p[19].z: 0.281
p[19].vx: 40.930	p[19].vy: 18.997	p[19].vz: -3.319

p[20].x: 1.015	p[20].y: 1.380	p[20].z: -0.561
p[20].vx: 60.228	p[20].vy: 80.921	p[20].vz: -22.536

p[21].x: 0.718	p[21].y: -0.317	p[21].z: -1.805
p[21].vx: 3.939	p[21].vy: 1.832	p[21].vz: -31.442

p[22].x: 0.367	p[22].y: 0.044	p[22].z: 2.231
p[22].vx: 24.037	p[22].vy: 3.209	p[22].vz: 117.018

p[23].x: 0.928	p[23].y: -0.570	p[23].z: 1.138
p[23].vx: 57.397	p[23].vy: -33.538	p[23].vz: 66.106

p[24].x: 2.765	p[24].y: 1.232	p[24].z: -2.038
p[24].vx: 149.640	p[24].vy: 65.566	p[24].vz: -109.614

p[25].x: -0.517	p[25].y: -1.033	p[25].z: 1.417
p[25].vx: -27.735	p[25].vy: -59.519	p[25].vz: 73.105

p[26].x: 1.836	p[26].y: 1.795	p[26].z: 0.366
p[26].vx: 96.067	p[26].vy: 91.073	p[26].vz: 14.933

p[27].x: 0.086	p[27].y: -0.074	p[27].z: -0.426
p[27].vx: 37.902	p[27].vy: 34.179	p[27].vz: -40.545

p[28].x: -0.504	p[28].y: 0.367	p[28].z: -0.360
p[28].vx: -50.860	p[28].vy: 43.440	p[28].vz: -51.722

p[29].x: -1.031	p[29].y: -0.729	p[29].z: 1.004
p[29].vx: -52.031	p[29].vy: -27.328	p[29].vz: 57.185

p[30].x: 1.483	p[30].y: -0.083	p[30].z: 0.986
p[30].vx: 74.537	p[30].vy: 2.151	p[30].vz: 44.295

p[31].x: -0.154	p[31].y: -0.606	p[31].z: 1.133
p[31].vx: -10.522	p[31].vy: -25.147	p[31].vz: 68.242

p[32].x: -1.599	p[32].y: -0.239	p[32].z: 0.776
p[32].vx: -88.177	p[32].vy: -6.882	p[32].vz: 33.887

p[33].x: -0.596	p[33].y: 1.862	p[33].z: -9.411
p[33].vx: -32.065	p[33].vy: 29.965	p[33].vz: -255.750

p[34].x: 0.054	p[34].y: 0.390	p[34].z: 0.350
p[34].vx: -28.050	p[34].vy: -9.617	p[34].vz: 46.912

p[35].x: -1.867	p[35].y: 0.888	p[35].z: -0.977
p[35].vx: -92.579	p[35].vy: 44.424	p[35].vz: -53.935

p[36].x: 1.123	p[36].y: 1.024	p[36].z: 1.268
p[36].vx: 60.944	p[36].vy: 60.347	p[36].vz: 66.416

p[37].x: -0.060	p[37].y: -1.847	p[37].z: 1.134
p[37].vx: -1.338	p[37].vy: -94.672	p[37].vz: 62.618

p[38].x: 0.307	p[38].y: -5.109	p[38].z: 2.836
p[38].vx: 13.966	p[38].vy: -175.668	p[38].vz: 77.447

p[39].x: 0.953	p[39].y: 1.577	p[39].z: 0.928
p[39].vx: 49.996	p[39].vy: 76.803	p[39].vz: 48.569

p[40].x: -0.708	p[40].y: 0.617	p[40].z: 0.028
p[40].vx: -37.940	p[40].vy: 38.119	p[40].vz: -5.055

p[41].x: -0.480	p[41].y: 2.289	p[41].z: 1.115
p[41].vx: -19.797	p[41].vy: 81.353	p[41].vz: 33.937

p[42].x: 2.152	p[42].y: -0.080	p[42].z: 0.853
p[42].vx: 111.319	p[42].vy: -7.284	p[42].vz: 41.137

p[43].x: -0.391	p[43].y: 0.360	p[43].z: -0.474
p[43].vx: -24.697	p[43].vy: 33.873	p[43].vz: -38.092

p[44].x: 0.391	p[44].y: 0.405	p[44].z: 1.773
p[44].vx: 25.069	p[44].vy: 23.481	p[44].vz: 91.945

p[45].x: 0.795	p[45].y: 2.079	p[45].z: -0.529
p[45].vx: 40.203	p[45].vy: 109.064	p[45].vz: -29.039

p[46].x: -1.741	p[46].y: 0.537	p[46].z: 0.613
p[46].vx: -93.544	p[46].vy: 33.599	p[46].vz: 37.768

p[47].x: -0.838	p[47].y: 1.534	p[47].z: 1.399
p[47].vx: -45.630	p[47].vy: 83.461	p[47].vz: 73.929

