Total time: 10.145844s

p[0].x: 69.772	p[0].y: 43.752	p[0].z: 52.034
p[0].vx: 778.268	p[0].vy: 487.590	p[0].vz: 579.783

p[1].x: -48.235	p[1].y: 42.935	p[1].z: -52.839
p[1].vx: -536.273	p[1].vy: 477.966	p[1].vz: -588.484

p[2].x: -3.501	p[2].y: 26.979	p[2].z: 49.413
p[2].vx: -39.073	p[2].vy: 300.430	p[2].vz: 555.700

p[3].x: 39.841	p[3].y: -15.260	p[3].z: -87.665
p[3].vx: 443.138	p[3].vy: -169.569	p[3].vz: -978.195

p[4].x: -46.231	p[4].y: 36.797	p[4].z: -46.793
p[4].vx: -514.592	p[4].vy: 409.362	p[4].vz: -521.548

p[5].x: 13.338	p[5].y: 72.908	p[5].z: 13.000
p[5].vx: 148.392	p[5].vy: 814.238	p[5].vz: 144.526

p[6].x: -26.584	p[6].y: 40.146	p[6].z: 10.331
p[6].vx: -297.083	p[6].vy: 452.452	p[6].vz: 115.111

p[7].x: -44.003	p[7].y: 69.135	p[7].z: 39.094
p[7].vx: -489.334	p[7].vy: 771.731	p[7].vz: 434.635

p[8].x: -79.915	p[8].y: 84.493	p[8].z: -34.444
p[8].vx: -888.818	p[8].vy: 940.143	p[8].vz: -382.897

p[9].x: 53.653	p[9].y: 72.960	p[9].z: 36.330
p[9].vx: 597.460	p[9].vy: 812.293	p[9].vz: 403.942

p[10].x: 37.437	p[10].y: 84.247	p[10].z: -37.602
p[10].vx: 416.652	p[10].vy: 938.026	p[10].vz: -418.320

p[11].x: 67.490	p[11].y: 77.614	p[11].z: 10.196
p[11].vx: 750.943	p[11].vy: 864.468	p[11].vz: 113.523

p[12].x: -31.586	p[12].y: 62.296	p[12].z: 60.017
p[12].vx: -351.647	p[12].vy: 694.406	p[12].vz: 668.348

p[13].x: 47.421	p[13].y: -55.127	p[13].z: 66.045
p[13].vx: 527.649	p[13].vy: -613.605	p[13].vz: 734.958

p[14].x: 51.534	p[14].y: 17.662	p[14].z: -43.232
p[14].vx: 574.262	p[14].vy: 196.514	p[14].vz: -481.382

p[15].x: 16.659	p[15].y: -8.443	p[15].z: 3.599
p[15].vx: 193.524	p[15].vy: -95.411	p[15].vz: 41.428

p[16].x: -0.145	p[16].y: 0.783	p[16].z: -6.500
p[16].vx: 3.439	p[16].vy: -7.108	p[16].vz: -64.202

p[17].x: -51.475	p[17].y: -48.249	p[17].z: 75.013
p[17].vx: -572.232	p[17].vy: -537.220	p[17].vz: 834.357

p[18].x: 58.511	p[18].y: -53.480	p[18].z: 56.197
p[18].vx: 652.202	p[18].vy: -596.153	p[18].vz: 626.296

p[19].x: -63.920	p[19].y: -24.785	p[19].z: -46.383
p[19].vx: -713.891	p[19].vy: -275.588	p[19].vz: -516.288

p[20].x: -83.178	p[20].y: -57.418	p[20].z: 2.184
p[20].vx: -925.994	p[20].vy: -639.435	p[20].vz: 23.992

p[21].x: 8.536	p[21].y: -21.530	p[21].z: 43.134
p[21].vx: 95.744	p[21].vy: -240.765	p[21].vz: 485.591

p[22].x: 30.690	p[22].y: -65.597	p[22].z: -83.900
p[22].vx: 341.592	p[22].vy: -730.078	p[22].vz: -934.654

p[23].x: -69.212	p[23].y: 11.147	p[23].z: -72.681
p[23].vx: -770.795	p[23].vy: 124.190	p[23].vz: -810.046

p[24].x: -37.425	p[24].y: 12.167	p[24].z: 47.629
p[24].vx: -417.742	p[24].vy: 135.634	p[24].vz: 529.035

p[25].x: -39.602	p[25].y: 40.508	p[25].z: -90.772
p[25].vx: -440.353	p[25].vy: 450.803	p[25].vz: -1012.272

p[26].x: -72.737	p[26].y: -21.552	p[26].z: -26.646
p[26].vx: -811.761	p[26].vy: -239.812	p[26].vz: -296.787

p[27].x: 50.930	p[27].y: 83.765	p[27].z: 65.602
p[27].vx: 566.785	p[27].vy: 932.739	p[27].vz: 730.656

p[28].x: 34.257	p[28].y: 76.619	p[28].z: -78.712
p[28].vx: 381.879	p[28].vy: 853.161	p[28].vz: -877.109

p[29].x: 32.189	p[29].y: -56.057	p[29].z: -74.940
p[29].vx: 358.576	p[29].vy: -624.824	p[29].vz: -835.702

p[30].x: -21.982	p[30].y: 4.587	p[30].z: -17.500
p[30].vx: -244.218	p[30].vy: 51.131	p[30].vz: -195.005

p[31].x: -55.067	p[31].y: 66.921	p[31].z: -70.739
p[31].vx: -612.763	p[31].vy: 744.835	p[31].vz: -787.955

p[32].x: -28.920	p[32].y: 12.060	p[32].z: -62.512
p[32].vx: -321.882	p[32].vy: 134.405	p[32].vz: -700.332

p[33].x: -59.553	p[33].y: -29.395	p[33].z: 50.746
p[33].vx: -662.389	p[33].vy: -327.410	p[33].vz: 564.871

p[34].x: -61.016	p[34].y: -72.754	p[34].z: -54.362
p[34].vx: -679.346	p[34].vy: -810.844	p[34].vz: -605.913

p[35].x: -63.883	p[35].y: -40.901	p[35].z: 72.181
p[35].vx: -710.993	p[35].vy: -455.481	p[35].vz: 803.563

p[36].x: 25.757	p[36].y: 0.992	p[36].z: -28.646
p[36].vx: 289.267	p[36].vy: 10.596	p[36].vz: -324.877

p[37].x: -0.274	p[37].y: 25.755	p[37].z: -13.191
p[37].vx: -2.997	p[37].vy: 293.416	p[37].vz: -149.287

p[38].x: -21.031	p[38].y: 9.413	p[38].z: 33.853
p[38].vx: -233.880	p[38].vy: 104.392	p[38].vz: 383.128

p[39].x: 26.567	p[39].y: -70.183	p[39].z: -11.185
p[39].vx: 295.775	p[39].vy: -785.767	p[39].vz: -124.641

p[40].x: 39.997	p[40].y: 41.309	p[40].z: -34.106
p[40].vx: 445.603	p[40].vy: 459.752	p[40].vz: -379.575

p[41].x: 19.390	p[41].y: -34.771	p[41].z: 20.139
p[41].vx: 217.578	p[41].vy: -392.405	p[41].vz: 225.345

p[42].x: 26.866	p[42].y: -84.497	p[42].z: -3.455
p[42].vx: 298.854	p[42].vy: -941.765	p[42].vz: -38.546

p[43].x: -25.558	p[43].y: -45.899	p[43].z: 66.490
p[43].vx: -284.134	p[43].vy: -510.545	p[43].vz: 742.803

p[44].x: -63.321	p[44].y: -109.644	p[44].z: 30.008
p[44].vx: -704.149	p[44].vy: -1222.170	p[44].vz: 333.477

p[45].x: -57.058	p[45].y: 33.487	p[45].z: -39.750
p[45].vx: -639.044	p[45].vy: 372.810	p[45].vz: -442.916

p[46].x: 68.137	p[46].y: -52.351	p[46].z: -51.904
p[46].vx: 759.717	p[46].vy: -583.284	p[46].vz: -578.384

p[47].x: 71.334	p[47].y: 23.078	p[47].z: 64.596
p[47].vx: 795.107	p[47].vy: 256.806	p[47].vz: 718.266

p[48].x: 21.093	p[48].y: 61.412	p[48].z: -55.046
p[48].vx: 235.456	p[48].vy: 685.121	p[48].vz: -614.732

p[49].x: 79.514	p[49].y: -30.539	p[49].z: -104.894
p[49].vx: 885.240	p[49].vy: -339.410	p[49].vz: -1167.785

