Total time: 1.894614s

p[0].x: -22.983	p[0].y: 2.158	p[0].z: -13.361
p[0].vx: -256.116	p[0].vy: 25.652	p[0].vz: -149.640

p[1].x: -0.341	p[1].y: -12.150	p[1].z: 11.257
p[1].vx: -3.013	p[1].vy: -136.206	p[1].vz: 124.909

p[2].x: -4.395	p[2].y: -1.312	p[2].z: -28.968
p[2].vx: -46.464	p[2].vy: -14.318	p[2].vz: -322.195

p[3].x: 13.069	p[3].y: -4.743	p[3].z: 16.166
p[3].vx: 146.658	p[3].vy: -53.029	p[3].vz: 182.269

p[4].x: 71.555	p[4].y: -18.718	p[4].z: 4.353
p[4].vx: 798.816	p[4].vy: -206.751	p[4].vz: 53.024

p[5].x: -4.452	p[5].y: -16.516	p[5].z: -6.109
p[5].vx: -48.571	p[5].vy: -184.709	p[5].vz: -66.094

p[6].x: -0.184	p[6].y: -20.639	p[6].z: 7.842
p[6].vx: -3.605	p[6].vy: -229.336	p[6].vz: 88.923

p[7].x: 3.733	p[7].y: -19.945	p[7].z: 5.759
p[7].vx: 42.507	p[7].vy: -222.204	p[7].vz: 66.022

p[8].x: 18.961	p[8].y: -21.643	p[8].z: -1.643
p[8].vx: 214.277	p[8].vy: -243.323	p[8].vz: -18.752

p[9].x: -14.510	p[9].y: 0.176	p[9].z: 19.965
p[9].vx: -163.677	p[9].vy: 3.976	p[9].vz: 223.662

p[10].x: 0.302	p[10].y: -9.888	p[10].z: -6.497
p[10].vx: 6.513	p[10].vy: -114.697	p[10].vz: -77.426

p[11].x: 17.599	p[11].y: -15.224	p[11].z: 1.860
p[11].vx: 195.893	p[11].vy: -169.333	p[11].vz: 19.960

p[12].x: 2.517	p[12].y: -18.222	p[12].z: -11.418
p[12].vx: 28.855	p[12].vy: -203.768	p[12].vz: -127.839

p[13].x: -6.980	p[13].y: 10.611	p[13].z: -7.538
p[13].vx: -77.519	p[13].vy: 117.365	p[13].vz: -83.860

p[14].x: -20.048	p[14].y: 8.773	p[14].z: -11.441
p[14].vx: -223.871	p[14].vy: 98.807	p[14].vz: -121.675

p[15].x: -14.454	p[15].y: -1.815	p[15].z: -5.151
p[15].vx: -162.069	p[15].vy: -21.404	p[15].vz: -59.369

p[16].x: -2.479	p[16].y: 9.590	p[16].z: -6.724
p[16].vx: -20.656	p[16].vy: 83.859	p[16].vz: -68.841

p[17].x: -11.525	p[17].y: -7.254	p[17].z: 4.969
p[17].vx: -133.012	p[17].vy: -85.450	p[17].vz: 59.932

p[18].x: -3.913	p[18].y: 10.505	p[18].z: -15.620
p[18].vx: -42.016	p[18].vy: 116.627	p[18].vz: -173.272

p[19].x: 6.788	p[19].y: 21.109	p[19].z: -1.893
p[19].vx: 76.525	p[19].vy: 235.041	p[19].vz: -21.876

p[20].x: 15.832	p[20].y: 18.177	p[20].z: -1.173
p[20].vx: 177.788	p[20].vy: 203.784	p[20].vz: -12.811

p[21].x: -9.714	p[21].y: 1.569	p[21].z: 4.138
p[21].vx: -108.746	p[21].vy: 18.233	p[21].vz: 48.363

p[22].x: -4.307	p[22].y: 8.230	p[22].z: 26.830
p[22].vx: -48.000	p[22].vy: 92.951	p[22].vz: 299.540

p[23].x: 13.854	p[23].y: -4.231	p[23].z: 15.699
p[23].vx: 155.247	p[23].vy: -50.023	p[23].vz: 175.471

p[24].x: 7.557	p[24].y: 12.371	p[24].z: -12.437
p[24].vx: 85.677	p[24].vy: 139.134	p[24].vz: -140.000

p[25].x: -5.106	p[25].y: -11.821	p[25].z: 20.883
p[25].vx: -57.463	p[25].vy: -132.002	p[25].vz: 232.802

p[26].x: 13.267	p[26].y: 11.376	p[26].z: 5.342
p[26].vx: 148.715	p[26].vy: 128.550	p[26].vz: 57.925

p[27].x: 12.853	p[27].y: 2.233	p[27].z: -9.323
p[27].vx: 147.763	p[27].vy: 30.819	p[27].vz: -108.781

p[28].x: -8.463	p[28].y: 8.492	p[28].z: -5.292
p[28].vx: -99.884	p[28].vy: 100.948	p[28].vz: -64.286

p[29].x: -7.331	p[29].y: 17.279	p[29].z: 16.372
p[29].vx: -80.949	p[29].vy: 192.752	p[29].vz: 183.370

p[30].x: 9.221	p[30].y: -7.007	p[30].z: -0.301
p[30].vx: 103.149	p[30].vy: -78.130	p[30].vz: -4.259

