Total time: 8.547967s

p[0].x: 133.339	p[0].y: 172.528	p[0].z: 23.998
p[0].vx: 1483.086	p[0].vy: 1918.945	p[0].vz: 267.107

p[1].x: -12.457	p[1].y: -28.394	p[1].z: 12.052
p[1].vx: -138.393	p[1].vy: -315.531	p[1].vz: 133.606

p[2].x: 11.095	p[2].y: 9.837	p[2].z: 95.396
p[2].vx: 123.661	p[2].vy: 109.807	p[2].vz: 1064.485

p[3].x: 123.348	p[3].y: -44.316	p[3].z: -157.756
p[3].vx: 1372.068	p[3].vy: -492.828	p[3].vz: -1754.992

p[4].x: 119.896	p[4].y: 192.522	p[4].z: -27.278
p[4].vx: 1332.818	p[4].vy: 2140.024	p[4].vz: -303.279

p[5].x: -7.923	p[5].y: 170.490	p[5].z: -37.719
p[5].vx: -87.943	p[5].vy: 1896.989	p[5].vz: -419.472

p[6].x: -32.620	p[6].y: 67.633	p[6].z: 38.027
p[6].vx: -363.928	p[6].vy: 755.772	p[6].vz: 424.202

p[7].x: -36.830	p[7].y: 149.704	p[7].z: 113.586
p[7].vx: -409.572	p[7].vy: 1665.633	p[7].vz: 1263.358

p[8].x: 103.751	p[8].y: -13.536	p[8].z: -58.568
p[8].vx: 1153.215	p[8].vy: -150.574	p[8].vz: -651.064

p[9].x: -28.150	p[9].y: 117.782	p[9].z: 102.112
p[9].vx: -313.157	p[9].vy: 1311.459	p[9].vz: 1136.480

p[10].x: 144.445	p[10].y: 19.412	p[10].z: -208.176
p[10].vx: 1606.125	p[10].vy: 215.944	p[10].vz: -2314.948

p[11].x: 255.200	p[11].y: 75.242	p[11].z: -0.142
p[11].vx: 2837.437	p[11].vy: 836.574	p[11].vz: -1.651

p[12].x: -152.928	p[12].y: 144.499	p[12].z: -48.273
p[12].vx: -1699.510	p[12].vy: 1606.182	p[12].vz: -536.593

p[13].x: 42.703	p[13].y: -107.932	p[13].z: 195.780
p[13].vx: 474.835	p[13].vy: -1199.553	p[13].vz: 2176.159

p[14].x: 34.313	p[14].y: 175.255	p[14].z: -35.194
p[14].vx: 381.684	p[14].vy: 1947.886	p[14].vz: -391.013

p[15].x: 124.146	p[15].y: -24.875	p[15].z: -59.248
p[15].vx: 1382.870	p[15].vy: -276.697	p[15].vz: -659.711

p[16].x: -0.839	p[16].y: 3.897	p[16].z: -7.173
p[16].vx: -4.561	p[16].vy: 25.922	p[16].vz: -72.472

p[17].x: -61.987	p[17].y: -65.267	p[17].z: 87.125
p[17].vx: -690.615	p[17].vy: -727.116	p[17].vz: 970.937

p[18].x: 83.773	p[18].y: -128.672	p[18].z: 168.263
p[18].vx: 931.636	p[18].vy: -1430.751	p[18].vz: 1870.812

p[19].x: -118.303	p[19].y: 62.474	p[19].z: -53.641
p[19].vx: -1316.765	p[19].vy: 694.892	p[19].vz: -596.981

p[20].x: -170.632	p[20].y: -25.128	p[20].z: -44.464
p[20].vx: -1896.307	p[20].vy: -279.466	p[20].vz: -494.417

p[21].x: 0.361	p[21].y: -10.691	p[21].z: 61.469
p[21].vx: 4.346	p[21].vy: -119.617	p[21].vz: 688.593

p[22].x: 84.640	p[22].y: -99.716	p[22].z: -192.910
p[22].vx: 941.011	p[22].vy: -1108.565	p[22].vz: -2144.828

p[23].x: 160.030	p[23].y: -150.047	p[23].z: -142.544
p[23].vx: 1779.107	p[23].vy: -1667.984	p[23].vz: -1584.850

p[24].x: -98.963	p[24].y: 197.985	p[24].z: -149.438
p[24].vx: -1100.015	p[24].vy: 2200.852	p[24].vz: -1661.403

p[25].x: -94.351	p[25].y: -31.008	p[25].z: -207.399
p[25].vx: -1048.849	p[25].vy: -344.489	p[25].vz: -2306.526

p[26].x: -173.758	p[26].y: 64.205	p[26].z: -74.374
p[26].vx: -1932.461	p[26].vy: 714.060	p[26].vz: -827.126

p[27].x: 78.298	p[27].y: 99.044	p[27].z: -21.473
p[27].vx: 872.554	p[27].vy: 1103.615	p[27].vz: -238.804

p[28].x: -14.064	p[28].y: 62.682	p[28].z: -68.914
p[28].vx: -156.546	p[28].vy: 699.746	p[28].vz: -769.528

p[29].x: 16.856	p[29].y: -158.863	p[29].z: -221.502
p[29].vx: 187.570	p[29].vy: -1766.001	p[29].vz: -2462.684

p[30].x: 66.654	p[30].y: -49.649	p[30].z: -127.139
p[30].vx: 740.988	p[30].vy: -551.808	p[30].vz: -1413.292

p[31].x: -190.632	p[31].y: 83.901	p[31].z: -173.055
p[31].vx: -2118.990	p[31].vy: 932.741	p[31].vz: -1923.943

p[32].x: -66.457	p[32].y: -1.370	p[32].z: -118.886
p[32].vx: -740.968	p[32].vy: -16.985	p[32].vz: -1324.963

p[33].x: -140.905	p[33].y: -129.613	p[33].z: 0.152
p[33].vx: -1567.547	p[33].vy: -1442.133	p[33].vz: 1.684

p[34].x: -127.932	p[34].y: -102.094	p[34].z: 8.145
p[34].vx: -1423.882	p[34].vy: -1136.306	p[34].vz: 90.489

p[35].x: -152.869	p[35].y: 26.505	p[35].z: 114.080
p[35].vx: -1700.761	p[35].vy: 294.776	p[35].vz: 1269.025

p[36].x: 85.388	p[36].y: 139.841	p[36].z: -167.207
p[36].vx: 949.567	p[36].vy: 1554.925	p[36].vz: -1859.616

p[37].x: 3.003	p[37].y: 55.918	p[37].z: -26.547
p[37].vx: 33.592	p[37].vy: 626.448	p[37].vz: -296.968

p[38].x: -6.628	p[38].y: -35.903	p[38].z: 104.890
p[38].vx: -73.676	p[38].vy: -399.745	p[38].vz: 1169.670

p[39].x: 40.158	p[39].y: -121.588	p[39].z: 10.742
p[39].vx: 447.172	p[39].vy: -1354.739	p[39].vz: 119.310

p[40].x: 45.471	p[40].y: 214.774	p[40].z: -142.107
p[40].vx: 505.492	p[40].vy: 2387.326	p[40].vz: -1579.646

p[41].x: 48.683	p[41].y: -57.446	p[41].z: 36.964
p[41].vx: 543.607	p[41].vy: -641.683	p[41].vz: 412.416

p[42].x: 16.573	p[42].y: -232.146	p[42].z: -23.866
p[42].vx: 184.381	p[42].vy: -2581.016	p[42].vz: -265.464

p[43].x: -104.446	p[43].y: 17.561	p[43].z: 157.129
p[43].vx: -1161.561	p[43].vy: 195.465	p[43].vz: 1748.078

p[44].x: -28.560	p[44].y: -159.769	p[44].z: 121.887
p[44].vx: -317.774	p[44].vy: -1777.104	p[44].vz: 1355.301

p[45].x: -104.468	p[45].y: 53.100	p[45].z: -58.226
p[45].vx: -1164.143	p[45].vy: 591.249	p[45].vz: -648.490

p[46].x: 166.105	p[46].y: -76.447	p[46].z: -115.485
p[46].vx: 1847.403	p[46].vy: -850.086	p[46].vz: -1284.403

p[47].x: 93.185	p[47].y: 70.338	p[47].z: 176.819
p[47].vx: 1036.871	p[47].vy: 782.450	p[47].vz: 1966.719

p[48].x: 3.849	p[48].y: 162.262	p[48].z: -103.050
p[48].vx: 42.942	p[48].vy: 1805.131	p[48].vz: -1146.409

p[49].x: 2.319	p[49].y: -59.137	p[49].z: -117.447
p[49].vx: 26.175	p[49].vy: -658.540	p[49].vz: -1308.776

