Total time: 1.593779s

p[0].x: -27.533	p[0].y: 43.920	p[0].z: -24.760
p[0].vx: -691.298	p[0].vy: 1101.792	p[0].vz: -622.271

p[1].x: 8.971	p[1].y: -45.757	p[1].z: 57.170
p[1].vx: 224.916	p[1].vy: -1145.668	p[1].vz: 1431.677

p[2].x: 61.767	p[2].y: 4.871	p[2].z: 27.073
p[2].vx: 1547.089	p[2].vy: 122.150	p[2].vz: 678.077

p[3].x: 40.559	p[3].y: -7.699	p[3].z: 16.734
p[3].vx: 1021.318	p[3].vy: -193.980	p[3].vz: 421.374

p[4].x: 35.267	p[4].y: 9.964	p[4].z: 25.789
p[4].vx: 886.994	p[4].vy: 251.771	p[4].vz: 649.666

p[5].x: 5.081	p[5].y: 19.050	p[5].z: -69.835
p[5].vx: 127.296	p[5].vy: 475.770	p[5].vz: -1748.013

p[6].x: -24.023	p[6].y: -12.678	p[6].z: 51.985
p[6].vx: -603.787	p[6].vy: -316.874	p[6].vz: 1304.566

p[7].x: -6.001	p[7].y: -9.610	p[7].z: 51.428
p[7].vx: -150.901	p[7].vy: -241.800	p[7].vz: 1291.746

p[8].x: 27.030	p[8].y: -26.771	p[8].z: -3.147
p[8].vx: 682.396	p[8].vy: -675.107	p[8].vz: -79.865

p[9].x: -26.778	p[9].y: 8.672	p[9].z: 23.557
p[9].vx: -675.877	p[9].vy: 220.617	p[9].vz: 594.662

p[10].x: 10.664	p[10].y: -14.494	p[10].z: -20.037
p[10].vx: 272.646	p[10].vy: -368.901	p[10].vz: -508.720

p[11].x: 58.233	p[11].y: -53.675	p[11].z: 12.697
p[11].vx: 1461.274	p[11].vy: -1344.580	p[11].vz: 316.446

p[12].x: -30.047	p[12].y: -37.533	p[12].z: -57.387
p[12].vx: -751.128	p[12].vy: -943.586	p[12].vz: -1439.944

p[13].x: -33.058	p[13].y: 28.449	p[13].z: -27.713
p[13].vx: -827.445	p[13].vy: 712.212	p[13].vz: -693.851

p[14].x: -35.364	p[14].y: 28.312	p[14].z: 23.997
p[14].vx: -888.289	p[14].vy: 711.558	p[14].vz: 603.412

p[15].x: -8.841	p[15].y: -17.816	p[15].z: -63.269
p[15].vx: -221.493	p[15].vy: -446.720	p[15].vz: -1586.340

p[16].x: -1.022	p[16].y: 3.894	p[16].z: -3.624
p[16].vx: -13.860	p[16].vy: 56.056	p[16].vz: -76.657

p[17].x: -11.426	p[17].y: -10.462	p[17].z: 9.939
p[17].vx: -294.713	p[17].vy: -269.969	p[17].vz: 257.336

p[18].x: -15.641	p[18].y: 6.979	p[18].z: -69.346
p[18].vx: -391.495	p[18].vy: 175.215	p[18].vz: -1736.371

p[19].x: 1.227	p[19].y: 47.775	p[19].z: -21.060
p[19].vx: 31.269	p[19].vy: 1200.016	p[19].vz: -529.759

p[20].x: 36.449	p[20].y: 43.139	p[20].z: -0.557
p[20].vx: 915.583	p[20].vy: 1083.276	p[20].vz: -14.958

p[21].x: -5.397	p[21].y: 1.255	p[21].z: 26.061
p[21].vx: -136.448	p[21].vy: 31.854	p[21].vz: 661.113

p[22].x: -5.250	p[22].y: 39.991	p[22].z: 67.052
p[22].vx: -131.272	p[22].vy: 1001.747	p[22].vz: 1679.063

p[23].x: 30.669	p[23].y: -15.524	p[23].z: 13.238
p[23].vx: 773.592	p[23].vy: -392.335	p[23].vz: 334.506

p[24].x: 10.333	p[24].y: 25.290	p[24].z: -29.270
p[24].vx: 262.389	p[24].vy: 637.937	p[24].vz: -738.341

p[25].x: -36.924	p[25].y: -43.146	p[25].z: 18.418
p[25].vx: -926.294	p[25].vy: -1081.959	p[25].vz: 461.907

p[26].x: 27.686	p[26].y: 57.008	p[26].z: 7.282
p[26].vx: 694.766	p[26].vy: 1429.694	p[26].vz: 182.511

p[27].x: 11.898	p[27].y: 12.245	p[27].z: -8.451
p[27].vx: 307.677	p[27].vy: 316.485	p[27].vz: -217.793

p[28].x: -7.308	p[28].y: 9.539	p[28].z: -7.628
p[28].vx: -192.052	p[28].vy: 250.607	p[28].vz: -201.861

p[29].x: -4.999	p[29].y: 62.960	p[29].z: 42.405
p[29].vx: -125.414	p[29].vy: 1576.854	p[29].vz: 1062.549

p[30].x: 45.055	p[30].y: -49.245	p[30].z: -32.188
p[30].vx: 1129.242	p[30].vy: -1232.050	p[30].vz: -806.082

p[31].x: -23.593	p[31].y: -47.968	p[31].z: 9.693
p[31].vx: -591.691	p[31].vy: -1201.811	p[31].vz: 243.002

p[32].x: -60.059	p[32].y: -19.313	p[32].z: 3.910
p[32].vx: -1506.405	p[32].vy: -484.376	p[32].vz: 97.512

p[33].x: -18.673	p[33].y: -14.173	p[33].z: -10.456
p[33].vx: -475.270	p[33].vy: -361.751	p[33].vz: -268.483

p[34].x: -22.061	p[34].y: -7.393	p[34].z: 19.170
p[34].vx: -559.009	p[34].vy: -189.132	p[34].vz: 484.699

p[35].x: -56.108	p[35].y: 38.447	p[35].z: 3.157
p[35].vx: -1406.010	p[35].vy: 963.896	p[35].vz: 78.341

p[36].x: 35.671	p[36].y: 46.541	p[36].z: 26.189
p[36].vx: 895.348	p[36].vy: 1167.474	p[36].vz: 657.000

p[37].x: -40.276	p[37].y: 16.882	p[37].z: -41.034
p[37].vx: -1008.285	p[37].vy: 422.982	p[37].vz: -1027.440

p[38].x: 46.152	p[38].y: -59.645	p[38].z: 17.838
p[38].vx: 1155.010	p[38].vy: -1492.719	p[38].vz: 446.309

p[39].x: 38.608	p[39].y: 4.145	p[39].z: 54.921
p[39].vx: 967.646	p[39].vy: 104.197	p[39].vz: 1375.686

p[40].x: -75.129	p[40].y: 37.585	p[40].z: -6.237
p[40].vx: -1880.036	p[40].vy: 941.114	p[40].vz: -156.510

p[41].x: 21.588	p[41].y: -15.458	p[41].z: 40.571
p[41].vx: 543.695	p[41].vy: -385.851	p[41].vz: 1019.806

p[42].x: 46.040	p[42].y: 36.549	p[42].z: -29.230
p[42].vx: 1153.686	p[42].vy: 915.538	p[42].vz: -733.153

p[43].x: -38.065	p[43].y: 31.147	p[43].z: -10.854
p[43].vx: -956.177	p[43].vy: 782.712	p[43].vz: -273.227

p[44].x: 5.027	p[44].y: 29.689	p[44].z: 69.915
p[44].vx: 126.160	p[44].vy: 743.991	p[44].vz: 1751.318

p[45].x: -2.584	p[45].y: 42.778	p[45].z: -31.436
p[45].vx: -65.431	p[45].vy: 1074.194	p[45].vz: -790.136

p[46].x: 29.717	p[46].y: 51.345	p[46].z: -2.872
p[46].vx: 743.690	p[46].vy: 1284.898	p[46].vz: -71.925

p[47].x: -5.590	p[47].y: 13.818	p[47].z: 29.314
p[47].vx: -141.692	p[47].vy: 350.352	p[47].vz: 741.248

p[48].x: -47.280	p[48].y: -13.910	p[48].z: 48.440
p[48].vx: -1183.031	p[48].vy: -347.476	p[48].vz: 1212.370

p[49].x: -7.709	p[49].y: -10.352	p[49].z: -16.922
p[49].vx: -198.000	p[49].vy: -265.573	p[49].vz: -434.193

p[50].x: 7.112	p[50].y: -22.380	p[50].z: -23.961
p[50].vx: 180.927	p[50].vy: -565.777	p[50].vz: -606.341

p[51].x: 20.043	p[51].y: 32.159	p[51].z: 5.219
p[51].vx: 505.897	p[51].vy: 810.648	p[51].vz: 132.967

p[52].x: 16.410	p[52].y: 43.732	p[52].z: 53.570
p[52].vx: 411.499	p[52].vy: 1096.457	p[52].vz: 1342.424

p[53].x: 28.102	p[53].y: 1.919	p[53].z: -75.426
p[53].vx: 704.453	p[53].vy: 48.130	p[53].vz: -1888.096

p[54].x: 5.234	p[54].y: 47.779	p[54].z: 41.068
p[54].vx: 131.663	p[54].vy: 1198.516	p[54].vz: 1030.418

p[55].x: -30.800	p[55].y: 1.287	p[55].z: -25.603
p[55].vx: -776.508	p[55].vy: 33.280	p[55].vz: -646.198

p[56].x: 4.702	p[56].y: -72.859	p[56].z: -51.049
p[56].vx: 117.901	p[56].vy: -1824.002	p[56].vz: -1278.426

p[57].x: 23.748	p[57].y: -44.946	p[57].z: 49.983
p[57].vx: 594.663	p[57].vy: -1125.158	p[57].vz: 1251.218

p[58].x: 58.470	p[58].y: -9.365	p[58].z: -35.962
p[58].vx: 1464.095	p[58].vy: -233.993	p[58].vz: -900.754

p[59].x: 28.945	p[59].y: 59.058	p[59].z: -23.023
p[59].vx: 726.510	p[59].vy: 1479.586	p[59].vz: -578.266

