Total time: 3.109186s

p[0].x: -6.191	p[0].y: 1.217	p[0].z: -4.248
p[0].vx: -58.331	p[0].vy: 13.935	p[0].vz: -40.342

p[1].x: 2.156	p[1].y: -3.613	p[1].z: 1.805
p[1].vx: 18.129	p[1].vy: -35.674	p[1].vz: 20.274

p[2].x: 1.240	p[2].y: -0.447	p[2].z: -11.880
p[2].vx: 15.083	p[2].vy: -1.284	p[2].vz: -125.988

p[3].x: 4.951	p[3].y: -1.092	p[3].z: 6.481
p[3].vx: 46.977	p[3].vy: -4.330	p[3].vz: 71.444

p[4].x: 4.510	p[4].y: 0.625	p[4].z: 5.817
p[4].vx: 44.535	p[4].vy: 7.835	p[4].vz: 56.468

p[5].x: -1.144	p[5].y: -4.804	p[5].z: -0.997
p[5].vx: -13.051	p[5].vy: -44.030	p[5].vz: -6.117

p[6].x: -0.457	p[6].y: -9.840	p[6].z: 2.570
p[6].vx: -5.311	p[6].vy: -101.553	p[6].vz: 28.941

p[7].x: 2.763	p[7].y: -11.413	p[7].z: 3.809
p[7].vx: 29.687	p[7].vy: -121.614	p[7].vz: 41.509

p[8].x: 6.446	p[8].y: -7.329	p[8].z: -0.889
p[8].vx: 69.404	p[8].vy: -76.722	p[8].vz: -9.520

p[9].x: -5.370	p[9].y: 0.459	p[9].z: 9.129
p[9].vx: -57.195	p[9].vy: 7.807	p[9].vz: 95.848

p[10].x: 2.146	p[10].y: -4.550	p[10].z: -4.008
p[10].vx: 27.873	p[10].vy: -48.640	p[10].vz: -43.454

p[11].x: 1.356	p[11].y: -3.221	p[11].z: -1.719
p[11].vx: 10.760	p[11].vy: -31.282	p[11].vz: -17.715

p[12].x: 0.948	p[12].y: -6.792	p[12].z: -6.659
p[12].vx: 6.944	p[12].vy: -70.797	p[12].vz: -69.876

p[13].x: -1.173	p[13].y: 2.846	p[13].z: -1.808
p[13].vx: -12.841	p[13].vy: 27.101	p[13].vz: -15.554

p[14].x: -4.310	p[14].y: 1.816	p[14].z: 1.768
p[14].vx: -39.509	p[14].vy: 18.445	p[14].vz: 14.526

p[15].x: -8.215	p[15].y: -0.554	p[15].z: -1.617
p[15].vx: -78.416	p[15].vy: -2.605	p[15].vz: -19.795

p[16].x: -2.881	p[16].y: 11.009	p[16].z: -6.430
p[16].vx: -24.739	p[16].vy: 96.335	p[16].vz: -64.831

p[17].x: -5.896	p[17].y: -3.686	p[17].z: 3.217
p[17].vx: -63.208	p[17].vy: -41.134	p[17].vz: 36.351

p[18].x: -1.876	p[18].y: 4.977	p[18].z: -6.329
p[18].vx: -15.494	p[18].vy: 49.337	p[18].vz: -57.276

p[19].x: 4.132	p[19].y: 5.336	p[19].z: -0.999
p[19].vx: 40.464	p[19].vy: 54.540	p[19].vz: -10.032

p[20].x: 9.159	p[20].y: 7.227	p[20].z: -0.223
p[20].vx: 97.482	p[20].vy: 77.552	p[20].vz: -1.187

p[21].x: -3.734	p[21].y: 0.930	p[21].z: 0.587
p[21].vx: -34.665	p[21].vy: 6.893	p[21].vz: 12.043

p[22].x: -0.422	p[22].y: 1.388	p[22].z: 10.215
p[22].vx: -5.613	p[22].vy: 17.169	p[22].vz: 105.633

p[23].x: 4.274	p[23].y: -2.051	p[23].z: 6.089
p[23].vx: 44.014	p[23].vy: -22.370	p[23].vz: 59.203

p[24].x: 2.228	p[24].y: 3.670	p[24].z: -4.691
p[24].vx: 22.378	p[24].vy: 41.338	p[24].vz: -46.826

p[25].x: -2.017	p[25].y: -4.506	p[25].z: 8.729
p[25].vx: -21.644	p[25].vy: -45.239	p[25].vz: 90.820

p[26].x: 6.709	p[26].y: 3.980	p[26].z: 0.835
p[26].vx: 68.505	p[26].vy: 42.654	p[26].vz: 7.716

p[27].x: 2.748	p[27].y: 3.414	p[27].z: -6.369
p[27].vx: 27.264	p[27].vy: 41.721	p[27].vz: -69.079

p[28].x: -4.872	p[28].y: 5.150	p[28].z: -4.739
p[28].vx: -50.575	p[28].vy: 60.147	p[28].vz: -55.938

p[29].x: -4.054	p[29].y: 8.998	p[29].z: 8.213
p[29].vx: -42.232	p[29].vy: 96.703	p[29].vz: 89.421

p[30].x: 1.304	p[30].y: -2.482	p[30].z: -4.836
p[30].vx: 13.545	p[30].vy: -22.824	p[30].vz: -42.574

p[31].x: -3.413	p[31].y: -11.336	p[31].z: -16.472
p[31].vx: -38.191	p[31].vy: -126.770	p[31].vz: -176.851

p[32].x: -5.930	p[32].y: -2.269	p[32].z: 6.782
p[32].vx: -58.804	p[32].vy: -24.993	p[32].vz: 67.593

p[33].x: -4.439	p[33].y: -3.825	p[33].z: -5.615
p[33].vx: -47.413	p[33].vy: -45.862	p[33].vz: -54.187

p[34].x: -3.167	p[34].y: -0.834	p[34].z: 7.043
p[34].vx: -34.981	p[34].vy: -13.393	p[34].vz: 70.684

p[35].x: -1.368	p[35].y: 4.138	p[35].z: -1.742
