Total time: 0.096150s

p[45].vx: 35.950	p[45].vy: 23.036	p[45].vz: -6.571

p[46].x: 0.278	p[46].y: -0.144	p[46].z: -0.135
p[46].vx: -24.253	p[46].vy: 15.819	p[46].vz: 5.762

p[47].x: -0.097	p[47].y: 0.023	p[47].z: -0.028
p[47].vx: -37.084	p[47].vy: 21.364	p[47].vz: 27.984

p[48].x: 0.017	p[48].y: 0.042	p[48].z: 0.005
p[48].vx: -21.320	p[48].vy: -14.429	p[48].vz: 35.074

p[49].x: 0.396	p[49].y: 0.348	p[49].z: 0.419
p[49].vx: -17.012	p[49].vy: -18.405	p[49].vz: -12.197

p[50].x: 0.009	p[50].y: 0.282	p[50].z: 0.313
p[50].vx: 10.042	p[50].vy: -24.468	p[50].vz: -25.185

p[51].x: -0.159	p[51].y: -0.142	p[51].z: 0.104
p[51].vx: 24.770	p[51].vy: 12.544	p[51].vz: -23.805

p[52].x: -0.335	p[52].y: -0.113	p[52].z: -0.126
p[52].vx: 0.083	p[52].vy: 11.266	p[52].vz: 20.443

p[53].x: 0.139	p[53].y: 0.072	p[53].z: -0.037
p[53].vx: -18.904	p[53].vy: -1.436	p[53].vz: -27.117

p[54].x: 0.181	p[54].y: 0.107	p[54].z: 0.008
p[54].vx: 9.370	p[54].vy: 42.836	p[54].vz: 26.329

p[55].x: 0.458	p[55].y: 0.748	p[55].z: 0.991
p[55].vx: -10.832	p[55].vy: 7.293	p[55].vz: 1.405

p[56].x: 0.504	p[56].y: 0.716	p[56].z: -0.269
p[56].vx: 2.652	p[56].vy: 0.674	p[56].vz: -11.399

p[57].x: 0.123	p[57].y: 0.026	p[57].z: 0.012
p[57].vx: 38.920	p[57].vy: -14.698	p[57].vz: 12.523

p[58].x: 0.257	p[58].y: -0.557	p[58].z: 0.181
p[58].vx: 26.182	p[58].vy: -71.022	p[58].vz: 11.673

p[59].x: 0.065	p[59].y: 0.014	p[59].z: 0.018
p[59].vx: 2.639	p[59].vy: 29.795	p[59].vz: -25.960

p[60].x: 0.116	p[60].y: 0.087	p[60].z: -0.140
p[60].vx: -8.988	p[60].vy: 9.875	p[60].vz: -30.164

p[61].x: -0.006	p[61].y: -0.061	p[61].z: -0.168
p[61].vx: -31.962	p[61].vy: -19.030	p[61].vz: -37.430

p[62].x: 0.046	p[62].y: 0.353	p[62].z: 0.730
p[62].vx: 6.447	p[62].vy: 34.622	p[62].vz: -8.735

p[63].x: 0.010	p[63].y: 0.118	p[63].z: 0.082
p[63].vx: -35.869	p[63].vy: -16.054	p[63].vz: 39.942

p[64].x: 0.134	p[64].y: -0.104	p[64].z: 0.021
p[64].vx: 49.540	p[64].vy: -5.777	p[64].vz: -29.421

p[65].x: 0.066	p[65].y: 0.067	p[65].z: -0.028
p[65].vx: 33.592	p[65].vy: -19.116	p[65].vz: -18.955

p[66].x: -0.219	p[66].y: -0.115	p[66].z: 0.129
p[66].vx: -1.832	p[66].vy: -26.881	p[66].vz: -0.303

p[67].x: -0.144	p[67].y: 0.117	p[67].z: -0.072
p[67].vx: -18.980	p[67].vy: -1.249	p[67].vz: -13.582

p[68].x: 0.063	p[68].y: 0.125	p[68].z: 0.053
p[68].vx: 5.691	p[68].vy: 34.060	p[68].vz: -12.621

p[69].x: -0.158	p[69].y: 0.311	p[69].z: -0.178
p[69].vx: 18.535	p[69].vy: -15.850	p[69].vz: 25.203

p[70].x: -0.038	p[70].y: 0.075	p[70].z: 0.277
p[70].vx: 2.724	p[70].vy: 25.273	p[70].vz: -24.263

p[71].x: 0.005	p[71].y: -0.155	p[71].z: -0.019
p[71].vx: 3.821	p[71].vy: -29.308	p[71].vz: -29.312

p[72].x: 0.634	p[72].y: -0.618	p[72].z: 0.068
p[72].vx: -5.618	p[72].vy: -26.262	p[72].vz: 13.190

p[73].x: 0.112	p[73].y: -0.073	p[73].z: 0.007
p[73].vx: 28.433	p[73].vy: -33.661	p[73].vz: -23.380

p[74].x: -0.067	p[74].y: -0.045	p[74].z: -0.167
p[74].vx: 24.967	p[74].vy: -1.681	p[74].vz: 10.277

p[75].x: 0.101	p[75].y: 0.195	p[75].z: -0.028
p[75].vx: -0.776	p[75].vy: 50.961	p[75].vz: 9.809

p[76].x: 0.268	p[76].y: -0.025	p[76].z: -0.111
p[76].vx: 26.932	p[76].vy: -15.419	p[76].vz: -1.250

p[77].x: -0.010	p[77].y: 0.112	p[77].z: -0.059
p[77].vx: -8.916	p[77].vy: 19.735	p[77].vz: -31.052

p[78].x: -0.350	p[78].y: 0.042	p[78].z: -1.614
p[78].vx: -12.749	p[78].vy: -7.527	p[78].vz: -32.804

p[79].x: 0.287	p[79].y: 0.586	p[79].z: -0.324
p[79].vx: -8.281	p[79].vy: -1.304	p[79].vz: 17.986

p[80].x: 0.345	p[80].y: 0.213	p[80].z: 0.130
p[80].vx: 57.184	p[80].vy: 4.760	p[80].vz: -11.723

p[81].x: 0.035	p[81].y: 0.146	p[81].z: 0.163
p[81].vx: 27.025	p[81].vy: 34.532	p[81].vz: 2.408

p[82].x: 0.039	p[82].y: -0.576	p[82].z: 0.069
p[82].vx: -17.890	p[82].vy: -55.498	p[82].vz: -14.557

p[83].x: 0.131	p[83].y: 0.068	p[83].z: -0.180
p[83].vx: 39.551	p[83].vy: -2.642	p[83].vz: -46.756

