Total time: 10.153524s

p[0].x: 69.772	p[0].y: 43.753	p[0].z: 52.036
p[0].vx: 778.262	p[0].vy: 487.600	p[0].vz: 579.795

p[1].x: -48.241	p[1].y: 42.935	p[1].z: -52.846
p[1].vx: -536.340	p[1].vy: 477.967	p[1].vz: -588.564

p[2].x: -3.502	p[2].y: 26.976	p[2].z: 49.413
p[2].vx: -39.083	p[2].vy: 300.395	p[2].vz: 555.703

p[3].x: 39.840	p[3].y: -15.260	p[3].z: -87.664
p[3].vx: 443.130	p[3].vy: -169.571	p[3].vz: -978.187

p[4].x: -46.232	p[4].y: 36.797	p[4].z: -46.793
p[4].vx: -514.607	p[4].vy: 409.370	p[4].vz: -521.554

p[5].x: 13.338	p[5].y: 72.906	p[5].z: 13.001
p[5].vx: 148.392	p[5].vy: 814.209	p[5].vz: 144.531

p[6].x: -26.584	p[6].y: 40.146	p[6].z: 10.331
p[6].vx: -297.080	p[6].vy: 452.449	p[6].vz: 115.109

p[7].x: -44.001	p[7].y: 69.137	p[7].z: 39.093
p[7].vx: -489.319	p[7].vy: 771.755	p[7].vz: 434.628

p[8].x: -79.937	p[8].y: 84.474	p[8].z: -34.446
p[8].vx: -889.064	p[8].vy: 939.931	p[8].vz: -382.915

p[9].x: 53.653	p[9].y: 72.960	p[9].z: 36.333
p[9].vx: 597.461	p[9].vy: 812.300	p[9].vz: 403.979

p[10].x: 37.439	p[10].y: 84.242	p[10].z: -37.604
p[10].vx: 416.675	p[10].vy: 937.968	p[10].vz: -418.345

p[11].x: 67.490	p[11].y: 77.615	p[11].z: 10.196
p[11].vx: 750.942	p[11].vy: 864.480	p[11].vz: 113.521

p[12].x: -31.586	p[12].y: 62.297	p[12].z: 60.018
p[12].vx: -351.647	p[12].vy: 694.422	p[12].vz: 668.362

p[13].x: 47.424	p[13].y: -55.125	p[13].z: 66.043
p[13].vx: 527.678	p[13].vy: -613.581	p[13].vz: 734.937

p[14].x: 51.534	p[14].y: 17.668	p[14].z: -43.231
p[14].vx: 574.263	p[14].vy: 196.583	p[14].vz: -481.371

p[15].x: 16.659	p[15].y: -8.443	p[15].z: 3.599
p[15].vx: 193.524	p[15].vy: -95.410	p[15].vz: 41.429

p[16].x: -0.146	p[16].y: 0.783	p[16].z: -6.500
p[16].vx: 3.438	p[16].vy: -7.108	p[16].vz: -64.197

p[17].x: -51.468	p[17].y: -48.247	p[17].z: 75.009
p[17].vx: -572.152	p[17].vy: -537.202	p[17].vz: 834.307

p[18].x: 58.511	p[18].y: -53.481	p[18].z: 56.198
p[18].vx: 652.202	p[18].vy: -596.161	p[18].vz: 626.314

p[19].x: -63.905	p[19].y: -24.780	p[19].z: -46.392
p[19].vx: -713.721	p[19].vy: -275.537	p[19].vz: -516.383

p[20].x: -83.178	p[20].y: -57.418	p[20].z: 2.182
p[20].vx: -925.989	p[20].vy: -639.438	p[20].vz: 23.975

p[21].x: 8.536	p[21].y: -21.530	p[21].z: 43.134
p[21].vx: 95.745	p[21].vy: -240.772	p[21].vz: 485.599

p[22].x: 30.690	p[22].y: -65.597	p[22].z: -83.900
p[22].vx: 341.593	p[22].vy: -730.070	p[22].vz: -934.649

p[23].x: -69.213	p[23].y: 11.148	p[23].z: -72.682
p[23].vx: -770.804	p[23].vy: 124.199	p[23].vz: -810.053

p[24].x: -37.385	p[24].y: 12.167	p[24].z: 47.627
p[24].vx: -417.293	p[24].vy: 135.635	p[24].vz: 529.019

p[25].x: -39.601	p[25].y: 40.507	p[25].z: -90.774
p[25].vx: -440.346	p[25].vy: 450.796	p[25].vz: -1012.294

p[26].x: -72.735	p[26].y: -21.552	p[26].z: -26.648
p[26].vx: -811.734	p[26].vy: -239.810	p[26].vz: -296.806

p[27].x: 50.929	p[27].y: 83.766	p[27].z: 65.603
p[27].vx: 566.780	p[27].vy: 932.747	p[27].vz: 730.662

p[28].x: 34.257	p[28].y: 76.618	p[28].z: -78.712
p[28].vx: 381.876	p[28].vy: 853.152	p[28].vz: -877.106

p[29].x: 32.188	p[29].y: -56.056	p[29].z: -74.939
p[29].vx: 358.568	p[29].vy: -624.813	p[29].vz: -835.696

p[30].x: -21.980	p[30].y: 4.587	p[30].z: -17.500
p[30].vx: -244.202	p[30].vy: 51.137	p[30].vz: -195.003

p[31].x: -55.066	p[31].y: 66.922	p[31].z: -70.740
p[31].vx: -612.751	p[31].vy: 744.841	p[31].vz: -787.971

p[32].x: -28.921	p[32].y: 12.060	p[32].z: -62.516
