Total time: 6.307892s

p[0].x: -62.096	p[0].y: 99.007	p[0].z: -55.872
p[0].vx: -691.262	p[0].vy: 1101.734	p[0].vz: -622.235

p[1].x: 20.216	p[1].y: -103.039	p[1].z: 128.752
p[1].vx: 224.907	p[1].vy: -1145.628	p[1].vz: 1431.620

p[2].x: 139.119	p[2].y: 10.979	p[2].z: 60.976
p[2].vx: 1547.025	p[2].vy: 122.146	p[2].vz: 678.051

p[3].x: 91.622	p[3].y: -17.398	p[3].z: 37.802
p[3].vx: 1021.258	p[3].vy: -193.965	p[3].vz: 421.356

p[4].x: 79.614	p[4].y: 22.553	p[4].z: 58.270
p[4].vx: 886.930	p[4].vy: 251.761	p[4].vz: 649.622

p[5].x: 11.446	p[5].y: 42.839	p[5].z: -157.234
p[5].vx: 127.300	p[5].vy: 475.764	p[5].vz: -1747.960

p[6].x: -54.212	p[6].y: -28.521	p[6].z: 117.211
p[6].vx: -603.767	p[6].vy: -316.858	p[6].vz: 1304.507

p[7].x: -13.546	p[7].y: -21.700	p[7].z: 116.013
p[7].vx: -150.894	p[7].vy: -241.795	p[7].vz: 1291.685

p[8].x: 61.148	p[8].y: -60.525	p[8].z: -7.140
p[8].vx: 682.343	p[8].vy: -675.054	p[8].vz: -79.853

p[9].x: -60.570	p[9].y: 19.702	p[9].z: 53.288
p[9].vx: -675.814	p[9].vy: 220.608	p[9].vz: 594.614

p[10].x: 24.296	p[10].y: -32.938	p[10].z: -45.470
p[10].vx: 272.632	p[10].vy: -368.868	p[10].vz: -508.641

p[11].x: 131.296	p[11].y: -120.902	p[11].z: 28.519
p[11].vx: 1461.231	p[11].vy: -1344.537	p[11].vz: 316.434

p[12].x: -67.602	p[12].y: -84.711	p[12].z: -129.382
p[12].vx: -751.102	p[12].vy: -943.552	p[12].vz: -1439.898

p[13].x: -74.429	p[13].y: 64.058	p[13].z: -62.404
p[13].vx: -827.390	p[13].vy: 712.163	p[13].vz: -693.812

p[14].x: -79.776	p[14].y: 63.889	p[14].z: 54.166
p[14].vx: -888.235	p[14].vy: 711.518	p[14].vz: 603.377

p[15].x: -19.915	p[15].y: -40.152	p[15].z: -142.584
p[15].vx: -221.485	p[15].vy: -446.705	p[15].vz: -1586.281

p[16].x: -1.714	p[16].y: 6.694	p[16].z: -7.453
p[16].vx: -13.841	p[16].vy: 55.999	p[16].vz: -76.573

p[17].x: -26.159	p[17].y: -23.958	p[17].z: 22.803
p[17].vx: -294.650	p[17].vy: -269.922	p[17].vz: 257.269

p[18].x: -35.215	p[18].y: 15.739	p[18].z: -156.162
p[18].vx: -391.480	p[18].vy: 175.208	p[18].vz: -1736.309

p[19].x: 2.791	p[19].y: 107.774	p[19].z: -47.547
p[19].vx: 31.280	p[19].vy: 1199.951	p[19].vz: -529.735

p[20].x: 82.226	p[20].y: 97.301	p[20].z: -1.305
p[20].vx: 915.543	p[20].vy: 1083.229	p[20].vz: -14.965

p[21].x: -12.219	p[21].y: 2.847	p[21].z: 59.114
p[21].vx: -136.439	p[21].vy: 31.855	p[21].vz: 661.041

p[22].x: -11.814	p[22].y: 90.077	p[22].z: 151.004
p[22].vx: -131.269	p[22].vy: 1001.715	p[22].vz: 1679.010

p[23].x: 69.346	p[23].y: -35.139	p[23].z: 29.963
p[23].vx: 773.514	p[23].vy: -392.312	p[23].vz: 334.491

p[24].x: 23.452	p[24].y: 57.185	p[24].z: -66.185
p[24].vx: 262.379	p[24].vy: 637.897	p[24].vz: -738.289

p[25].x: -83.237	p[25].y: -97.242	p[25].z: 41.512
p[25].vx: -926.256	p[25].vy: -1081.908	p[25].vz: 461.882

p[26].x: 62.423	p[26].y: 128.491	p[26].z: 16.408
p[26].vx: 694.736	p[26].vy: 1429.646	p[26].vz: 182.501

p[27].x: 27.280	p[27].y: 28.069	p[27].z: -19.333
p[27].vx: 307.622	p[27].vy: 316.501	p[27].vz: -217.583

p[28].x: -16.912	p[28].y: 22.067	p[28].z: -17.721
p[28].vx: -192.089	p[28].vy: 250.563	p[28].vz: -201.883

