Total time: 10.960091s

p[0].x: 98.989	p[0].y: 15.013	p[0].z: 126.286
p[0].vx: 1103.689	p[0].vy: 168.312	p[0].vz: 1405.338

p[1].x: -26.084	p[1].y: 34.740	p[1].z: -27.572
p[1].vx: -290.361	p[1].vy: 387.072	p[1].vz: -307.900

p[2].x: -9.564	p[2].y: 18.348	p[2].z: 37.338
p[2].vx: -106.682	p[2].vy: 204.561	p[2].vz: 422.138

p[3].x: 3.443	p[3].y: 7.231	p[3].z: -50.782
p[3].vx: 38.230	p[3].vy: 80.482	p[3].vz: -568.890

p[4].x: -36.443	p[4].y: -1.480	p[4].z: -49.516
p[4].vx: -406.839	p[4].vy: -16.165	p[4].vz: -551.573

p[5].x: 10.756	p[5].y: 54.343	p[5].z: 6.150
p[5].vx: 119.630	p[5].vy: 607.935	p[5].vz: 68.697

p[6].x: -21.529	p[6].y: 29.024	p[6].z: 4.598
p[6].vx: -241.012	p[6].vy: 329.922	p[6].vz: 50.909

p[7].x: -40.411	p[7].y: 38.987	p[7].z: 8.903
p[7].vx: -448.533	p[7].vy: 437.575	p[7].vz: 98.712

p[8].x: -33.904	p[8].y: 30.682	p[8].z: -1.108
p[8].vx: -377.978	p[8].vy: 343.223	p[8].vz: -12.296

p[9].x: 27.396	p[9].y: 49.313	p[9].z: -13.840
p[9].vx: 306.256	p[9].vy: 548.861	p[9].vz: -154.244

p[10].x: 12.545	p[10].y: 50.936	p[10].z: 0.008
p[10].vx: 139.694	p[10].vy: 567.898	p[10].vz: 0.260

p[11].x: 27.139	p[11].y: 43.449	p[11].z: 6.813
p[11].vx: 302.317	p[11].vy: 484.882	p[11].vz: 75.984

p[12].x: -23.228	p[12].y: 42.971	p[12].z: 37.878
p[12].vx: -257.516	p[12].vy: 481.294	p[12].vz: 420.508

p[13].x: 12.531	p[13].y: -24.425	p[13].z: 40.175
p[13].vx: 140.358	p[13].vy: -272.516	p[13].vz: 447.215

p[14].x: 56.860	p[14].y: 2.294	p[14].z: -43.050
p[14].vx: 633.726	p[14].vy: 25.755	p[14].vz: -479.598

p[15].x: 11.472	p[15].y: -6.242	p[15].z: 2.854
p[15].vx: 136.731	p[15].vy: -70.522	p[15].vz: 33.396

p[16].x: 0.060	p[16].y: -0.224	p[16].z: -5.899
p[16].vx: 5.587	p[16].vy: -17.511	p[16].vz: -56.259

p[17].x: -16.242	p[17].y: -38.875	p[17].z: 61.125
p[17].vx: -180.097	p[17].vy: -432.684	p[17].vz: 678.613

p[18].x: 40.856	p[18].y: -34.260	p[18].z: 42.997
