Total time: 5.552525s

p[0].x: -69.199	p[0].y: 88.049	p[0].z: -27.056
p[0].vx: -771.080	p[0].vy: 980.041	p[0].vz: -302.519

p[1].x: 6.582	p[1].y: -55.332	p[1].z: 61.783
p[1].vx: 73.497	p[1].vy: -616.108	p[1].vz: 687.754

p[2].x: 63.550	p[2].y: 12.724	p[2].z: -18.409
p[2].vx: 707.321	p[2].vy: 141.496	p[2].vz: -205.117

p[3].x: 50.267	p[3].y: -11.386	p[3].z: 29.005
p[3].vx: 562.118	p[3].vy: -127.329	p[3].vz: 324.555

p[4].x: 44.175	p[4].y: 7.851	p[4].z: 42.187
p[4].vx: 493.758	p[4].vy: 88.365	p[4].vz: 471.599

p[5].x: -0.936	p[5].y: -48.526	p[5].z: -66.282
p[5].vx: -10.247	p[5].vy: -540.119	p[5].vz: -737.365

p[6].x: -1.499	p[6].y: -30.523	p[6].z: 71.163
p[6].vx: -17.784	p[6].vy: -340.175	p[6].vz: 792.722

p[7].x: -0.041	p[7].y: -40.896	p[7].z: 59.112
p[7].vx: 0.446	p[7].vy: -456.027	p[7].vz: 658.938

p[8].x: 36.955	p[8].y: -34.587	p[8].z: -3.502
p[8].vx: 414.232	p[8].vy: -387.545	p[8].vz: -39.351

p[9].x: -39.200	p[9].y: -4.444	p[9].z: 30.850
p[9].vx: -438.888	p[9].vy: -47.388	p[9].vz: 346.166

p[10].x: 11.849	p[10].y: -22.730	p[10].z: -31.803
p[10].vx: 134.830	p[10].vy: -256.036	p[10].vz: -357.813

p[11].x: 57.467	p[11].y: -33.830	p[11].z: -0.023
p[11].vx: 641.099	p[11].vy: -377.640	p[11].vz: -0.443

p[12].x: -1.288	p[12].y: -44.007	p[12].z: -39.226
p[12].vx: -14.326	p[12].vy: -491.914	p[12].vz: -438.803

p[13].x: -6.093	p[13].y: 25.277	p[13].z: -21.059
p[13].vx: -68.361	p[13].vy: 281.494	p[13].vz: -234.409

p[14].x: -47.689	p[14].y: 34.238	p[14].z: 35.198
p[14].vx: -531.949	p[14].vy: 382.131	p[14].vz: 392.900

p[15].x: -35.526	p[15].y: -15.308	p[15].z: -67.330
p[15].vx: -395.950	p[15].vy: -170.443	p[15].vz: -750.024

p[16].x: -2.177	p[16].y: 8.125	p[16].z: -7.477
p[16].vx: -18.989	p[16].vy: 70.801	p[16].vz: -77.240

p[17].x: -21.351	p[17].y: -19.538	p[17].z: 13.664
p[17].vx: -241.908	p[17].vy: -221.491	p[17].vz: 156.211

p[18].x: -8.782	p[18].y: 28.776	p[18].z: -89.429
p[18].vx: -98.003	p[18].vy: 320.570	p[18].vz: -995.347

