Total time: 6.994762s

p[0].x: -83.418	p[0].y: 178.895	p[0].z: -85.426
p[0].vx: -927.532	p[0].vy: 1989.336	p[0].vz: -950.206

p[1].x: -13.630	p[1].y: -237.217	p[1].z: 183.680
p[1].vx: -151.449	p[1].vy: -2636.343	p[1].vz: 2041.374

p[2].x: 79.601	p[2].y: 29.477	p[2].z: 167.926
p[2].vx: 885.625	p[2].vy: 327.839	p[2].vz: 1867.836

p[3].x: 163.428	p[3].y: -48.638	p[3].z: 15.801
p[3].vx: 1818.630	p[3].vy: -541.064	p[3].vz: 175.632

p[4].x: 149.435	p[4].y: 37.235	p[4].z: 87.097
p[4].vx: 1662.319	p[4].vy: 415.023	p[4].vz: 969.393

p[5].x: -38.714	p[5].y: 238.694	p[5].z: -161.859
p[5].vx: -430.087	p[5].vy: 2653.048	p[5].vz: -1799.272

p[6].x: -43.066	p[6].y: 37.201	p[6].z: 93.252
p[6].vx: -480.105	p[6].vy: 415.159	p[6].vz: 1038.871

p[7].x: -11.746	p[7].y: 14.230	p[7].z: 181.820
p[7].vx: -130.686	p[7].vy: 158.478	p[7].vz: 2022.676

p[8].x: 125.754	p[8].y: -115.081	p[8].z: -8.306
p[8].vx: 1399.376	p[8].vy: -1280.488	p[8].vz: -92.660

p[9].x: -116.974	p[9].y: 58.524	p[9].z: 89.750
p[9].vx: -1301.715	p[9].vy: 651.672	p[9].vz: 998.867

p[10].x: 42.676	p[10].y: -53.385	p[10].z: -87.229
p[10].vx: 476.083	p[10].vy: -594.765	p[10].vz: -972.388

p[11].x: 152.404	p[11].y: -104.114	p[11].z: -25.184
p[11].vx: 1695.628	p[11].vy: -1157.519	p[11].vz: -280.023

p[12].x: -2.822	p[12].y: -107.786	p[12].z: -182.087
p[12].vx: -31.388	p[12].vy: -1198.886	p[12].vz: -2024.938

p[13].x: -77.629	p[13].y: 69.196	p[13].z: 37.685
p[13].vx: -862.581	p[13].vy: 768.979	p[13].vz: 418.634

p[14].x: -126.508	p[14].y: 146.137	p[14].z: 98.332
p[14].vx: -1406.727	p[14].vy: 1625.152	p[14].vz: 1093.511

p[15].x: 76.705	p[15].y: -70.438	p[15].z: -214.428
p[15].vx: 853.172	p[15].vy: -783.099	p[15].vz: -2384.463

p[16].x: -1.097	p[16].y: 6.240	p[16].z: -7.689
p[16].vx: -7.636	p[16].vy: 50.917	p[16].vz: -78.485

p[17].x: -35.407	p[17].y: -32.743	p[17].z: 36.960
p[17].vx: -396.721	p[17].vy: -367.053	p[17].vz: 414.234

p[18].x: -17.308	p[18].y: -105.287	p[18].z: -218.513
p[18].vx: -192.354	p[18].vy: -1169.985	p[18].vz: -2428.521

p[19].x: -22.261	p[19].y: 163.903	p[19].z: -80.714
p[19].vx: -247.637	p[19].vy: 1823.435	p[19].vz: -898.274

p[20].x: 166.003	p[20].y: 207.935	p[20].z: -29.232
p[20].vx: 1845.651	p[20].vy: 2311.833	p[20].vz: -325.151

p[21].x: -7.028	p[21].y: 0.369	p[21].z: 62.567
p[21].vx: -78.238	p[21].vy: 4.072	p[21].vz: 699.990

p[22].x: -36.170	p[22].y: 184.012	p[22].z: 188.082
p[22].vx: -401.918	p[22].vy: 2045.179	p[22].vz: 2090.285

p[23].x: 129.847	p[23].y: -79.059	p[23].z: 41.253
p[23].vx: 1445.157	p[23].vy: -879.824	p[23].vz: 459.107

p[24].x: 52.082	p[24].y: 102.627	p[24].z: -112.873
p[24].vx: 579.715	p[24].vy: 1142.439	p[24].vz: -1256.463

p[25].x: -183.284	p[25].y: -171.234	p[25].z: -52.100
p[25].vx: -2037.572	p[25].vy: -1903.611	p[25].vz: -579.343

p[26].x: 23.136	p[26].y: 246.141	p[26].z: -47.447
p[26].vx: 257.367	p[26].vy: 2736.631	p[26].vz: -527.667

p[27].x: 39.619	p[27].y: 43.785	p[27].z: -23.209
p[27].vx: 443.991	p[27].vy: 490.655	p[27].vz: -259.792

p[28].x: -22.295	p[28].y: 29.302	p[28].z: -25.249
p[28].vx: -251.117	p[28].vy: 330.312	p[28].vz: -285.018

p[29].x: -176.948	p[29].y: 204.455	p[29].z: 191.848
p[29].vx: -1966.317	p[29].vy: 2272.510	p[29].vz: 2131.898

p[30].x: 241.350	p[30].y: -132.858	p[30].z: -81.826
p[30].vx: 2682.463	p[30].vy: -1476.585	p[30].vz: -909.559

p[31].x: -232.743	p[31].y: -146.728	p[31].z: -15.927
p[31].vx: -2586.922	p[31].vy: -1630.964	p[31].vz: -177.253

p[32].x: -183.463	p[32].y: -55.428	p[32].z: -73.455
p[32].vx: -2040.327	p[32].vy: -616.407	p[32].vz: -817.349

p[33].x: -54.233	p[33].y: -54.551	p[33].z: -30.485
p[33].vx: -605.752	p[33].vy: -609.229	p[33].vz: -340.779

p[34].x: -86.147	p[34].y: -44.605	p[34].z: 41.453
p[34].vx: -960.165	p[34].vy: -497.686	p[34].vz: 462.108

p[35].x: -232.879	p[35].y: 76.707	p[35].z: 47.604
p[35].vx: -2588.817	p[35].vy: 852.931	p[35].vz: 529.100

p[36].x: 163.561	p[36].y: 182.409	p[36].z: 9.084
p[36].vx: 1818.673	p[36].vy: 2028.060	p[36].vz: 100.772

p[37].x: 6.958	p[37].y: 153.379	p[37].z: -41.551
p[37].vx: 77.458	p[37].vy: 1706.822	p[37].vz: -462.721

p[38].x: -2.250	p[38].y: -132.516	p[38].z: 158.592
p[38].vx: -24.911	p[38].vy: -1473.621	p[38].vz: 1763.719

p[39].x: 139.518	p[39].y: -165.110	p[39].z: 100.049
p[39].vx: 1551.249	p[39].vy: -1835.622	p[39].vz: 1112.301

p[40].x: -152.407	p[40].y: 170.330	p[40].z: -60.022
p[40].vx: -1693.659	p[40].vy: 1893.145	p[40].vz: -667.257

p[41].x: 97.196	p[41].y: -32.440	p[41].z: 91.351
p[41].vx: 1082.150	p[41].vy: -361.281	p[41].vz: 1016.937

p[42].x: 207.056	p[42].y: -70.897	p[42].z: -166.495
p[42].vx: 2301.553	p[42].vy: -787.680	p[42].vz: -1850.785

p[43].x: -146.470	p[43].y: 125.781	p[43].z: 3.392
p[43].vx: -1629.071	p[43].vy: 1399.125	p[43].vz: 37.710

p[44].x: -51.191	p[44].y: 39.062	p[44].z: 218.888
p[44].vx: -569.110	p[44].vy: 434.274	p[44].vz: 2433.912

p[45].x: -72.584	p[45].y: 131.267	p[45].z: -110.244
p[45].vx: -807.554	p[45].vy: 1460.319	p[45].vz: -1226.672

p[46].x: 241.954	p[46].y: 50.994	p[46].z: -99.612
p[46].vx: 2689.220	p[46].vy: 566.834	p[46].vz: -1107.154

p[47].x: -7.897	p[47].y: 49.630	p[47].z: 103.332
p[47].vx: -87.777	p[47].vy: 553.318	p[47].vz: 1151.298

p[48].x: -79.097	p[48].y: 124.790	p[48].z: 31.097
p[48].vx: -878.858	p[48].vy: 1386.907	p[48].vz: 345.381

p[49].x: -21.005	p[49].y: -32.151	p[49].z: -58.024
p[49].vx: -234.834	p[49].vy: -359.568	p[49].vz: -649.296

p[50].x: 39.660	p[50].y: -85.927	p[50].z: -91.848
p[50].vx: 441.805	p[50].vy: -956.867	p[50].vz: -1022.948

p[51].x: 51.990	p[51].y: 107.040	p[51].z: 60.932
p[51].vx: 579.157	p[51].vy: 1191.809	p[51].vz: 678.815

p[52].x: 120.355	p[52].y: 178.052	p[52].z: 188.855
p[52].vx: 1337.950	p[52].vy: 1979.443	p[52].vz: 2099.090

p[53].x: 373.158	p[53].y: 70.550	p[53].z: -189.556
p[53].vx: 4147.093	p[53].vy: 784.000	p[53].vz: -2106.402

p[54].x: 51.353	p[54].y: 176.581	p[54].z: 200.543
p[54].vx: 570.978	p[54].vy: 1962.956	p[54].vz: 2229.214

p[55].x: -134.052	p[55].y: 20.864	p[55].z: -121.319
p[55].vx: -1491.480	p[55].vy: 232.364	p[55].vz: -1350.100

p[56].x: -30.641	p[56].y: -263.142	p[56].z: -161.406
p[56].vx: -340.626	p[56].vy: -2924.621	p[56].vz: -1794.100

p[57].x: -143.641	p[57].y: -170.938	p[57].z: 85.304
p[57].vx: -1596.421	p[57].vy: -1899.833	p[57].vz: 947.929

p[58].x: 110.243	p[58].y: 223.130	p[58].z: -78.554
p[58].vx: 1226.017	p[58].vy: 2480.574	p[58].vz: -873.550

p[59].x: 236.570	p[59].y: 132.597	p[59].z: 36.867
p[59].vx: 2629.802	p[59].vy: 1473.972	p[59].vz: 409.341

p[60].x: -243.999	p[60].y: -93.818	p[60].z: -126.735
p[60].vx: -2712.278	p[60].vy: -1043.107	p[60].vz: -1409.101

p[61].x: -168.700	p[61].y: -71.647	p[61].z: 54.506
p[61].vx: -1876.385	p[61].vy: -796.952	p[61].vz: 606.391

p[62].x: 64.096	p[62].y: -27.839	p[62].z: -176.051
p[62].vx: 713.164	p[62].vy: -309.723	p[62].vz: -1958.460

p[63].x: -84.940	p[63].y: -52.981	p[63].z: 56.457
p[63].vx: -946.313	p[63].vy: -590.608	p[63].vz: 629.009

p[64].x: 176.451	p[64].y: 60.360	p[64].z: -123.661
p[64].vx: 1962.224	p[64].vy: 671.442	p[64].vz: -1375.316

p[65].x: 192.918	p[65].y: -143.799	p[65].z: -135.114
p[65].vx: 2144.306	p[65].vy: -1598.143	p[65].vz: -1501.880

p[66].x: 134.977	p[66].y: -116.506	p[66].z: -91.573
p[66].vx: 1500.235	p[66].vy: -1294.769	p[66].vz: -1017.815

p[67].x: 159.753	p[67].y: 154.759	p[67].z: -194.685
p[67].vx: 1776.073	p[67].vy: 1720.270	p[67].vz: -2163.833

p[68].x: -4.428	p[68].y: -62.841	p[68].z: -267.100
p[68].vx: -49.191	p[68].vy: -698.543	p[68].vz: -2969.333

p[69].x: 66.463	p[69].y: -88.156	p[69].z: 35.152
p[69].vx: 740.662	p[69].vy: -982.188	p[69].vz: 391.756

p[70].x: 63.410	p[70].y: 164.757	p[70].z: -64.072
p[70].vx: 705.574	p[70].vy: 1832.753	p[70].vz: -712.866

