Total time: 1.556731s

p[0].x: -5.216	p[0].y: 10.016	p[0].z: -10.471
p[0].vx: -64.031	p[0].vy: 125.786	p[0].vz: -131.260

p[1].x: 22.190	p[1].y: 23.822	p[1].z: -1.173
p[1].vx: 278.355	p[1].vy: 296.164	p[1].vz: -13.500

p[2].x: 9.697	p[2].y: 1.415	p[2].z: -8.523
p[2].vx: 121.277	p[2].vy: 17.428	p[2].vz: -105.825

p[3].x: 4.409	p[3].y: -0.798	p[3].z: 8.763
p[3].vx: 53.359	p[3].vy: -7.417	p[3].vz: 114.297

p[4].x: 4.849	p[4].y: 2.296	p[4].z: 10.543
p[4].vx: 61.780	p[4].vy: 29.522	p[4].vz: 135.102

p[5].x: 2.808	p[5].y: -4.311	p[5].z: -8.253
p[5].vx: 35.058	p[5].vy: -54.395	p[5].vz: -102.913

p[6].x: -3.314	p[6].y: -7.814	p[6].z: 13.382
p[6].vx: -41.641	p[6].vy: -98.376	p[6].vz: 168.470

p[7].x: 6.193	p[7].y: -13.762	p[7].z: 9.330
p[7].vx: 78.640	p[7].vy: -173.056	p[7].vz: 117.804

p[8].x: 10.093	p[8].y: -7.745	p[8].z: -0.073
p[8].vx: 129.988	p[8].vy: -98.357	p[8].vz: -1.051

p[9].x: -10.007	p[9].y: 2.558	p[9].z: 9.250
p[9].vx: -126.960	p[9].vy: 33.087	p[9].vz: 117.472

p[10].x: 3.131	p[10].y: -6.238	p[10].z: -6.466
p[10].vx: 42.571	p[10].vy: -80.908	p[10].vz: -84.387

p[11].x: -9.939	p[11].y: -12.207	p[11].z: 11.599
p[11].vx: -106.366	p[11].vy: -138.465	p[11].vz: 127.187

p[12].x: 0.759	p[12].y: -13.545	p[12].z: -8.949
p[12].vx: 10.451	p[12].vy: -171.620	p[12].vz: -113.209

p[13].x: -5.558	p[13].y: 2.402	p[13].z: -11.283
p[13].vx: -69.280	p[13].vy: 29.483	p[13].vz: -140.423

p[14].x: -6.728	p[14].y: 5.217	p[14].z: 11.486
p[14].vx: -84.478	p[14].vy: 66.300	p[14].vz: 144.420

p[15].x: -8.292	p[15].y: -7.060	p[15].z: -1.648
p[15].vx: -104.509	p[15].vy: -90.798	p[15].vz: -18.877

p[16].x: -0.171	p[16].y: 2.016	p[16].z: -3.249
p[16].vx: -1.838	p[16].vy: 25.414	p[16].vz: -38.680

p[17].x: -4.595	p[17].y: -3.779	p[17].z: 4.678
p[17].vx: -60.921	p[17].vy: -52.202	p[17].vz: 61.461

p[18].x: 11.356	p[18].y: 3.671	p[18].z: -0.719
p[18].vx: 142.524	p[18].vy: 46.346	p[18].vz: -7.983

p[19].x: 3.493	p[19].y: 13.024	p[19].z: -2.630
p[19].vx: 43.393	p[19].vy: 164.334	p[19].vz: -32.710

p[20].x: 11.316	p[20].y: 13.975	p[20].z: 1.817
p[20].vx: 142.234	p[20].vy: 175.324	p[20].vz: 23.984

p[21].x: -1.731	p[21].y: 1.244	p[21].z: 4.164
p[21].vx: -20.884	p[21].vy: 16.052	p[21].vz: 57.249

p[22].x: 0.249	p[22].y: 2.503	p[22].z: 15.037
p[22].vx: 4.605	p[22].vy: 31.700	p[22].vz: 189.660

p[23].x: 8.347	p[23].y: -7.841	p[23].z: 11.286
p[23].vx: 105.676	p[23].vy: -99.239	p[23].vz: 142.980

p[24].x: 9.062	p[24].y: 8.639	p[24].z: -6.763
p[24].vx: 115.116	p[24].vy: 109.031	p[24].vz: -86.516

p[25].x: -5.249	p[25].y: -7.813	p[25].z: 12.791
p[25].vx: -66.368	p[25].vy: -98.848	p[25].vz: 160.750

p[26].x: 1.372	p[26].y: 20.664	p[26].z: 2.072
p[26].vx: 17.627	p[26].vy: 258.774	p[26].vz: 25.107

p[27].x: 3.442	p[27].y: 3.795	p[27].z: -3.593
p[27].vx: 47.970	p[27].vy: 55.516	p[27].vz: -52.053

p[28].x: -5.011	p[28].y: 4.314	p[28].z: -4.017
p[28].vx: -66.884	p[28].vy: 56.489	p[28].vz: -55.687

p[29].x: -4.372	p[29].y: 8.054	p[29].z: 14.319
p[29].vx: -54.866	p[29].vy: 101.533	p[29].vz: 179.929

p[30].x: 13.605	p[30].y: -20.933	p[30].z: -21.018
p[30].vx: 153.326	p[30].vy: -233.369	p[30].vz: -234.128

p[31].x: -2.267	p[31].y: -2.609	p[31].z: 10.671
p[31].vx: -29.756	p[31].vy: -31.463	p[31].vz: 135.075

p[32].x: -13.966	p[32].y: -2.469	p[32].z: 8.965
p[32].vx: -174.802	p[32].vy: -30.013	p[32].vz: 112.324

p[33].x: -7.027	p[33].y: 3.137	p[33].z: -6.833
p[33].vx: -82.273	p[33].vy: 23.440	p[33].vz: -82.552

p[34].x: -4.667	p[34].y: -0.679	p[34].z: 4.832
p[34].vx: -63.010	p[34].vy: -12.325	p[34].vz: 63.230

p[35].x: -7.238	p[35].y: 6.028	p[35].z: -4.290
p[35].vx: -89.946	p[35].vy: 75.059	p[35].vz: -54.024

p[36].x: 5.956	p[36].y: 14.572	p[36].z: 7.597
p[36].vx: 75.760	p[36].vy: 182.920	p[36].vz: 95.721

p[37].x: 2.286	p[37].y: -10.932	p[37].z: 13.131
p[37].vx: 28.578	p[37].vy: -136.868	p[37].vz: 164.495

p[38].x: -7.766	p[38].y: -7.590	p[38].z: -5.389
p[38].vx: -97.836	p[38].vy: -94.892	p[38].vz: -67.604

p[39].x: -1.288	p[39].y: 14.224	p[39].z: -1.810
p[39].vx: -14.262	p[39].vy: 176.604	p[39].vz: -19.569

p[40].x: -6.129	p[40].y: 6.844	p[40].z: 2.206
p[40].vx: -76.260	p[40].vy: 84.019	p[40].vz: 27.191

p[41].x: -10.169	p[41].y: 10.479	p[41].z: 1.154
p[41].vx: -126.329	p[41].vy: 129.382	p[41].vz: 14.282

p[42].x: 3.327	p[42].y: 20.674	p[42].z: -1.562
p[42].vx: 42.970	p[42].vy: 258.977	p[42].vz: -20.163

p[43].x: -8.919	p[43].y: 6.661	p[43].z: -6.135
p[43].vx: -112.839	p[43].vy: 84.651	p[43].vz: -77.018

p[44].x: -0.234	p[44].y: 5.202	p[44].z: 16.417
p[44].vx: -1.880	p[44].vy: 65.548	p[44].vz: 205.804

p[45].x: 2.644	p[45].y: 10.491	p[45].z: -7.184
p[45].vx: 33.333	p[45].vy: 130.392	p[45].vz: -89.686

p[46].x: -10.839	p[46].y: 3.493	p[46].z: 4.080
p[46].vx: -136.354	p[46].vy: 45.877	p[46].vz: 53.250

p[47].x: -6.265	p[47].y: 3.761	p[47].z: 11.791
p[47].vx: -79.353	p[47].vy: 48.174	p[47].vz: 148.965

p[48].x: -4.114	p[48].y: -1.356	p[48].z: 15.030
p[48].vx: -51.911	p[48].vy: -16.592	p[48].vz: 188.994

p[49].x: -3.947	p[49].y: -4.646	p[49].z: -5.754
p[49].vx: -51.351	p[49].vy: -61.583	p[49].vz: -76.639

p[50].x: 2.454	p[50].y: -8.790	p[50].z: -7.805
p[50].vx: 32.097	p[50].vy: -112.977	p[50].vz: -100.267

p[51].x: 11.752	p[51].y: 4.691	p[51].z: -1.463
p[51].vx: 149.576	p[51].vy: 60.348	p[51].vz: -16.250

p[52].x: 3.390	p[52].y: 3.007	p[52].z: 12.421
p[52].vx: 42.564	p[52].vy: 37.050	p[52].vz: 155.396

p[53].x: -7.188	p[53].y: 4.372	p[53].z: -6.382
p[53].vx: -88.394	p[53].vy: 53.947	p[53].vz: -79.289

p[54].x: -0.034	p[54].y: 10.092	p[54].z: 14.510
p[54].vx: 0.982	p[54].vy: 127.072	p[54].vz: 183.046

p[55].x: -13.006	p[55].y: -3.344	p[55].z: -7.627
p[55].vx: -163.210	p[55].vy: -42.570	p[55].vz: -96.726

p[56].x: -0.769	p[56].y: -12.984	p[56].z: 0.251
p[56].vx: -9.983	p[56].vy: -163.545	p[56].vz: 4.606

p[57].x: 2.641	p[57].y: -17.870	p[57].z: 1.921
p[57].vx: 33.656	p[57].vy: -223.130	p[57].vz: 23.534

p[58].x: 18.002	p[58].y: -11.280	p[58].z: 3.393
p[58].vx: 224.743	p[58].vy: -141.383	p[58].vz: 40.960

p[59].x: -0.530	p[59].y: 10.270	p[59].z: -12.746
p[59].vx: -6.364	p[59].vy: 129.311	p[59].vz: -160.339

p[60].x: -1.382	p[60].y: 5.685	p[60].z: -17.858
p[60].vx: -17.377	p[60].vy: 71.050	p[60].vz: -223.592

p[61].x: -10.384	p[61].y: 3.989	p[61].z: 2.455
p[61].vx: -130.633	p[61].vy: 52.876	p[61].vz: 33.549

p[62].x: 1.350	p[62].y: 7.268	p[62].z: -9.482
p[62].vx: 17.513	p[62].vy: 91.370	p[62].vz: -120.587

p[63].x: -9.340	p[63].y: -4.020	p[63].z: 11.857
p[63].vx: -118.178	p[63].vy: -51.134	p[63].vz: 149.878

p[64].x: 13.419	p[64].y: -0.148	p[64].z: -12.133
p[64].vx: 169.570	p[64].vy: -2.724	p[64].vz: -152.558

p[65].x: 9.340	p[65].y: -10.293	p[65].z: -5.867
p[65].vx: 116.442	p[65].vy: -129.826	p[65].vz: -73.783

p[66].x: -1.832	p[66].y: -11.101	p[66].z: -9.794
p[66].vx: -22.602	p[66].vy: -139.159	p[66].vz: -122.854

p[67].x: -6.058	p[67].y: 1.902	p[67].z: -4.225
p[67].vx: -74.139	p[67].vy: 23.903	p[67].vz: -51.355

p[68].x: -1.957	p[68].y: 15.958	p[68].z: -7.253
p[68].vx: -25.200	p[68].vy: 199.363	p[68].vz: -91.388

p[69].x: 4.106	p[69].y: -2.325	p[69].z: 3.266
p[69].vx: 52.001	p[69].vy: -33.521	p[69].vz: 43.836

p[70].x: -0.392	p[70].y: 6.254	p[70].z: -6.104
p[70].vx: -4.625	p[70].vy: 82.496	p[70].vz: -78.882

p[71].x: -1.500	p[71].y: -10.324	p[71].z: -2.723
p[71].vx: -21.334	p[71].vy: -130.630	p[71].vz: -33.422

p[72].x: -13.168	p[72].y: -4.236	p[72].z: 6.747
p[72].vx: -163.657	p[72].vy: -52.530	p[72].vz: 84.460

p[73].x: 7.338	p[73].y: -10.205	p[73].z: -11.904
p[73].vx: 92.062	p[73].vy: -129.606	p[73].vz: -150.374

p[74].x: 0.572	p[74].y: 9.904	p[74].z: 8.528
p[74].vx: 7.201	p[74].vy: 123.502	p[74].vz: 106.912

p[75].x: -1.580	p[75].y: 10.880	p[75].z: 12.909
p[75].vx: -18.689	p[75].vy: 135.872	p[75].vz: 161.422

p[76].x: 5.191	p[76].y: 0.378	p[76].z: -4.667
p[76].vx: 64.223	p[76].vy: 4.325	p[76].vz: -57.319

p[77].x: -14.684	p[77].y: 3.889	p[77].z: -5.449
p[77].vx: -183.886	p[77].vy: 49.535	p[77].vz: -68.704

p[78].x: -3.319	p[78].y: 5.857	p[78].z: 3.924
p[78].vx: -42.643	p[78].vy: 74.411	p[78].vz: 50.918

p[79].x: -1.641	p[79].y: -6.232	p[79].z: 20.771
p[79].vx: -20.587	p[79].vy: -79.506	p[79].vz: 261.437

p[80].x: 9.890	p[80].y: -5.730	p[80].z: -12.203
p[80].vx: 124.710	p[80].vy: -72.847	p[80].vz: -153.801

p[81].x: 10.757	p[81].y: 13.532	p[81].z: -2.580
p[81].vx: 135.788	p[81].vy: 169.562	p[81].vz: -32.303

p[82].x: -2.696	p[82].y: -10.003	p[82].z: -5.059
p[82].vx: -34.667	p[82].vy: -126.859	p[82].vz: -65.937

p[83].x: 8.377	p[83].y: 3.311	p[83].z: -12.478
p[83].vx: 105.006	p[83].vy: 41.472	p[83].vz: -155.531

p[84].x: -3.738	p[84].y: -8.134	p[84].z: -8.287
p[84].vx: -46.566	p[84].vy: -101.509	p[84].vz: -103.159

p[85].x: 16.624	p[85].y: -8.951	p[85].z: -6.016
p[85].vx: 208.770	p[85].vy: -112.177	p[85].vz: -75.781

p[86].x: -4.685	p[86].y: -5.452	p[86].z: -3.620
p[86].vx: -62.377	p[86].vy: -71.259	p[86].vz: -49.547

p[87].x: -10.360	p[87].y: 2.435	p[87].z: -8.602
p[87].vx: -131.388	p[87].vy: 31.642	p[87].vz: -110.016

p[88].x: -8.399	p[88].y: -6.443	p[88].z: 7.767
p[88].vx: -104.644	p[88].vy: -81.740	p[88].vz: 98.642

p[89].x: -2.605	p[89].y: -3.817	p[89].z: -4.053
