Total time: 9.371776s

p[0].x: 105.650	p[0].y: 86.673	p[0].z: 60.540
p[0].vx: 1176.342	p[0].vy: 964.577	p[0].vz: 673.744

p[1].x: -67.259	p[1].y: 39.243	p[1].z: -79.679
p[1].vx: -747.536	p[1].vy: 436.367	p[1].vz: -886.149

p[2].x: 13.085	p[2].y: 28.522	p[2].z: 54.685
p[2].vx: 145.469	p[2].vy: 317.456	p[2].vz: 613.356

p[3].x: 64.422	p[3].y: -2.917	p[3].z: -139.119
p[3].vx: 716.848	p[3].vy: -32.544	p[3].vz: -1549.028

p[4].x: -11.117	p[4].y: 77.362	p[4].z: -46.214
p[4].vx: -123.568	p[4].vy: 860.246	p[4].vz: -514.426

p[5].x: 16.656	p[5].y: 108.907	p[5].z: -17.425
p[5].vx: 185.285	p[5].vy: 1213.673	p[5].vz: -193.691

p[6].x: -25.148	p[6].y: 50.312	p[6].z: 25.622
p[6].vx: -280.940	p[6].vy: 564.440	p[6].vz: 286.066

p[7].x: -89.130	p[7].y: 104.793	p[7].z: 18.787
p[7].vx: -990.573	p[7].vy: 1167.378	p[7].vz: 209.597

p[8].x: -48.918	p[8].y: 53.492	p[8].z: -14.698
p[8].vx: -543.806	p[8].vy: 595.045	p[8].vz: -163.707

p[9].x: -3.782	p[9].y: 125.396	p[9].z: 100.166
p[9].vx: -41.715	p[9].vy: 1395.741	p[9].vz: 1113.955

p[10].x: 83.255	p[10].y: 107.468	p[10].z: -116.401
p[10].vx: 926.162	p[10].vy: 1195.317	p[10].vz: -1294.716

p[11].x: 112.095	p[11].y: 123.663	p[11].z: 43.902
p[11].vx: 1246.468	p[11].vy: 1375.626	p[11].vz: 487.807

p[12].x: -70.753	p[12].y: 103.143	p[12].z: 49.938
p[12].vx: -786.688	p[12].vy: 1147.482	p[12].vz: 555.423

p[13].x: 29.562	p[13].y: -77.963	p[13].z: 94.112
p[13].vx: 328.948	p[13].vy: -866.984	p[13].vz: 1046.732

p[14].x: 112.723	p[14].y: 41.524	p[14].z: -38.493
p[14].vx: 1253.535	p[14].vy: 461.767	p[14].vz: -428.218

p[15].x: 28.152	p[15].y: -12.345	p[15].z: 5.274
p[15].vx: 319.889	p[15].vy: -138.870	p[15].vz: 59.757

p[16].x: -0.418	p[16].y: 2.345	p[16].z: -6.909
p[16].vx: -0.032	p[16].vy: 9.541	p[16].vz: -68.954

p[17].x: -71.780	p[17].y: -76.831	p[17].z: 106.949
