Total time: 2.372082s

p[0].x: 15.966	p[0].y: 5.510	p[0].z: -2.081
p[0].vx: 201.955	p[0].vy: 69.031	p[0].vz: -25.579

p[1].x: -3.963	p[1].y: 16.319	p[1].z: -9.070
p[1].vx: -49.279	p[1].vy: 203.764	p[1].vz: -114.278

p[2].x: 1.206	p[2].y: 2.509	p[2].z: 5.228
p[2].vx: 15.246	p[2].vy: 31.152	p[2].vz: 70.393

p[3].x: -2.150	p[3].y: 7.858	p[3].z: -6.156
p[3].vx: -28.801	p[3].vy: 98.318	p[3].vz: -79.128

p[4].x: -12.372	p[4].y: 2.637	p[4].z: 14.668
p[4].vx: -155.645	p[4].vy: 33.298	p[4].vz: 182.521

p[5].x: 0.576	p[5].y: 15.060	p[5].z: 9.086
p[5].vx: 7.731	p[5].vy: 188.956	p[5].vz: 113.598

p[6].x: -2.655	p[6].y: 7.916	p[6].z: 5.016
p[6].vx: -33.181	p[6].vy: 102.907	p[6].vz: 62.210

p[7].x: 0.397	p[7].y: 0.417	p[7].z: -1.816
p[7].vx: 3.009	p[7].vy: 12.835	p[7].vz: -28.899

p[8].x: 3.085	p[8].y: 13.280	p[8].z: -2.846
p[8].vx: 38.294	p[8].vy: 165.838	p[8].vz: -35.676

p[9].x: -1.822	p[9].y: 17.028	p[9].z: -7.972
p[9].vx: -21.913	p[9].vy: 213.984	p[9].vz: -100.949

p[10].x: 22.407	p[10].y: -9.709	p[10].z: -13.244
p[10].vx: 282.567	p[10].vy: -121.182	p[10].vz: -165.906

p[11].x: -7.674	p[11].y: 4.484	p[11].z: 14.301
p[11].vx: -92.825	p[11].vy: 57.949	p[11].vz: 178.759

p[12].x: -13.554	p[12].y: -3.314	p[12].z: 6.098
p[12].vx: -171.331	p[12].vy: -40.286	p[12].vz: 78.017

p[13].x: 8.223	p[13].y: -15.428	p[13].z: 4.627
p[13].vx: 103.296	p[13].vy: -192.999	p[13].vz: 58.292

p[14].x: 15.733	p[14].y: 17.220	p[14].z: -0.133
p[14].vx: 197.689	p[14].vy: 214.878	p[14].vz: -2.121

p[15].x: 7.466	p[15].y: 3.269	p[15].z: -16.297
p[15].vx: 95.665	p[15].vy: 41.150	p[15].vz: -204.766

p[16].x: 1.524	p[16].y: 10.997	p[16].z: 1.754
p[16].vx: 18.847	p[16].vy: 139.291	p[16].vz: 22.336

p[17].x: -16.687	p[17].y: -21.548	p[17].z: 23.331
p[17].vx: -208.650	p[17].vy: -270.657	p[17].vz: 293.524

p[18].x: 3.924	p[18].y: -1.287	p[18].z: 2.121
p[18].vx: 51.969	p[18].vy: -19.903	p[18].vz: 29.891

p[19].x: -4.333	p[19].y: -0.743	p[19].z: -6.763
p[19].vx: -57.371	p[19].vy: -10.747	p[19].vz: -85.560

p[20].x: -2.197	p[20].y: 1.812	p[20].z: 3.642
p[20].vx: -32.335	p[20].vy: 19.509	p[20].vz: 46.704

p[21].x: 0.303	p[21].y: -0.207	p[21].z: 4.828
p[21].vx: 6.517	p[21].vy: -4.873	p[21].vz: 65.927

p[22].x: 12.340	p[22].y: -1.339	p[22].z: -0.386
p[22].vx: 156.705	p[22].vy: -18.060	p[22].vz: -5.787

p[23].x: -1.334	p[23].y: -15.272	p[23].z: -10.329
