Total time: 7.763126s

p[44].vx: -574.146	p[44].vy: -1181.373	p[44].vz: 2842.046

p[45].x: -101.943	p[45].y: 75.220	p[45].z: -84.423
p[45].vx: -1135.119	p[45].vy: 837.300	p[45].vz: -939.880

p[46].x: 335.117	p[46].y: -33.154	p[46].z: -262.088
p[46].vx: 3724.639	p[46].vy: -368.570	p[46].vz: -2913.020

p[47].x: 26.888	p[47].y: 73.805	p[47].z: 162.129
p[47].vx: 299.608	p[47].vy: 821.451	p[47].vz: 1803.980

p[48].x: -74.428	p[48].y: 259.890	p[48].z: -57.708
p[48].vx: -827.248	p[48].vy: 2889.258	p[48].vz: -641.727

p[49].x: -19.976	p[49].y: -44.629	p[49].z: -93.281
p[49].vx: -222.543	p[49].vy: -497.589	p[49].vz: -1040.552

p[50].x: 107.151	p[50].y: -158.983	p[50].z: -183.943
p[50].vx: 1191.595	p[50].vy: -1767.607	p[50].vz: -2045.347

p[51].x: 23.491	p[51].y: 91.679	p[51].z: 112.223
p[51].vx: 261.649	p[51].vy: 1020.824	p[51].vz: 1249.551

p[52].x: 199.573	p[52].y: 231.373	p[52].z: 20.361
p[52].vx: 2218.116	p[52].vy: 2571.334	p[52].vz: 226.225

p[53].x: 277.827	p[53].y: 16.468	p[53].z: 127.506
p[53].vx: 3088.009	p[53].vy: 183.181	p[53].vz: 1417.278

p[54].x: 84.263	p[54].y: 62.226	p[54].z: 234.981
p[54].vx: 936.616	p[54].vy: 691.561	p[54].vz: 2611.265

p[55].x: -202.776	p[55].y: 187.084	p[55].z: -230.939
p[55].vx: -2253.988	p[55].vy: 2079.444	p[55].vz: -2567.230

p[56].x: -54.319	p[56].y: -70.486	p[56].z: -275.949
p[56].vx: -603.847	p[56].vy: -783.432	p[56].vz: -3066.613

p[57].x: -293.673	p[57].y: -63.780	p[57].z: 17.521
p[57].vx: -3264.387	p[57].vy: -708.866	p[57].vz: 194.509

p[58].x: 71.659	p[58].y: 162.953	p[58].z: -17.262
p[58].vx: 797.266	p[58].vy: 1813.229	p[58].vz: -192.254

p[59].x: 261.984	p[59].y: -86.839	p[59].z: 139.125
p[59].vx: 2912.113	p[59].vy: -965.141	p[59].vz: 1546.357

p[60].x: -277.922	p[60].y: -196.795	p[60].z: 19.579
p[60].vx: -3089.044	p[60].vy: -2187.336	p[60].vz: 217.521

p[61].x: -88.009	p[61].y: -52.558	p[61].z: 114.479
p[61].vx: -979.456	p[61].vy: -584.688	p[61].vz: 1274.084

p[62].x: 53.890	p[62].y: -129.586	p[62].z: -153.135
p[62].vx: 599.577	p[62].vy: -1441.496	p[62].vz: -1703.321

p[63].x: -140.098	p[63].y: -115.493	p[63].z: 67.440
p[63].vx: -1558.593	p[63].vy: -1284.974	p[63].vz: 750.238

p[64].x: 256.574	p[64].y: 151.803	p[64].z: -71.396
p[64].vx: 2852.007	p[64].vy: 1687.378	p[64].vz: -793.626

p[65].x: 144.902	p[65].y: 23.313	p[65].z: 69.854
p[65].vx: 1610.434	p[65].vy: 259.090	p[65].vz: 776.144

p[66].x: 180.309	p[66].y: 88.952	p[66].z: -22.759
p[66].vx: 2004.060	p[66].vy: 988.766	p[66].vz: -252.931

p[67].x: 250.743	p[67].y: 99.216	p[67].z: -103.896
p[67].vx: 2787.584	p[67].vy: 1103.176	p[67].vz: -1155.037

p[68].x: 20.227	p[68].y: -186.556	p[68].z: -221.862
p[68].vx: 224.950	p[68].vy: -2073.892	p[68].vz: -2466.509

p[69].x: 133.642	p[69].y: -141.718	p[69].z: 39.152
p[69].vx: 1486.851	p[69].vy: -1576.647	p[69].vz: 435.318

p[70].x: 132.698	p[70].y: 245.712	p[70].z: -15.208
