Total time: 4.755764s

p[0].x: -30.526	p[0].y: 1.193	p[0].z: -17.650
p[0].vx: -341.717	p[0].vy: 14.681	p[0].vz: -197.690

p[1].x: 1.863	p[1].y: -25.670	p[1].z: 22.920
p[1].vx: 21.126	p[1].vy: -286.324	p[1].vz: 255.735

p[2].x: 14.993	p[2].y: -1.320	p[2].z: -31.963
p[2].vx: 167.771	p[2].vy: -14.500	p[2].vz: -356.149

p[3].x: 29.962	p[3].y: -5.650	p[3].z: 22.656
p[3].vx: 336.035	p[3].vy: -63.443	p[3].vz: 254.536

p[4].x: 25.275	p[4].y: 5.821	p[4].z: 28.737
p[4].vx: 283.774	p[4].vy: 65.582	p[4].vz: 322.508

p[5].x: -19.172	p[5].y: -33.586	p[5].z: -34.963
p[5].vx: -212.565	p[5].vy: -374.601	p[5].vz: -388.725

p[6].x: -1.862	p[6].y: -27.810	p[6].z: 22.489
p[6].vx: -21.077	p[6].vy: -310.692	p[6].vz: 251.906

p[7].x: 8.598	p[7].y: -31.355	p[7].z: 9.338
p[7].vx: 97.162	p[7].vy: -350.034	p[7].vz: 105.711

p[8].x: 21.553	p[8].y: -21.106	p[8].z: -1.979
p[8].vx: 243.261	p[8].vy: -238.168	p[8].vz: -22.756

p[9].x: -24.926	p[9].y: -0.246	p[9].z: 25.324
p[9].vx: -280.382	p[9].vy: -0.554	p[9].vz: 284.100

p[10].x: 5.749	p[10].y: -15.900	p[10].z: -19.545
p[10].vx: 67.326	p[10].vy: -181.475	p[10].vz: -221.236

p[11].x: 34.060	p[11].y: -22.076	p[11].z: 0.633
p[11].vx: 380.384	p[11].vy: -247.282	p[11].vz: 6.697

p[12].x: 3.705	p[12].y: -31.032	p[12].z: -22.125
p[12].vx: 41.234	p[12].vy: -347.554	p[12].vz: -249.071

p[13].x: -7.787	p[13].y: 18.289	p[13].z: -14.385
p[13].vx: -87.215	p[13].vy: 204.018	p[13].vz: -160.307

p[14].x: -25.342	p[14].y: 7.888	p[14].z: 18.201
p[14].vx: -283.603	p[14].vy: 89.325	p[14].vz: 203.902

p[15].x: -24.470	p[15].y: -6.642	p[15].z: -22.097
p[15].vx: -273.344	p[15].vy: -73.919	p[15].vz: -247.397

p[16].x: -2.410	p[16].y: 9.165	p[16].z: -7.361
p[16].vx: -21.028	p[16].vy: 81.286	p[16].vz: -76.202

p[17].x: -16.810	p[17].y: -13.684	p[17].z: 6.738
p[17].vx: -191.898	p[17].vy: -156.624	p[17].vz: 79.520

p[18].x: -2.916	p[18].y: 17.719	p[18].z: -35.265
p[18].vx: -32.825	p[18].vy: 197.528	p[18].vz: -393.109

p[19].x: 5.773	p[19].y: 39.967	p[19].z: -3.640
p[19].vx: 65.676	p[19].vy: 446.113	p[19].vz: -41.558

p[20].x: 26.039	p[20].y: 28.966	p[20].z: 4.614
p[20].vx: 291.773	p[20].vy: 325.505	p[20].vz: 52.023

p[21].x: -10.744	p[21].y: 1.884	p[21].z: 28.303
p[21].vx: -121.159	p[21].vy: 21.517	p[21].vz: 316.810

p[22].x: -5.676	p[22].y: 11.619	p[22].z: 44.964
p[22].vx: -63.344	p[22].vy: 130.796	p[22].vz: 501.708

p[23].x: 25.922	p[23].y: -6.815	p[23].z: 19.947
p[23].vx: 290.322	p[23].vy: -78.484	p[23].vz: 224.375

p[24].x: 7.052	p[24].y: 21.193	p[24].z: -39.705
p[24].vx: 81.157	p[24].vy: 238.035	p[24].vz: -443.740

p[25].x: -8.233	p[25].y: -15.404	p[25].z: 38.825
p[25].vx: -92.560	p[25].vy: -172.878	p[25].vz: 432.952

p[26].x: 1.984	p[26].y: 21.979	p[26].z: -7.135
p[26].vx: 24.391	p[26].vy: 246.510	p[26].vz: -78.991

p[27].x: 16.722	p[27].y: 8.973	p[27].z: -11.572
p[27].vx: 190.646	p[27].vy: 104.512	p[27].vz: -133.099

p[28].x: -10.276	p[28].y: 13.790	p[28].z: -7.218
p[28].vx: -119.699	p[28].vy: 159.602	p[28].vz: -85.796

p[29].x: -9.821	p[29].y: 33.006	p[29].z: 19.732
p[29].vx: -109.116	p[29].vy: 368.284	p[29].vz: 221.196

p[30].x: 34.854	p[30].y: -14.188	p[30].z: -2.093
p[30].vx: 388.375	p[30].vy: -158.002	p[30].vz: -23.951

p[31].x: -9.096	p[31].y: -24.245	p[31].z: 9.107
p[31].vx: -101.882	p[31].vy: -270.594	p[31].vz: 102.299

p[32].x: -36.073	p[32].y: -5.816	p[32].z: 15.313
p[32].vx: -402.493	p[32].vy: -65.464	p[32].vz: 171.809

p[33].x: -27.003	p[33].y: -4.740	p[33].z: -27.365
p[33].vx: -303.809	p[33].vy: -56.931	p[33].vz: -307.727

p[34].x: -19.333	p[34].y: -2.121	p[34].z: 26.178
p[34].vx: -218.002	p[34].vy: -25.115	p[34].vz: 293.903

p[35].x: -12.957	p[35].y: 21.194	p[35].z: -4.587
p[35].vx: -144.921	p[35].vy: 236.565	p[35].vz: -51.705

p[36].x: 20.368	p[36].y: 28.645	p[36].z: 20.168
p[36].vx: 227.957	p[36].vy: 320.434	p[36].vz: 226.376

p[37].x: -1.049	p[37].y: -31.915	p[37].z: 19.554
p[37].vx: -11.932	p[37].vy: -356.733	p[37].vz: 219.323

p[38].x: 0.555	p[38].y: -11.539	p[38].z: -40.473
p[38].vx: 6.768	p[38].vy: -129.045	p[38].vz: -450.601

p[39].x: 5.985	p[39].y: 43.169	p[39].z: 6.920
p[39].vx: 65.965	p[39].vy: 481.208	p[39].vz: 79.088

p[40].x: -23.653	p[40].y: 2.168	p[40].z: 8.261
p[40].vx: -264.997	p[40].vy: 26.385	p[40].vz: 92.527

p[41].x: -1.321	p[41].y: 48.926	p[41].z: 10.022
p[41].vx: -13.601	p[41].vy: 545.807	p[41].vz: 113.820

p[42].x: 7.930	p[42].y: 40.786	p[42].z: 2.842
p[42].vx: 89.556	p[42].vy: 454.234	p[42].vz: 30.278

p[43].x: -16.627	p[43].y: 15.151	p[43].z: -27.369
p[43].vx: -186.501	p[43].vy: 170.542	p[43].vz: -306.393

p[44].x: -1.188	p[44].y: 35.779	p[44].z: -1.913
p[44].vx: -12.994	p[44].vy: 399.193	p[44].vz: -18.493

p[45].x: -2.427	p[45].y: 27.908	p[45].z: -17.571
p[45].vx: -25.638	p[45].vy: 311.427	p[45].vz: -196.685

p[46].x: -19.689	p[46].y: 15.818	p[46].z: 4.942
p[46].vx: -220.110	p[46].vy: 177.093	p[46].vz: 56.159

p[47].x: -8.984	p[47].y: 8.390	p[47].z: 26.130
p[47].vx: -102.267	p[47].vy: 95.952	p[47].vz: 294.553

p[48].x: -16.725	p[48].y: -6.239	p[48].z: 30.360
p[48].vx: -186.678	p[48].vy: -69.255	p[48].vz: 338.490

p[49].x: -10.172	p[49].y: -10.741	p[49].z: -17.200
p[49].vx: -116.733	p[49].vy: -123.571	p[49].vz: -196.911

p[50].x: 5.542	p[50].y: -19.633	p[50].z: -22.277
p[50].vx: 63.186	p[50].vy: -221.948	p[50].vz: -251.503

p[51].x: 31.687	p[51].y: 27.095	p[51].z: -4.323
p[51].vx: 354.538	p[51].vy: 303.456	p[51].vz: -48.358

p[52].x: 3.478	p[52].y: 14.110	p[52].z: 44.906
p[52].vx: 39.031	p[52].vy: 158.614	p[52].vz: 500.920

p[53].x: -2.903	p[53].y: -3.508	p[53].z: -40.423
p[53].vx: -31.794	p[53].vy: -38.816	p[53].vz: -450.238

p[54].x: -5.354	p[54].y: 35.771	p[54].z: 26.879
p[54].vx: -58.953	p[54].vy: 399.779	p[54].vz: 301.197

p[55].x: -26.856	p[55].y: -2.940	p[55].z: -21.600
p[55].vx: -301.840	p[55].vy: -32.785	p[55].vz: -243.534

p[56].x: 3.576	p[56].y: -14.679	p[56].z: -5.932
p[56].vx: 40.426	p[56].vy: -164.115	p[56].vz: -66.980

p[57].x: 27.107	p[57].y: 0.557	p[57].z: 10.446
p[57].vx: 302.809	p[57].vy: 4.869	p[57].vz: 117.179

p[58].x: 4.719	p[58].y: -58.779	p[58].z: -12.645
p[58].vx: 53.433	p[58].vy: -654.605	p[58].vz: -141.186

p[59].x: -3.386	p[59].y: 16.964	p[59].z: -31.232
p[59].vx: -36.937	p[59].vy: 190.451	p[59].vz: -349.537

p[60].x: -5.837	p[60].y: 5.466	p[60].z: -26.563
p[60].vx: -65.164	p[60].vy: 61.123	p[60].vz: -296.240

p[61].x: -16.183	p[61].y: -4.141	p[61].z: -21.635
p[61].vx: -182.493	p[61].vy: -47.478	p[61].vz: -242.680

p[62].x: 6.831	p[62].y: 25.533	p[62].z: -29.271
p[62].vx: 76.513	p[62].vy: 286.277	p[62].vz: -327.786

p[63].x: -17.635	p[63].y: -7.225	p[63].z: 22.903
p[63].vx: -199.567	p[63].vy: -83.006	p[63].vz: 257.582

p[64].x: 37.125	p[64].y: -4.083	p[64].z: -28.374
p[64].vx: 414.693	p[64].vy: -44.877	p[64].vz: -317.590

p[65].x: 12.185	p[65].y: -6.923	p[65].z: -40.918
p[65].vx: 136.880	p[65].vy: -77.864	p[65].vz: -456.165

p[66].x: 1.566	p[66].y: -46.515	p[66].z: -16.155
p[66].vx: 18.116	p[66].vy: -518.389	p[66].vz: -180.613

p[67].x: -2.152	p[67].y: -0.751	p[67].z: -10.118
p[67].vx: -23.816	p[67].vy: -8.384	p[67].vz: -112.935

p[68].x: -1.356	p[68].y: 32.816	p[68].z: -19.500
p[68].vx: -15.283	p[68].vy: 365.768	p[68].vz: -217.422

p[69].x: 12.456	p[69].y: -18.321	p[69].z: 23.071
p[69].vx: 141.302	p[69].vy: -206.718	p[69].vz: 259.352

p[70].x: -3.193	p[70].y: 25.886	p[70].z: -20.893
p[70].vx: -34.920	p[70].vy: 289.796	p[70].vz: -234.764

p[71].x: 13.371	p[71].y: -36.372	p[71].z: -19.041
p[71].vx: 149.726	p[71].vy: -405.679	p[71].vz: -212.438

p[72].x: -5.621	p[72].y: -35.560	p[72].z: 24.299
p[72].vx: -63.581	p[72].vy: -396.278	p[72].vz: 271.151

p[73].x: 39.738	p[73].y: -11.045	p[73].z: -27.725
p[73].vx: 443.679	p[73].vy: -124.407	p[73].vz: -310.270

p[74].x: 5.139	p[74].y: 8.675	p[74].z: 30.310
p[74].vx: 58.179	p[74].vy: 97.451	p[74].vz: 338.186

p[75].x: -7.390	p[75].y: 39.500	p[75].z: 2.641
p[75].vx: -82.090	p[75].vy: 440.153	p[75].vz: 30.923

p[76].x: 25.975	p[76].y: -71.806	p[76].z: 9.468
p[76].vx: 290.233	p[76].vy: -799.706	p[76].vz: 104.191

p[77].x: -25.850	p[77].y: 20.533	p[77].z: -10.298
p[77].vx: -288.057	p[77].vy: 228.844	p[77].vz: -115.162

p[78].x: -11.082	p[78].y: -22.476	p[78].z: 0.948
p[78].vx: -123.214	p[78].vy: -250.506	p[78].vz: 10.647

p[79].x: -25.872	p[79].y: -7.110	p[79].z: 30.182
p[79].vx: -289.186	p[79].vy: -80.168	p[79].vz: 337.188

p[80].x: 28.052	p[80].y: -27.062	p[80].z: -18.713
p[80].vx: 314.087	p[80].vy: -302.569	p[80].vz: -209.912

p[81].x: 28.858	p[81].y: 21.201	p[81].z: 3.369
p[81].vx: 322.280	p[81].vy: 237.086	p[81].vz: 35.502

p[82].x: -10.791	p[82].y: -31.796	p[82].z: -16.280
p[82].vx: -120.838	p[82].vy: -354.430	p[82].vz: -181.931

p[83].x: 40.235	p[83].y: -7.742	p[83].z: -18.337
p[83].vx: 448.799	p[83].vy: -85.770	p[83].vz: -205.513

p[84].x: -3.321	p[84].y: -39.276	p[84].z: 1.475
p[84].vx: -38.294	p[84].vy: -437.907	p[84].vz: 17.858

p[85].x: 40.119	p[85].y: -21.962	p[85].z: -8.094
p[85].vx: 447.350	p[85].vy: -245.315	p[85].vz: -90.815

p[86].x: -13.713	p[86].y: -18.512	p[86].z: -11.090
p[86].vx: -156.680	p[86].vy: -209.807	p[86].vz: -127.206

p[87].x: -30.318	p[87].y: 2.303	p[87].z: -20.419
p[87].vx: -339.286	p[87].vy: 26.780	p[87].vz: -229.199

p[88].x: -27.476	p[88].y: -21.024	p[88].z: 13.360
p[88].vx: -307.098	p[88].vy: -235.255	p[88].vz: 150.335

p[89].x: -5.727	p[89].y: -19.999	p[89].z: -13.913
p[89].vx: -65.817	p[89].vy: -227.322	p[89].vz: -158.896

p[90].x: -9.234	p[90].y: -18.634	p[90].z: 12.110
p[90].vx: -102.542	p[90].vy: -207.486	p[90].vz: 135.021

p[91].x: -12.616	p[91].y: -3.068	p[91].z: -34.690
p[91].vx: -142.249	p[91].vy: -34.245	p[91].vz: -387.157

p[92].x: -2.040	p[92].y: 26.735	p[92].z: -12.780
p[92].vx: -23.119	p[92].vy: 301.345	p[92].vz: -145.177

p[93].x: 9.810	p[93].y: 0.144	p[93].z: 49.582
p[93].vx: 110.204	p[93].vy: 1.984	p[93].vz: 552.637

p[94].x: -11.379	p[94].y: -43.048	p[94].z: -4.661
p[94].vx: -127.329	p[94].vy: -479.622	p[94].vz: -51.576

p[95].x: 16.174	p[95].y: 27.313	p[95].z: -4.299
p[95].vx: 183.580	p[95].vy: 307.528	p[95].vz: -49.494

p[96].x: -11.430	p[96].y: -22.978	p[96].z: -20.215
p[96].vx: -127.727	p[96].vy: -256.884	p[96].vz: -226.236

p[97].x: -5.760	p[97].y: -5.940	p[97].z: -6.872
p[97].vx: -73.806	p[97].vy: -74.036	p[97].vz: -77.271

p[98].x: 42.220	p[98].y: -4.324	p[98].z: -20.478
p[98].vx: 471.145	p[98].vy: -47.931	p[98].vz: -229.468

p[99].x: 42.293	p[99].y: -12.456	p[99].z: -13.656
p[99].vx: 471.573	p[99].vy: -137.742	p[99].vz: -153.277

p[100].x: -37.151	p[100].y: -17.553	p[100].z: 17.679
p[100].vx: -415.514	p[100].vy: -197.446	p[100].vz: 197.051

p[101].x: -24.808	p[101].y: 16.481	p[101].z: 0.275
p[101].vx: -276.026	p[101].vy: 184.068	p[101].vz: 2.637

p[102].x: 24.790	p[102].y: -11.451	p[102].z: -35.086
p[102].vx: 277.225	p[102].vy: -127.463	p[102].vz: -391.325

p[103].x: -9.909	p[103].y: -9.474	p[103].z: -12.139
p[103].vx: -110.354	p[103].vy: -105.767	p[103].vz: -136.053

p[104].x: -8.754	p[104].y: 36.648	p[104].z: 17.021
p[104].vx: -97.727	p[104].vy: 408.854	p[104].vz: 190.772

p[105].x: -5.915	p[105].y: -9.325	p[105].z: -33.593
p[105].vx: -67.174	p[105].vy: -104.706	p[105].vz: -376.334

p[106].x: -2.606	p[106].y: -22.444	p[106].z: 10.944
p[106].vx: -28.361	p[106].vy: -250.327	p[106].vz: 120.741

p[107].x: -28.143	p[107].y: 3.591	p[107].z: -19.864
p[107].vx: -316.076	p[107].vy: 41.510	p[107].vz: -224.172

p[108].x: -12.835	p[108].y: 9.344	p[108].z: -17.351
p[108].vx: -147.449	p[108].vy: 107.973	p[108].vz: -197.553

p[109].x: 19.661	p[109].y: 7.395	p[109].z: 21.579
p[109].vx: 222.016	p[109].vy: 84.889	p[109].vz: 243.208

p[110].x: 11.854	p[110].y: 26.408	p[110].z: -11.262
p[110].vx: 134.272	p[110].vy: 297.527	p[110].vz: -127.015

p[111].x: -8.439	p[111].y: -11.466	p[111].z: -26.501
p[111].vx: -96.335	p[111].vy: -129.346	p[111].vz: -296.417

p[112].x: 19.652	p[112].y: 2.376	p[112].z: 8.444
p[112].vx: 218.220	p[112].vy: 26.327	p[112].vz: 94.418

p[113].x: -6.732	p[113].y: 38.552	p[113].z: 26.108
p[113].vx: -75.574	p[113].vy: 430.274	p[113].vz: 292.225

p[114].x: 4.079	p[114].y: -20.129	p[114].z: 21.830
p[114].vx: 46.876	p[114].vy: -228.297	p[114].vz: 246.910

p[115].x: -20.609	p[115].y: 7.401	p[115].z: -25.598
p[115].vx: -230.491	p[115].vy: 82.864	p[115].vz: -285.759

p[116].x: -22.244	p[116].y: -24.155	p[116].z: -14.917
p[116].vx: -248.802	p[116].vy: -270.055	p[116].vz: -167.024

p[117].x: -14.306	p[117].y: 10.734	p[117].z: -23.215
p[117].vx: -161.160	p[117].vy: 120.748	p[117].vz: -260.015

p[118].x: 24.385	p[118].y: 14.725	p[118].z: 16.290
p[118].vx: 273.960	p[118].vy: 166.563	p[118].vz: 184.003

p[119].x: -6.021	p[119].y: -7.487	p[119].z: 7.005
p[119].vx: -72.850	p[119].vy: -91.414	p[119].vz: 84.282

p[120].x: -12.667	p[120].y: 34.511	p[120].z: -5.193
p[120].vx: -139.171	p[120].vy: 384.817	p[120].vz: -58.580

p[121].x: -30.260	p[121].y: -3.434	p[121].z: -13.070
p[121].vx: -335.734	p[121].vy: -38.787	p[121].vz: -146.593

p[122].x: 0.374	p[122].y: 23.120	p[122].z: -22.869
p[122].vx: 3.682	p[122].vy: 260.985	p[122].vz: -258.125

p[123].x: -0.735	p[123].y: 15.317	p[123].z: -14.597
p[123].vx: -6.391	p[123].vy: 170.287	p[123].vz: -163.088

p[124].x: 9.740	p[124].y: -4.962	p[124].z: -9.974
p[124].vx: 104.943	p[124].vy: -54.134	p[124].vz: -108.273

p[125].x: 10.685	p[125].y: -14.067	p[125].z: -9.975
p[125].vx: 123.556	p[125].vy: -161.466	p[125].vz: -115.179

p[126].x: -3.130	p[126].y: -45.380	p[126].z: 8.896
p[126].vx: -34.691	p[126].vy: -506.213	p[126].vz: 99.520

p[127].x: -22.943	p[127].y: -6.347	p[127].z: -10.004
p[127].vx: -256.102	p[127].vy: -71.496	p[127].vz: -111.703

p[128].x: 10.093	p[128].y: 21.204	p[128].z: 32.050
