Total time: 0.738872s

p[0].x: -10.156	p[0].y: 0.874	p[0].z: -5.866
p[0].vx: -257.725	p[0].vy: 25.798	p[0].vz: -150.641

p[1].x: -0.195	p[1].y: -5.330	p[1].z: 5.001
p[1].vx: -2.805	p[1].vy: -136.856	p[1].vz: 125.713

p[2].x: -2.067	p[2].y: -0.596	p[2].z: -12.836
p[2].vx: -46.817	p[2].vy: -14.339	p[2].vz: -323.786

p[3].x: 5.716	p[3].y: -2.090	p[3].z: 7.032
p[3].vx: 148.153	p[3].vy: -53.169	p[3].vz: 183.817

p[4].x: 31.606	p[4].y: -8.377	p[4].z: 1.698
p[4].vx: 798.927	p[4].vy: -206.763	p[4].vz: 52.931

p[5].x: -2.024	p[5].y: -7.256	p[5].z: -2.797
p[5].vx: -48.562	p[5].vy: -186.644	p[5].vz: -66.605

p[6].x: -0.002	p[6].y: -9.148	p[6].z: 3.389
p[6].vx: -3.683	p[6].vy: -231.165	p[6].vz: 89.452

p[7].x: 1.605	p[7].y: -8.815	p[7].z: 2.456
p[7].vx: 42.751	p[7].vy: -223.712	p[7].vz: 66.163

p[8].x: 8.234	p[8].y: -9.462	p[8].z: -0.704
p[8].vx: 215.300	p[8].vy: -244.559	p[8].vz: -18.850

p[9].x: -6.311	p[9].y: -0.023	p[9].z: 8.759
p[9].vx: -164.842	p[9].vy: 4.017	p[9].vz: 225.363

p[10].x: -0.035	p[10].y: -4.150	p[10].z: -2.621
p[10].vx: 7.221	p[10].vy: -115.016	p[10].vz: -77.652

p[11].x: 7.783	p[11].y: -6.738	p[11].z: 0.860
p[11].vx: 197.569	p[11].vy: -170.826	p[11].vz: 20.177

p[12].x: 1.066	p[12].y: -8.009	p[12].z: -5.015
p[12].vx: 29.421	p[12].vy: -205.462	p[12].vz: -128.898

p[13].x: -3.097	p[13].y: 4.732	p[13].z: -3.338
p[13].vx: -78.074	p[13].vy: 118.192	p[13].vz: -84.399

p[14].x: -8.835	p[14].y: 3.822	p[14].z: -5.345
p[14].vx: -225.407	p[14].vy: 99.553	p[14].vz: -122.706

p[15].x: -6.338	p[15].y: -0.744	p[15].z: -2.181
p[15].vx: -163.096	p[15].vy: -21.439	p[15].vz: -59.456

