Total time: 3.264076s

p[0].x: -22.983	p[0].y: 2.158	p[0].z: -13.361
p[0].vx: -256.114	p[0].vy: 25.652	p[0].vz: -149.640

p[1].x: -0.343	p[1].y: -12.150	p[1].z: 11.259
p[1].vx: -3.043	p[1].vy: -136.205	p[1].vz: 124.928

p[2].x: -4.394	p[2].y: -1.312	p[2].z: -28.967
p[2].vx: -46.461	p[2].vy: -14.318	p[2].vz: -322.185

p[3].x: 13.068	p[3].y: -4.743	p[3].z: 16.166
p[3].vx: 146.656	p[3].vy: -53.028	p[3].vz: 182.270

p[4].x: 71.543	p[4].y: -18.712	p[4].z: 4.345
p[4].vx: 798.682	p[4].vy: -206.682	p[4].vz: 52.930

p[5].x: -4.452	p[5].y: -16.515	p[5].z: -6.109
p[5].vx: -48.567	p[5].vy: -184.701	p[5].vz: -66.101

p[6].x: -0.183	p[6].y: -20.639	p[6].z: 7.842
p[6].vx: -3.603	p[6].vy: -229.333	p[6].vz: 88.923

p[7].x: 3.733	p[7].y: -19.945	p[7].z: 5.759
p[7].vx: 42.507	p[7].vy: -222.205	p[7].vz: 66.022

p[8].x: 18.961	p[8].y: -21.645	p[8].z: -1.643
p[8].vx: 214.277	p[8].vy: -243.352	p[8].vz: -18.754

p[9].x: -14.510	p[9].y: 0.176	p[9].z: 19.965
p[9].vx: -163.676	p[9].vy: 3.976	p[9].vz: 223.660

p[10].x: 0.302	p[10].y: -9.888	p[10].z: -6.497
p[10].vx: 6.522	p[10].vy: -114.691	p[10].vz: -77.431

p[11].x: 17.599	p[11].y: -15.224	p[11].z: 1.860
p[11].vx: 195.894	p[11].vy: -169.333	p[11].vz: 19.960

p[12].x: 2.517	p[12].y: -18.218	p[12].z: -11.422
p[12].vx: 28.856	p[12].vy: -203.719	p[12].vz: -127.896

p[13].x: -6.980	p[13].y: 10.611	p[13].z: -7.538
p[13].vx: -77.518	p[13].vy: 117.366	p[13].vz: -83.859

p[14].x: -20.048	p[14].y: 8.771	p[14].z: -11.444
p[14].vx: -223.868	p[14].vy: 98.779	p[14].vz: -121.705

p[15].x: -14.454	p[15].y: -1.814	p[15].z: -5.151
p[15].vx: -162.065	p[15].vy: -21.400	p[15].vz: -59.368

p[16].x: -2.479	p[16].y: 9.590	p[16].z: -6.724
p[16].vx: -20.656	p[16].vy: 83.859	p[16].vz: -68.841

p[17].x: -11.525	p[17].y: -7.254	p[17].z: 4.970
p[17].vx: -133.012	p[17].vy: -85.450	p[17].vz: 59.933

p[18].x: -3.912	p[18].y: 10.505	p[18].z: -15.620
p[18].vx: -42.015	p[18].vy: 116.626	p[18].vz: -173.272

p[19].x: 6.788	p[19].y: 21.109	p[19].z: -1.893
p[19].vx: 76.526	p[19].vy: 235.042	p[19].vz: -21.877

p[20].x: 15.832	p[20].y: 18.177	p[20].z: -1.173
p[20].vx: 177.788	p[20].vy: 203.785	p[20].vz: -12.811

p[21].x: -9.714	p[21].y: 1.569	p[21].z: 4.137
p[21].vx: -108.747	p[21].vy: 18.232	p[21].vz: 48.357

p[22].x: -4.307	p[22].y: 8.231	p[22].z: 26.830
p[22].vx: -48.000	p[22].vy: 92.954	p[22].vz: 299.543

p[23].x: 13.854	p[23].y: -4.231	p[23].z: 15.699
p[23].vx: 155.248	p[23].vy: -50.023	p[23].vz: 175.471

p[24].x: 7.557	p[24].y: 12.372	p[24].z: -12.437
p[24].vx: 85.676	p[24].vy: 139.139	p[24].vz: -139.998

p[25].x: -5.106	p[25].y: -11.821	p[25].z: 20.883
p[25].vx: -57.468	p[25].vy: -132.002	p[25].vz: 232.803

p[26].x: 13.266	p[26].y: 11.377	p[26].z: 5.343
p[26].vx: 148.705	p[26].vy: 128.555	p[26].vz: 57.929

p[27].x: 12.852	p[27].y: 2.234	p[27].z: -9.323
p[27].vx: 147.758	p[27].vy: 30.823	p[27].vz: -108.781

p[28].x: -8.463	p[28].y: 8.492	p[28].z: -5.292
p[28].vx: -99.885	p[28].vy: 100.948	p[28].vz: -64.286

p[29].x: -7.331	p[29].y: 17.279	p[29].z: 16.373
p[29].vx: -80.950	p[29].vy: 192.752	p[29].vz: 183.371

p[30].x: 9.222	p[30].y: -7.007	p[30].z: -0.301
p[30].vx: 103.155	p[30].vy: -78.127	p[30].vz: -4.255

p[31].x: -6.329	p[31].y: -11.919	p[31].z: 3.058
p[31].vx: -70.861	p[31].vy: -132.632	p[31].vz: 34.873

p[32].x: -16.695	p[32].y: -2.671	p[32].z: 10.348
p[32].vx: -184.702	p[32].vy: -29.753	p[32].vz: 115.461

p[33].x: -7.463	p[33].y: -5.142	p[33].z: -10.712
p[33].vx: -88.714	p[33].vy: -62.592	p[33].vz: -123.157

p[34].x: -8.313	p[34].y: -0.594	p[34].z: 17.870
p[34].vx: -95.221	p[34].vy: -8.335	p[34].vz: 200.050

p[35].x: -6.647	p[35].y: 14.113	p[35].z: -3.580
p[35].vx: -73.411	p[35].vy: 157.621	p[35].vz: -42.219

p[36].x: 9.857	p[36].y: 9.105	p[36].z: 14.530
p[36].vx: 109.814	p[36].vy: 103.251	p[36].vz: 162.620

p[37].x: -0.224	p[37].y: -22.207	p[37].z: 8.426
p[37].vx: -2.188	p[37].vy: -247.070	p[37].vz: 95.034

p[38].x: 0.095	p[38].y: -0.644	p[38].z: -23.072
p[38].vx: 0.797	p[38].vy: -7.893	p[38].vz: -256.983

p[39].x: 1.998	p[39].y: 23.792	p[39].z: 3.282
p[39].vx: 22.647	p[39].vy: 263.474	p[39].vz: 38.417

p[40].x: -12.578	p[40].y: -0.119	p[40].z: 3.791
p[40].vx: -140.172	p[40].vy: -0.465	p[40].vz: 41.482

p[41].x: -1.617	p[41].y: 26.328	p[41].z: 3.082
p[41].vx: -16.686	p[41].vy: 293.215	p[41].vz: 36.780

p[42].x: 0.160	p[42].y: 19.325	p[42].z: -5.873
p[42].vx: 3.568	p[42].vy: 214.110	p[42].vz: -65.861

p[43].x: -13.267	p[43].y: 5.989	p[43].z: -13.767
p[43].vx: -147.233	p[43].vy: 67.908	p[43].vz: -154.029

p[44].x: 0.240	p[44].y: 26.182	p[44].z: -1.572
p[44].vx: 3.279	p[44].vy: 291.403	p[44].vz: -13.652

p[45].x: 7.749	p[45].y: 5.378	p[45].z: -8.314
p[45].vx: 87.469	p[45].vy: 61.995	p[45].vz: -92.583

p[46].x: -12.996	p[46].y: 3.154	p[46].z: 3.759
p[46].vx: -145.631	p[46].vy: 36.457	p[46].vz: 43.775

p[47].x: -7.145	p[47].y: 4.592	p[47].z: 15.893
p[47].vx: -81.478	p[47].vy: 53.347	p[47].vz: 179.216

p[48].x: -7.294	p[48].y: -2.469	p[48].z: 16.079
p[48].vx: -81.508	p[48].vy: -27.812	p[48].vz: 178.737

p[49].x: -7.927	p[49].y: -7.395	p[49].z: -11.282
p[49].vx: -91.896	p[49].vy: -87.953	p[49].vz: -129.363

p[50].x: 3.313	p[50].y: -12.011	p[50].z: -13.488
p[50].vx: 38.452	p[50].vy: -137.487	p[50].vz: -153.821

p[51].x: 18.785	p[51].y: 10.315	p[51].z: -4.066
p[51].vx: 210.402	p[51].vy: 116.608	p[51].vz: -45.342

p[52].x: 4.277	p[52].y: 8.623	p[52].z: 24.688
p[52].vx: 47.431	p[52].vy: 96.773	p[52].vz: 275.013

p[53].x: -0.460	p[53].y: -0.718	p[53].z: -24.680
p[53].vx: -6.026	p[53].vy: -7.852	p[53].vz: -273.663

p[54].x: -4.795	p[54].y: 17.263	p[54].z: 17.726
p[54].vx: -52.440	p[54].vy: 193.273	p[54].vz: 198.749

p[55].x: -18.504	p[55].y: -3.577	p[55].z: -8.621
p[55].vx: -206.770	p[55].vy: -39.310	p[55].vz: -97.724

p[56].x: -3.605	p[56].y: -8.654	p[56].z: -5.494
p[56].vx: -39.117	p[56].vy: -96.402	p[56].vz: -60.954

p[57].x: 22.092	p[57].y: -3.763	p[57].z: 4.617
p[57].vx: 245.794	p[57].vy: -42.585	p[57].vz: 52.845

p[58].x: 1.695	p[58].y: -25.208	p[58].z: -1.878
p[58].vx: 18.573	p[58].vy: -280.498	p[58].vz: -21.472

p[59].x: 4.022	p[59].y: -2.678	p[59].z: -13.392
p[59].vx: 43.944	p[59].vy: -25.539	p[59].vz: -151.140

p[60].x: 6.353	p[60].y: 8.119	p[60].z: 10.563
p[60].vx: 68.366	p[60].vy: 88.794	p[60].vz: 111.289

p[61].x: -5.240	p[61].y: -0.384	p[61].z: -17.628
p[61].vx: -62.439	p[61].vy: -6.718	p[61].vz: -197.293

p[62].x: 11.850	p[62].y: 29.489	p[62].z: -8.382
p[62].vx: 132.064	p[62].vy: 330.311	p[62].vz: -96.616

p[63].x: -10.448	p[63].y: -4.242	p[63].z: 13.673
p[63].vx: -123.167	p[63].vy: -47.921	p[63].vz: 154.703

p[64].x: 17.271	p[64].y: -3.572	p[64].z: -15.925
p[64].vx: 193.053	p[64].vy: -38.113	p[64].vz: -178.268

p[65].x: 4.933	p[65].y: -5.370	p[65].z: -18.584
p[65].vx: 56.250	p[65].vy: -60.731	p[65].vz: -206.907

p[66].x: 0.646	p[66].y: -20.285	p[66].z: -10.729
p[66].vx: 7.916	p[66].vy: -224.243	p[66].vz: -119.174

p[67].x: -1.967	p[67].y: -1.441	p[67].z: -5.137
p[67].vx: -22.435	p[67].vy: -15.828	p[67].vz: -58.054

p[68].x: -0.330	p[68].y: 13.036	p[68].z: -7.215
p[68].vx: -4.479	p[68].vy: 146.244	p[68].vz: -81.396

p[69].x: 5.814	p[69].y: -10.186	p[69].z: 13.699
