Total time: 4.838478s

p[0].x: -10.156	p[0].y: 0.874	p[0].z: -5.866
p[0].vx: -257.726	p[0].vy: 25.797	p[0].vz: -150.641

p[1].x: -0.194	p[1].y: -5.330	p[1].z: 5.001
p[1].vx: -2.801	p[1].vy: -136.853	p[1].vz: 125.714

p[2].x: -2.067	p[2].y: -0.596	p[2].z: -12.836
p[2].vx: -46.816	p[2].vy: -14.340	p[2].vz: -323.788

p[3].x: 5.716	p[3].y: -2.090	p[3].z: 7.032
p[3].vx: 148.153	p[3].vy: -53.170	p[3].vz: 183.817

p[4].x: 31.607	p[4].y: -8.378	p[4].z: 1.696
p[4].vx: 798.958	p[4].vy: -206.784	p[4].vz: 52.881

p[5].x: -2.024	p[5].y: -7.256	p[5].z: -2.797
p[5].vx: -48.564	p[5].vy: -186.643	p[5].vz: -66.604

p[6].x: -0.002	p[6].y: -9.148	p[6].z: 3.389
p[6].vx: -3.682	p[6].vy: -231.164	p[6].vz: 89.451

p[7].x: 1.605	p[7].y: -8.815	p[7].z: 2.456
p[7].vx: 42.751	p[7].vy: -223.711	p[7].vz: 66.163

p[8].x: 8.234	p[8].y: -9.461	p[8].z: -0.704
p[8].vx: 215.295	p[8].vy: -244.532	p[8].vz: -18.848

p[9].x: -6.311	p[9].y: -0.023	p[9].z: 8.759
p[9].vx: -164.843	p[9].vy: 4.017	p[9].vz: 225.363

p[10].x: -0.036	p[10].y: -4.150	p[10].z: -2.621
p[10].vx: 7.206	p[10].vy: -115.022	p[10].vz: -77.659

p[11].x: 7.783	p[11].y: -6.738	p[11].z: 0.859
p[11].vx: 197.570	p[11].vy: -170.827	p[11].vz: 20.177

p[12].x: 1.067	p[12].y: -8.010	p[12].z: -5.014
p[12].vx: 29.455	p[12].vy: -205.477	p[12].vz: -128.890

p[13].x: -3.097	p[13].y: 4.732	p[13].z: -3.338
p[13].vx: -78.075	p[13].vy: 118.192	p[13].vz: -84.399

p[14].x: -8.834	p[14].y: 3.822	p[14].z: -5.346
p[14].vx: -225.390	p[14].vy: 99.561	p[14].vz: -122.735

p[15].x: -6.338	p[15].y: -0.744	p[15].z: -2.181
p[15].vx: -163.102	p[15].vy: -21.441	p[15].vz: -59.455

p[16].x: -1.444	p[16].y: 5.391	p[16].z: -3.279
p[16].vx: -20.928	p[16].vy: 84.450	p[16].vz: -69.018

p[17].x: -4.861	p[17].y: -2.974	p[17].z: 1.969
p[17].vx: -133.980	p[17].vy: -85.977	p[17].vz: 60.252

p[18].x: -1.795	p[18].y: 4.663	p[18].z: -6.934
p[18].vx: -43.242	p[18].vy: 117.484	p[18].vz: -175.046

p[19].x: 2.952	p[19].y: 9.337	p[19].z: -0.796
p[19].vx: 77.276	p[19].vy: 236.609	p[19].vz: -22.149

p[20].x: 6.925	p[20].y: 7.967	p[20].z: -0.528
p[20].vx: 179.130	p[20].vy: 205.416	p[20].vz: -13.085

p[21].x: -4.272	p[21].y: 0.655	p[21].z: 1.718
p[21].vx: -109.087	p[21].vy: 18.375	p[21].vz: 48.444

p[22].x: -1.903	p[22].y: 3.577	p[22].z: 11.834
p[22].vx: -48.282	p[22].vy: 93.447	p[22].vz: 301.038

p[23].x: 6.071	p[23].y: -1.727	p[23].z: 6.904
p[23].vx: 156.768	p[23].vy: -50.189	p[23].vz: 177.084

p[24].x: 3.259	p[24].y: 5.400	p[24].z: -5.422
p[24].vx: 86.785	p[24].vy: 140.272	p[24].vz: -141.164

p[25].x: -2.224	p[25].y: -5.206	p[25].z: 9.221
p[25].vx: -58.115	p[25].vy: -133.120	p[25].vz: 234.422

p[26].x: 5.814	p[26].y: 4.938	p[26].z: 2.438
p[26].vx: 150.005	p[26].vy: 129.419	p[26].vz: 58.537

p[27].x: 5.457	p[27].y: 0.695	p[27].z: -3.873
p[27].vx: 148.322	p[27].vy: 30.756	p[27].vz: -109.544

p[28].x: -3.463	p[28].y: 3.440	p[28].z: -2.074
p[28].vx: -100.302	p[28].vy: 101.245	p[28].vz: -64.590

p[29].x: -3.275	p[29].y: 7.624	p[29].z: 7.188
